PortID	Port	WhetherTrans	Region	Group
1	SINGAPORE	1	ASIA	1
2	TANJUNG PELEPAS	1	ASIA	1
3	PORT KLANG	1	ASIA	1
4	COLOMBO	1	ASIA	1
5	MALE	0	ASIA	1
6	PORT VICTORIA	0	AFRICA	5
7	DAR ES SALAAM	0	AFRICA	5
8	SHANGHAI	1	ASIA	1
9	NINGBO	1	ASIA	1
10	NANSHA	1	ASIA	1
11	MOMBASA	0	AFRICA	5
12	POINTE DES GALETS	0	AFRICA	5
13	MAPUTO	0	AFRICA	5
14	BEIRA	0	AFRICA	5
15	PORT LOUIS	1	AFRICA	5
16	SHEKOU	1	ASIA	1
17	DURBAN	0	AFRICA	5
18	QINGDAO	1	ASIA	1
19	CAPE TOWN	1	AFRICA	5
20	POINTE NOIRE	1	AFRICA	5
21	LUANDA	0	AFRICA	5
22	GWANGYANG	0	ASIA	1
23	WALVIS BAY	1	AFRICA	5
24	TEMA	1	AFRICA	5
25	LOME	1	AFRICA	5
26	ONNE	0	AFRICA	5
27	COTONOU	1	AFRICA	5
28	XIAMEN	0	ASIA	1
29	KRIBI	0	AFRICA	5
30	ABIDJAN	0	AFRICA	5
