VesselID	Capacity	OperationCost	RouteID	MaxNum
1	1	7.002	1	1
2	1	7.002	1	1
3	1	7.002	1	1
4	1	7.002	1	1
5	2474	7.62	1	1
6	2532	7.634	1	1
7	2546	7.638	1	1
8	4228	8.058	2	1
9	5090	8.274	2	1
10	4211	8.054	2	1
11	4211	8.054	2	1
12	1	7.002	2	1
13	1809	7.454	2	1
14	5047	8.263	2	1
15	2478	7.621	3	1
16	3718	7.931	3	1
17	3718	7.931	3	1
18	3718	7.931	3	1
19	3649	7.914	3	1
20	3651	7.914	3	1
21	3649	7.914	3	1
22	8533	11.135	4	1
23	8469	11.119	4	1
24	9662	11.417	4	1
25	9030	11.259	4	1
26	8540	11.136	4	1
27	8674	11.17	4	1
28	8700	11.176	4	1
29	9034	11.26	4	1
30	8540	11.136	4	1
31	9326	14.333	5	1
32	9326	14.333	5	1
33	9326	14.333	5	1
34	8811	14.204	5	1
35	9326	14.333	5	1
36	8094	14.025	5	1
37	8501	14.127	5	1
38	8749	14.189	5	1
39	8845	14.213	5	1
40	8242	14.062	5	1
41	8450	14.114	5	1
42	8466	14.118	5	1
43	5466	14.368	6	1
44	4532	14.134	6	1
45	4600	14.151	6	1
46	4669	14.169	6	1
47	4500	14.126	6	1
48	4500	14.126	6	1
49	4496	14.125	6	1
50	4530	14.134	6	1
51	4530	14.134	6	1
52	4530	14.134	6	1
53	4669	14.169	6	1
54	5315	14.33	6	1
55	371	13.094	6	1
56	4532	13.134	7	1
57	4957	13.241	7	1
58	4771	13.194	7	1
59	4530	13.134	7	1
60	4530	13.134	7	1
61	4496	13.125	7	1
62	4496	13.125	7	1
63	4530	13.134	7	1
64	5466	13.368	7	1
65	5466	13.368	7	1
66	201	12.052	7	1
67	211	12.054	7	1
68	4250	14.064	8	1
69	5780	14.446	8	1
70	4250	14.064	8	1
71	4294	14.075	8	1
72	6039	14.511	8	1
73	1	13.002	8	1
74	1	13.002	8	1
75	1	13.002	8	1
76	5828	14.458	8	1
77	5605	14.403	8	1
78	5782	14.447	8	1
79	5782	14.447	8	1
80	4957	14.241	8	1
