TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1105	SINGAPORE	1	6	10	155	16	1	2
1106	SINGAPORE	1	6	0	339	6	1	3
1107	SINGAPORE	1	6	7	346	13	1	3
1108	SINGAPORE	1	6	13	580	19	1	5
1109	SINGAPORE	1	6	13	1032	19	1	8
1110	TANJUNG PELEPAS	2	7	9	156	16	1	2
1111	TANJUNG PELEPAS	2	7	0	340	7	1	3
1112	TANJUNG PELEPAS	2	7	7	347	14	1	3
1113	TANJUNG PELEPAS	2	7	12	457	19	1	4
1114	TANJUNG PELEPAS	2	7	11	579	18	1	5
1115	TANJUNG PELEPAS	2	7	11	1031	18	1	8
1116	PORT KLANG	3	9	9	157	18	1	2
1117	COLOMBO	4	14	8	158	22	1	2
1118	COLOMBO	8	48	2	202	50	1	2
1119	COLOMBO	8	48	9	213	57	1	2
1120	SINGAPORE	9	55	6	183	61	1	2
1121	SINGAPORE	9	55	13	194	68	1	2
1122	SINGAPORE	9	55	3	221	58	1	2
1123	SINGAPORE	9	55	10	231	65	1	2
1124	SINGAPORE	9	55	0	345	55	1	3
1125	SINGAPORE	9	55	7	352	62	1	3
1126	SINGAPORE	9	55	6	652	61	1	5
1127	SINGAPORE	9	55	13	664	68	1	5
1128	SINGAPORE	9	55	3	805	58	1	6
1129	SINGAPORE	9	55	10	819	65	1	6
1130	SINGAPORE	9	55	0	952	55	1	7
1131	SINGAPORE	9	55	7	962	62	1	7
1132	SINGAPORE	9	55	6	1110	61	1	8
1133	SINGAPORE	9	55	13	1123	68	1	8
1134	SINGAPORE	10	13	3	155	16	1	2
1135	SINGAPORE	10	13	10	166	23	1	2
1136	SINGAPORE	10	13	0	346	13	1	3
1137	SINGAPORE	10	13	7	353	20	1	3
1138	SINGAPORE	10	13	6	580	19	1	5
1139	SINGAPORE	10	13	13	592	26	1	5
1140	SINGAPORE	10	13	10	735	23	1	6
1141	SINGAPORE	10	13	7	902	20	1	7
1142	SINGAPORE	10	13	6	1032	19	1	8
1143	SINGAPORE	10	13	13	1045	26	1	8
1144	TANJUNG PELEPAS	11	14	2	156	16	1	2
1145	TANJUNG PELEPAS	11	14	9	167	23	1	2
1146	TANJUNG PELEPAS	11	14	0	347	14	1	3
1147	TANJUNG PELEPAS	11	14	7	354	21	1	3
1148	TANJUNG PELEPAS	11	14	5	457	19	1	4
1149	TANJUNG PELEPAS	11	14	12	465	26	1	4
1150	TANJUNG PELEPAS	11	14	4	579	18	1	5
1151	TANJUNG PELEPAS	11	14	11	591	25	1	5
1152	TANJUNG PELEPAS	11	14	7	903	21	1	7
1153	TANJUNG PELEPAS	11	14	4	1031	18	1	8
1154	TANJUNG PELEPAS	11	14	11	1044	25	1	8
1155	PORT KLANG	12	16	2	157	18	1	2
1156	PORT KLANG	12	16	9	168	25	1	2
1157	COLOMBO	13	21	1	158	22	1	2
1158	COLOMBO	13	21	8	169	29	1	2
1159	COLOMBO	17	55	2	213	57	1	2
1160	COLOMBO	17	55	9	224	64	1	2
1161	SINGAPORE	18	62	6	194	68	1	2
1162	SINGAPORE	18	62	13	205	75	1	2
1163	SINGAPORE	18	62	3	231	65	1	2
1164	SINGAPORE	18	62	10	241	72	1	2
1165	SINGAPORE	18	62	0	352	62	1	3
1166	SINGAPORE	18	62	7	359	69	1	3
1167	SINGAPORE	18	62	6	664	68	1	5
1168	SINGAPORE	18	62	13	676	75	1	5
1169	SINGAPORE	18	62	3	819	65	1	6
1170	SINGAPORE	18	62	10	833	72	1	6
1171	SINGAPORE	18	62	0	962	62	1	7
1172	SINGAPORE	18	62	7	972	69	1	7
1173	SINGAPORE	18	62	6	1123	68	1	8
1174	SINGAPORE	18	62	13	1136	75	1	8
1175	SINGAPORE	19	20	3	166	23	1	2
1176	SINGAPORE	19	20	10	177	30	1	2
1177	SINGAPORE	19	20	0	353	20	1	3
1178	SINGAPORE	19	20	7	360	27	1	3
