TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	SINGAPORE	1	6	1	2	2	TANJUNG PELEPAS	7
2	1	2	2	TANJUNG PELEPAS	1	7	2	3	3	PORT KLANG	9
3	1	3	3	PORT KLANG	1	9	5	4	4	COLOMBO	14
4	1	4	4	COLOMBO	1	14	2	5	5	MALE	16
5	1	5	5	MALE	1	16	11	6	6	PORT VICTORIA	27
6	1	6	6	PORT VICTORIA	1	27	4	7	7	DAR ES SALAAM	31
7	1	7	7	DAR ES SALAAM	1	31	17	8	8	COLOMBO	48
8	1	8	8	COLOMBO	1	48	7	9	9	SINGAPORE	55
9	1	9	9	SINGAPORE	1	55	1	64	2	TANJUNG PELEPAS	56
10	1	10	1	SINGAPORE	2	13	1	11	2	TANJUNG PELEPAS	14
11	1	11	2	TANJUNG PELEPAS	2	14	2	12	3	PORT KLANG	16
12	1	12	3	PORT KLANG	2	16	5	13	4	COLOMBO	21
13	1	13	4	COLOMBO	2	21	2	14	5	MALE	23
14	1	14	5	MALE	2	23	11	15	6	PORT VICTORIA	34
15	1	15	6	PORT VICTORIA	2	34	4	16	7	DAR ES SALAAM	38
16	1	16	7	DAR ES SALAAM	2	38	17	17	8	COLOMBO	55
17	1	17	8	COLOMBO	2	55	7	18	9	SINGAPORE	62
18	1	18	9	SINGAPORE	2	62	1	72	2	TANJUNG PELEPAS	63
19	1	19	1	SINGAPORE	3	20	1	20	2	TANJUNG PELEPAS	21
20	1	20	2	TANJUNG PELEPAS	3	21	2	21	3	PORT KLANG	23
21	1	21	3	PORT KLANG	3	23	5	22	4	COLOMBO	28
22	1	22	4	COLOMBO	3	28	2	23	5	MALE	30
23	1	23	5	MALE	3	30	11	24	6	PORT VICTORIA	41
24	1	24	6	PORT VICTORIA	3	41	4	25	7	DAR ES SALAAM	45
25	1	25	7	DAR ES SALAAM	3	45	17	26	8	COLOMBO	62
26	1	26	8	COLOMBO	3	62	7	27	9	SINGAPORE	69
27	1	27	9	SINGAPORE	3	69	1	80	2	TANJUNG PELEPAS	70
28	1	28	1	SINGAPORE	4	27	1	29	2	TANJUNG PELEPAS	28
29	1	29	2	TANJUNG PELEPAS	4	28	2	30	3	PORT KLANG	30
30	1	30	3	PORT KLANG	4	30	5	31	4	COLOMBO	35
31	1	31	4	COLOMBO	4	35	2	32	5	MALE	37
32	1	32	5	MALE	4	37	11	33	6	PORT VICTORIA	48
33	1	33	6	PORT VICTORIA	4	48	4	34	7	DAR ES SALAAM	52
34	1	34	7	DAR ES SALAAM	4	52	17	35	8	COLOMBO	69
35	1	35	8	COLOMBO	4	69	7	36	9	SINGAPORE	76
36	1	36	9	SINGAPORE	4	76	1	88	2	TANJUNG PELEPAS	77
37	1	37	1	SINGAPORE	5	34	1	38	2	TANJUNG PELEPAS	35
38	1	38	2	TANJUNG PELEPAS	5	35	2	39	3	PORT KLANG	37
39	1	39	3	PORT KLANG	5	37	5	40	4	COLOMBO	42
40	1	40	4	COLOMBO	5	42	2	41	5	MALE	44
41	1	41	5	MALE	5	44	11	42	6	PORT VICTORIA	55
42	1	42	6	PORT VICTORIA	5	55	4	43	7	DAR ES SALAAM	59
43	1	43	7	DAR ES SALAAM	5	59	17	44	8	COLOMBO	76
44	1	44	8	COLOMBO	5	76	7	45	9	SINGAPORE	83
45	1	45	9	SINGAPORE	5	83	1	96	2	TANJUNG PELEPAS	84
46	1	46	1	SINGAPORE	6	41	1	47	2	TANJUNG PELEPAS	42
47	1	47	2	TANJUNG PELEPAS	6	42	2	48	3	PORT KLANG	44
48	1	48	3	PORT KLANG	6	44	5	49	4	COLOMBO	49
49	1	49	4	COLOMBO	6	49	2	50	5	MALE	51
50	1	50	5	MALE	6	51	11	51	6	PORT VICTORIA	62
51	1	51	6	PORT VICTORIA	6	62	4	52	7	DAR ES SALAAM	66
52	1	52	7	DAR ES SALAAM	6	66	17	53	8	COLOMBO	83
53	1	53	8	COLOMBO	6	83	7	54	9	SINGAPORE	90
54	1	54	9	SINGAPORE	6	90	1	104	2	TANJUNG PELEPAS	91
55	1	55	1	SINGAPORE	7	48	1	56	2	TANJUNG PELEPAS	49
56	1	56	2	TANJUNG PELEPAS	7	49	2	57	3	PORT KLANG	51
57	1	57	3	PORT KLANG	7	51	5	58	4	COLOMBO	56
58	1	58	4	COLOMBO	7	56	2	59	5	MALE	58
59	1	59	5	MALE	7	58	11	60	6	PORT VICTORIA	69
60	1	60	6	PORT VICTORIA	7	69	4	61	7	DAR ES SALAAM	73
61	1	61	7	DAR ES SALAAM	7	73	17	62	8	COLOMBO	90
62	1	62	8	COLOMBO	7	90	7	63	9	SINGAPORE	97
63	1	63	9	SINGAPORE	7	97	1	112	2	TANJUNG PELEPAS	98
64	1	64	2	TANJUNG PELEPAS	8	56	2	65	3	PORT KLANG	58
65	1	65	3	PORT KLANG	8	58	5	66	4	COLOMBO	63
66	1	66	4	COLOMBO	8	63	2	67	5	MALE	65
67	1	67	5	MALE	8	65	11	68	6	PORT VICTORIA	76
68	1	68	6	PORT VICTORIA	8	76	4	69	7	DAR ES SALAAM	80
69	1	69	7	DAR ES SALAAM	8	80	17	70	8	COLOMBO	97
70	1	70	8	COLOMBO	8	97	7	71	9	SINGAPORE	104
71	1	71	9	SINGAPORE	8	104	1	120	2	TANJUNG PELEPAS	105
72	1	72	2	TANJUNG PELEPAS	9	63	2	73	3	PORT KLANG	65
73	1	73	3	PORT KLANG	9	65	5	74	4	COLOMBO	70
74	1	74	4	COLOMBO	9	70	2	75	5	MALE	72
75	1	75	5	MALE	9	72	11	76	6	PORT VICTORIA	83
76	1	76	6	PORT VICTORIA	9	83	4	77	7	DAR ES SALAAM	87
77	1	77	7	DAR ES SALAAM	9	87	17	78	8	COLOMBO	104
78	1	78	8	COLOMBO	9	104	7	79	9	SINGAPORE	111
79	1	79	9	SINGAPORE	9	111	1	128	2	TANJUNG PELEPAS	112
80	1	80	2	TANJUNG PELEPAS	10	70	2	81	3	PORT KLANG	72
81	1	81	3	PORT KLANG	10	72	5	82	4	COLOMBO	77
82	1	82	4	COLOMBO	10	77	2	83	5	MALE	79
83	1	83	5	MALE	10	79	11	84	6	PORT VICTORIA	90
84	1	84	6	PORT VICTORIA	10	90	4	85	7	DAR ES SALAAM	94
85	1	85	7	DAR ES SALAAM	10	94	17	86	8	COLOMBO	111
86	1	86	8	COLOMBO	10	111	7	87	9	SINGAPORE	118
87	1	87	9	SINGAPORE	10	118	1	136	2	TANJUNG PELEPAS	119
88	1	88	2	TANJUNG PELEPAS	11	77	2	89	3	PORT KLANG	79
89	1	89	3	PORT KLANG	11	79	5	90	4	COLOMBO	84
90	1	90	4	COLOMBO	11	84	2	91	5	MALE	86
91	1	91	5	MALE	11	86	11	92	6	PORT VICTORIA	97
92	1	92	6	PORT VICTORIA	11	97	4	93	7	DAR ES SALAAM	101
93	1	93	7	DAR ES SALAAM	11	101	17	94	8	COLOMBO	118
94	1	94	8	COLOMBO	11	118	7	95	9	SINGAPORE	125
95	1	95	9	SINGAPORE	11	125	1	144	2	TANJUNG PELEPAS	126
96	1	96	2	TANJUNG PELEPAS	12	84	2	97	3	PORT KLANG	86
97	1	97	3	PORT KLANG	12	86	5	98	4	COLOMBO	91
98	1	98	4	COLOMBO	12	91	2	99	5	MALE	93
99	1	99	5	MALE	12	93	11	100	6	PORT VICTORIA	104
