ID	Route	Call	Port	Round_trip	Time
1	1	1	SINGAPORE	1	6
2	1	2	TANJUNG PELEPAS	1	7
3	1	3	PORT KLANG	1	9
4	1	4	COLOMBO	1	14
5	1	5	MALE	1	16
6	1	6	PORT VICTORIA	1	27
7	1	7	DAR ES SALAAM	1	31
8	1	8	COLOMBO	1	48
9	1	9	SINGAPORE	1	55
10	1	1	SINGAPORE	2	13
11	1	2	TANJUNG PELEPAS	2	14
12	1	3	PORT KLANG	2	16
13	1	4	COLOMBO	2	21
14	1	5	MALE	2	23
15	1	6	PORT VICTORIA	2	34
16	1	7	DAR ES SALAAM	2	38
17	1	8	COLOMBO	2	55
18	1	9	SINGAPORE	2	62
19	1	1	SINGAPORE	3	20
20	1	2	TANJUNG PELEPAS	3	21
21	1	3	PORT KLANG	3	23
22	1	4	COLOMBO	3	28
23	1	5	MALE	3	30
24	1	6	PORT VICTORIA	3	41
25	1	7	DAR ES SALAAM	3	45
26	1	8	COLOMBO	3	62
27	1	9	SINGAPORE	3	69
28	1	1	SINGAPORE	4	27
29	1	2	TANJUNG PELEPAS	4	28
30	1	3	PORT KLANG	4	30
31	1	4	COLOMBO	4	35
32	1	5	MALE	4	37
33	1	6	PORT VICTORIA	4	48
34	1	7	DAR ES SALAAM	4	52
35	1	8	COLOMBO	4	69
36	1	9	SINGAPORE	4	76
37	1	1	SINGAPORE	5	34
38	1	2	TANJUNG PELEPAS	5	35
39	1	3	PORT KLANG	5	37
40	1	4	COLOMBO	5	42
41	1	5	MALE	5	44
42	1	6	PORT VICTORIA	5	55
43	1	7	DAR ES SALAAM	5	59
44	1	8	COLOMBO	5	76
45	1	9	SINGAPORE	5	83
46	1	1	SINGAPORE	6	41
47	1	2	TANJUNG PELEPAS	6	42
48	1	3	PORT KLANG	6	44
49	1	4	COLOMBO	6	49
50	1	5	MALE	6	51
51	1	6	PORT VICTORIA	6	62
52	1	7	DAR ES SALAAM	6	66
53	1	8	COLOMBO	6	83
54	1	9	SINGAPORE	6	90
55	1	1	SINGAPORE	7	48
56	1	2	TANJUNG PELEPAS	7	49
57	1	3	PORT KLANG	7	51
58	1	4	COLOMBO	7	56
59	1	5	MALE	7	58
60	1	6	PORT VICTORIA	7	69
61	1	7	DAR ES SALAAM	7	73
62	1	8	COLOMBO	7	90
63	1	9	SINGAPORE	7	97
64	1	2	TANJUNG PELEPAS	8	56
65	1	3	PORT KLANG	8	58
66	1	4	COLOMBO	8	63
67	1	5	MALE	8	65
68	1	6	PORT VICTORIA	8	76
69	1	7	DAR ES SALAAM	8	80
70	1	8	COLOMBO	8	97
71	1	9	SINGAPORE	8	104
72	1	2	TANJUNG PELEPAS	9	63
73	1	3	PORT KLANG	9	65
74	1	4	COLOMBO	9	70
75	1	5	MALE	9	72
76	1	6	PORT VICTORIA	9	83
77	1	7	DAR ES SALAAM	9	87
78	1	8	COLOMBO	9	104
79	1	9	SINGAPORE	9	111
80	1	2	TANJUNG PELEPAS	10	70
81	1	3	PORT KLANG	10	72
82	1	4	COLOMBO	10	77
83	1	5	MALE	10	79
84	1	6	PORT VICTORIA	10	90
85	1	7	DAR ES SALAAM	10	94
86	1	8	COLOMBO	10	111
87	1	9	SINGAPORE	10	118
88	1	2	TANJUNG PELEPAS	11	77
89	1	3	PORT KLANG	11	79
90	1	4	COLOMBO	11	84
91	1	5	MALE	11	86
92	1	6	PORT VICTORIA	11	97
93	1	7	DAR ES SALAAM	11	101
94	1	8	COLOMBO	11	118
95	1	9	SINGAPORE	11	125
96	1	2	TANJUNG PELEPAS	12	84
97	1	3	PORT KLANG	12	86
98	1	4	COLOMBO	12	91
99	1	5	MALE	12	93
100	1	6	PORT VICTORIA	12	104
101	1	7	DAR ES SALAAM	12	108
102	1	8	COLOMBO	12	125
103	1	9	SINGAPORE	12	132
104	1	2	TANJUNG PELEPAS	13	91
105	1	3	PORT KLANG	13	93
106	1	4	COLOMBO	13	98
107	1	5	MALE	13	100
108	1	6	PORT VICTORIA	13	111
109	1	7	DAR ES SALAAM	13	115
110	1	8	COLOMBO	13	132
111	1	9	SINGAPORE	13	139
112	1	2	TANJUNG PELEPAS	14	98
113	1	3	PORT KLANG	14	100
114	1	4	COLOMBO	14	105
115	1	5	MALE	14	107
116	1	6	PORT VICTORIA	14	118
117	1	7	DAR ES SALAAM	14	122
118	1	8	COLOMBO	14	139
119	1	9	SINGAPORE	14	146
120	1	2	TANJUNG PELEPAS	15	105
121	1	3	PORT KLANG	15	107
122	1	4	COLOMBO	15	112
123	1	5	MALE	15	114
124	1	6	PORT VICTORIA	15	125
125	1	7	DAR ES SALAAM	15	129
126	1	8	COLOMBO	15	146
127	1	9	SINGAPORE	15	153
128	1	2	TANJUNG PELEPAS	16	112
129	1	3	PORT KLANG	16	114
130	1	4	COLOMBO	16	119
131	1	5	MALE	16	121
132	1	6	PORT VICTORIA	16	132
133	1	7	DAR ES SALAAM	16	136
134	1	8	COLOMBO	16	153
135	1	9	SINGAPORE	16	160
136	1	2	TANJUNG PELEPAS	17	119
137	1	3	PORT KLANG	17	121
138	1	4	COLOMBO	17	126
139	1	5	MALE	17	128
140	1	6	PORT VICTORIA	17	139
141	1	7	DAR ES SALAAM	17	143
142	1	8	COLOMBO	17	160
143	1	9	SINGAPORE	17	167
144	1	2	TANJUNG PELEPAS	18	126
145	1	3	PORT KLANG	18	128
146	1	4	COLOMBO	18	133
147	1	5	MALE	18	135
148	1	6	PORT VICTORIA	18	146
149	1	7	DAR ES SALAAM	18	150
150	1	8	COLOMBO	18	167
151	1	9	SINGAPORE	18	174
152	2	1	SHANGHAI	1	6
153	2	2	NINGBO	1	7
154	2	3	NANSHA	1	11
155	2	4	SINGAPORE	1	16
156	2	5	TANJUNG PELEPAS	1	16
157	2	6	PORT KLANG	1	18
158	2	7	COLOMBO	1	22
159	2	8	MOMBASA	1	31
160	2	9	PORT KLANG	1	46
161	2	10	SINGAPORE	1	47
162	2	11	SHANGHAI	1	55
163	2	1	SHANGHAI	2	13
164	2	2	NINGBO	2	14
165	2	3	NANSHA	2	18
166	2	4	SINGAPORE	2	23
167	2	5	TANJUNG PELEPAS	2	23
168	2	6	PORT KLANG	2	25
169	2	7	COLOMBO	2	29
170	2	8	MOMBASA	2	38
171	2	9	PORT KLANG	2	53
172	2	10	SINGAPORE	2	54
173	2	11	SHANGHAI	2	62
174	2	1	SHANGHAI	3	20
175	2	2	NINGBO	3	21
176	2	3	NANSHA	3	25
177	2	4	SINGAPORE	3	30
178	2	5	TANJUNG PELEPAS	3	30
179	2	6	PORT KLANG	3	32
180	2	7	COLOMBO	3	36
181	2	8	MOMBASA	3	45
182	2	9	PORT KLANG	3	60
183	2	10	SINGAPORE	3	61
184	2	11	SHANGHAI	3	69
185	2	1	SHANGHAI	4	27
186	2	2	NINGBO	4	28
187	2	3	NANSHA	4	32
188	2	4	SINGAPORE	4	37
189	2	5	TANJUNG PELEPAS	4	37
190	2	6	PORT KLANG	4	39
191	2	7	COLOMBO	4	43
192	2	8	MOMBASA	4	52
193	2	9	PORT KLANG	4	67
194	2	10	SINGAPORE	4	68
195	2	11	SHANGHAI	4	76
196	2	1	SHANGHAI	5	34
197	2	2	NINGBO	5	35
198	2	3	NANSHA	5	39
199	2	4	SINGAPORE	5	44
200	2	5	TANJUNG PELEPAS	5	44
201	2	6	PORT KLANG	5	46
202	2	7	COLOMBO	5	50
203	2	8	MOMBASA	5	59
204	2	9	PORT KLANG	5	74
205	2	10	SINGAPORE	5	75
206	2	11	SHANGHAI	5	83
207	2	1	SHANGHAI	6	41
208	2	2	NINGBO	6	42
209	2	3	NANSHA	6	46
210	2	4	SINGAPORE	6	51
211	2	5	TANJUNG PELEPAS	6	51
212	2	6	PORT KLANG	6	53
213	2	7	COLOMBO	6	57
214	2	8	MOMBASA	6	66
215	2	9	PORT KLANG	6	81
216	2	10	SINGAPORE	6	82
217	2	11	SHANGHAI	6	90
218	2	1	SHANGHAI	7	48
219	2	2	NINGBO	7	49
220	2	3	NANSHA	7	53
221	2	4	SINGAPORE	7	58
