PortID	Port	WhetherTrans	Region	Group
1	BUSAN(KOREA)	0	ASIA	1
2	NINGBO	1	ASIA	1
3	SHANGHAI	1	ASIA	1
4	YANTIAN	1	ASIA	1
5	SINGAPORE	1	ASIA	1
6	ALGECIRAS	1	EUROPE	4
7	DUNKERQUE	0	EUROPE	4
8	LE HAVRE	1	EUROPE	4
9	HAMBURG	1	EUROPE	4
10	WILHELMSHAVEN	1	EUROPE	4
11	ROTTERDAM	1	EUROPE	4
12	PORT KLANG	0	ASIA	1
13	TIANJIN XINGANG	1	ASIA	1
14	DALIAN	0	ASIA	1
15	QINGDAO	1	ASIA	1
16	PIRAEUS	1	EUROPE	4
17	ANTWERP	1	EUROPE	4
18	XIAMEN	1	ASIA	1
19	SOUTHAMPTON	0	EUROPE	4
20	TANGER MED	0	AFRICA	5
21	FELIXSTOWE	1	EUROPE	4
22	ZEEBRUGGE	1	EUROPE	4
23	GDANSK	0	EUROPE	4
24	KAOHSIUNG	0	ASIA	1
25	TAIPEI	0	ASIA	1
26	COLOMBO	0	ASIA	1
27	TANJUNG PELEPAS	1	ASIA	1
28	NANSHA	0	ASIA	1
29	HONG KONG	0	ASIA	1
30	VUNG TAU	0	ASIA	1
31	VALENCIA	0	EUROPE	4
