Route	Call	Port	Time
1	1	BUSAN(KOREA)	4
1	2	NINGBO	6
1	3	SHANGHAI	9
1	4	YANTIAN	15
1	5	SINGAPORE	20
1	6	ALGECIRAS	40
1	7	DUNKERQUE	45
1	8	LE HAVRE	47
1	9	HAMBURG	52
1	10	WILHELMSHAVEN	56
1	11	ROTTERDAM	58
1	12	ALGECIRAS	64
1	13	PORT KLANG	84
1	14	BUSAN(KOREA)	95
2	1	TIANJIN XINGANG	4
2	2	DALIAN	5
2	3	QINGDAO	8
2	4	SHANGHAI	11
2	5	NINGBO	13
2	6	SINGAPORE	19
2	7	PIRAEUS	34
2	8	ROTTERDAM	42
2	9	HAMBURG	44
2	10	ANTWERP	48
2	11	ROTTERDAM	50
2	12	SHANGHAI	77
2	13	TIANJIN XINGANG	81
3	1	QINGDAO	4
3	2	NINGBO	7
3	3	SHANGHAI	9
3	4	XIAMEN	12
3	5	YANTIAN	14
3	6	SINGAPORE	19
3	7	ROTTERDAM	44
3	8	SOUTHAMPTON	47
3	9	ANTWERP	52
3	10	LE HAVRE	55
3	11	TANGER MED	62
3	12	QINGDAO	95
4	1	SHANGHAI	4
4	2	NINGBO	5
4	3	XIAMEN	8
4	4	YANTIAN	10
4	5	SINGAPORE	14
4	6	FELIXSTOWE	35
4	7	ZEEBRUGGE	37
4	8	GDANSK	41
4	9	WILHELMSHAVEN	46
4	10	SINGAPORE	69
4	11	YANTIAN	73
4	12	SHANGHAI	81
5	1	KAOHSIUNG	4
5	2	QINGDAO	8
5	3	SHANGHAI	11
5	4	NINGBO	13
5	5	TAIPEI	15
5	6	YANTIAN	17
5	7	SINGAPORE	22
5	8	ROTTERDAM	43
5	9	FELIXSTOWE	47
5	10	HAMBURG	51
5	11	ROTTERDAM	55
5	12	COLOMBO	77
5	13	TANJUNG PELEPAS	82
5	14	KAOHSIUNG	88
6	1	XIAMEN	4
6	2	NANSHA	6
6	3	HONG KONG	7
6	4	YANTIAN	8
6	5	VUNG TAU	12
6	6	SINGAPORE	15
6	7	PIRAEUS	29
6	8	HAMBURG	39
6	9	ROTTERDAM	42
6	10	ZEEBRUGGE	46
6	11	VALENCIA	53
6	12	PIRAEUS	57
6	13	SINGAPORE	77
6	14	XIAMEN	88
7	1	TIANJIN XINGANG	4
7	2	NINGBO	7
7	3	SHANGHAI	9
7	4	YANTIAN	15
7	5	SINGAPORE	20
7	6	ANTWERP	47
7	7	HAMBURG	50
7	8	ROTTERDAM	54
7	9	PIRAEUS	63
7	10	TANJUNG PELEPAS	79
7	11	TIANJIN XINGANG	95
