VesselID	Capacity	OperationCost	RouteID	MaxNum
1	23112	18.795	1	1
2	23112	18.795	1	1
3	20954	18.255	1	1
4	20954	18.255	1	1
5	23112	18.795	1	1
6	20954	18.255	1	1
7	23112	18.795	1	1
8	23112	18.795	1	1
9	23112	18.795	1	1
10	23112	18.795	1	1
11	23112	18.795	1	1
12	23112	18.795	1	1
13	17859	17.482	1	1
14	19273	15.835	2	1
15	20119	16.047	2	1
16	21237	16.326	2	1
17	20119	16.047	2	1
18	301	11.092	2	1
19	751	11.205	2	1
20	19273	15.835	2	1
21	19273	15.835	2	1
22	20119	16.047	2	1
23	19273	15.835	2	1
24	20119	16.047	2	1
25	17292	17.34	3	1
26	17292	17.34	3	1
27	17292	17.34	3	1
28	17292	17.34	3	1
29	17292	17.34	3	1
30	17292	17.34	3	1
31	17292	17.34	3	1
32	17292	17.34	3	1
33	17859	17.482	3	1
34	17722	17.447	3	1
35	17722	17.447	3	1
36	17722	17.447	3	1
37	17859	17.482	3	1
38	21237	16.326	4	1
39	21237	16.326	4	1
40	19273	15.835	4	1
41	18982	15.762	4	1
42	18982	15.762	4	1
43	21413	16.37	4	1
44	21000	16.267	4	1
45	21413	16.37	4	1
46	21413	16.37	4	1
47	21413	16.37	4	1
48	21413	16.37	4	1
49	1	12.017	5	1
50	23992	18.015	5	1
51	24000	18.017	5	1
52	23992	18.015	5	1
53	24000	18.017	5	1
54	23992	18.015	5	1
55	24000	18.017	5	1
56	24000	18.017	5	1
57	23992	18.015	5	1
58	23992	18.015	5	1
59	24000	18.017	5	1
60	23992	18.015	5	1
61	13200	15.317	6	1
62	18982	16.762	6	1
63	14566	15.658	6	1
64	21237	17.326	6	1
65	621	12.172	6	1
66	651	12.18	6	1
67	911	12.245	6	1
68	941	12.252	6	1
69	951	12.255	6	1
70	971	12.26	6	1
71	14074	15.535	6	1
72	14074	15.535	6	1
73	20160	18.057	7	1
74	20388	18.114	7	1
75	20388	18.114	7	1
76	20388	18.114	7	1
77	20388	18.114	7	1
78	20388	18.114	7	1
79	20388	18.114	7	1
80	20160	18.057	7	1
81	20388	18.114	7	1
82	20388	18.114	7	1
83	13806	16.468	7	1
84	13806	16.468	7	1
85	1380	13.362	7	1
