TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1152	NINGBO	2	6	7	187	13	1	2
1153	NINGBO	2	6	1	375	7	1	3
1154	NINGBO	2	6	8	387	14	1	3
1155	NINGBO	2	6	6	543	12	1	4
1156	NINGBO	2	6	13	555	19	1	4
1157	NINGBO	2	6	7	709	13	1	5
1158	NINGBO	2	6	1	1095	7	1	7
1159	NINGBO	2	6	8	1106	14	1	7
1160	SHANGHAI	3	9	2	186	11	1	2
1161	SHANGHAI	3	9	9	199	18	1	2
1162	SHANGHAI	3	9	0	376	9	1	3
1163	SHANGHAI	3	9	7	388	16	1	3
1164	SHANGHAI	3	9	2	542	11	1	4
1165	SHANGHAI	3	9	9	554	18	1	4
1166	SHANGHAI	3	9	2	708	11	1	5
1167	SHANGHAI	3	9	9	722	18	1	5
1168	SHANGHAI	3	9	0	1096	9	1	7
1169	SHANGHAI	3	9	7	1107	16	1	7
1170	YANTIAN	4	15	6	390	21	1	3
1171	YANTIAN	4	15	13	402	28	1	3
1172	YANTIAN	4	15	2	545	17	1	4
1173	YANTIAN	4	15	9	557	24	1	4
1174	YANTIAN	4	15	2	711	17	1	5
1175	YANTIAN	4	15	9	725	24	1	5
1176	YANTIAN	4	15	0	917	15	1	6
1177	YANTIAN	4	15	7	931	22	1	6
1178	YANTIAN	4	15	0	1097	15	1	7
1179	YANTIAN	4	15	7	1108	22	1	7
1180	SINGAPORE	5	20	6	201	26	1	2
1181	SINGAPORE	5	20	13	214	33	1	2
1182	SINGAPORE	5	20	6	391	26	1	3
1183	SINGAPORE	5	20	13	403	33	1	3
1184	SINGAPORE	5	20	1	546	21	1	4
1185	SINGAPORE	5	20	8	558	28	1	4
1186	SINGAPORE	5	20	2	712	22	1	5
1187	SINGAPORE	5	20	9	726	29	1	5
1188	SINGAPORE	5	20	2	919	22	1	6
1189	SINGAPORE	5	20	9	933	29	1	6
1190	SINGAPORE	5	20	0	1098	20	1	7
1191	SINGAPORE	5	20	7	1109	27	1	7
1192	LE HAVRE	8	47	8	383	55	1	3
1193	HAMBURG	9	52	6	217	58	1	2
1194	HAMBURG	9	52	13	230	65	1	2
1195	HAMBURG	9	52	6	729	58	1	5
1196	HAMBURG	9	52	13	743	65	1	5
1197	HAMBURG	9	52	1	935	53	1	6
1198	HAMBURG	9	52	8	949	60	1	6
1199	HAMBURG	9	52	5	1111	57	1	7
1200	HAMBURG	9	52	12	1122	64	1	7
1201	WILHELMSHAVEN	10	56	4	562	60	1	4
1202	WILHELMSHAVEN	10	56	11	574	67	1	4
1203	ROTTERDAM	11	58	6	219	64	1	2
1204	ROTTERDAM	11	58	5	229	63	1	2
