TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	BUSAN, KOREA	1	4	2	2	2	NINGBO	6
2	1	2	2	NINGBO	1	6	3	3	3	SHANGHAI	9
3	1	3	3	SHANGHAI	1	9	6	4	4	YANTIAN	15
4	1	4	4	YANTIAN	1	15	5	5	5	SINGAPORE	20
5	1	5	5	SINGAPORE	1	20	20	6	6	ALGECIRAS	40
6	1	6	6	ALGECIRAS	1	40	5	7	7	DUNKERQUE	45
7	1	7	7	DUNKERQUE	1	45	2	8	8	LE HAVRE	47
8	1	8	8	LE HAVRE	1	47	5	9	9	HAMBURG	52
9	1	9	9	HAMBURG	1	52	4	10	10	WILHELMSHAVEN	56
10	1	10	10	WILHELMSHAVEN	1	56	2	11	11	ROTTERDAM	58
11	1	11	11	ROTTERDAM	1	58	6	12	12	ALGECIRAS	64
12	1	12	12	ALGECIRAS	1	64	20	13	13	PORT KLANG	84
13	1	13	13	PORT KLANG	1	84	11	14	14	BUSAN, KOREA	95
14	1	15	1	BUSAN, KOREA	2	11	2	16	2	NINGBO	13
15	1	16	2	NINGBO	2	13	3	17	3	SHANGHAI	16
16	1	17	3	SHANGHAI	2	16	6	18	4	YANTIAN	22
17	1	18	4	YANTIAN	2	22	5	19	5	SINGAPORE	27
18	1	19	5	SINGAPORE	2	27	20	20	6	ALGECIRAS	47
19	1	20	6	ALGECIRAS	2	47	5	21	7	DUNKERQUE	52
20	1	21	7	DUNKERQUE	2	52	2	22	8	LE HAVRE	54
21	1	22	8	LE HAVRE	2	54	5	23	9	HAMBURG	59
22	1	23	9	HAMBURG	2	59	4	24	10	WILHELMSHAVEN	63
23	1	24	10	WILHELMSHAVEN	2	63	2	25	11	ROTTERDAM	65
24	1	25	11	ROTTERDAM	2	65	6	26	12	ALGECIRAS	71
25	1	26	12	ALGECIRAS	2	71	20	27	13	PORT KLANG	91
26	1	27	13	PORT KLANG	2	91	11	28	14	BUSAN, KOREA	102
27	1	29	1	BUSAN, KOREA	3	18	2	30	2	NINGBO	20
28	1	30	2	NINGBO	3	20	3	31	3	SHANGHAI	23
29	1	31	3	SHANGHAI	3	23	6	32	4	YANTIAN	29
30	1	32	4	YANTIAN	3	29	5	33	5	SINGAPORE	34
31	1	33	5	SINGAPORE	3	34	20	34	6	ALGECIRAS	54
32	1	34	6	ALGECIRAS	3	54	5	35	7	DUNKERQUE	59
33	1	35	7	DUNKERQUE	3	59	2	36	8	LE HAVRE	61
34	1	36	8	LE HAVRE	3	61	5	37	9	HAMBURG	66
35	1	37	9	HAMBURG	3	66	4	38	10	WILHELMSHAVEN	70
36	1	38	10	WILHELMSHAVEN	3	70	2	39	11	ROTTERDAM	72
37	1	39	11	ROTTERDAM	3	72	6	40	12	ALGECIRAS	78
38	1	40	12	ALGECIRAS	3	78	20	41	13	PORT KLANG	98
39	1	41	13	PORT KLANG	3	98	11	42	14	BUSAN, KOREA	109
40	1	43	1	BUSAN, KOREA	4	25	2	44	2	NINGBO	27
41	1	44	2	NINGBO	4	27	3	45	3	SHANGHAI	30
42	1	45	3	SHANGHAI	4	30	6	46	4	YANTIAN	36
43	1	46	4	YANTIAN	4	36	5	47	5	SINGAPORE	41
44	1	47	5	SINGAPORE	4	41	20	48	6	ALGECIRAS	61
45	1	48	6	ALGECIRAS	4	61	5	49	7	DUNKERQUE	66
46	1	49	7	DUNKERQUE	4	66	2	50	8	LE HAVRE	68
