ID	Route	Call	Port	Round_trip	Time
1	1	1	BUSAN, KOREA	1	4
2	1	2	NINGBO	1	6
3	1	3	SHANGHAI	1	9
4	1	4	YANTIAN	1	15
5	1	5	SINGAPORE	1	20
6	1	6	ALGECIRAS	1	40
7	1	7	DUNKERQUE	1	45
8	1	8	LE HAVRE	1	47
9	1	9	HAMBURG	1	52
10	1	10	WILHELMSHAVEN	1	56
11	1	11	ROTTERDAM	1	58
12	1	12	ALGECIRAS	1	64
13	1	13	PORT KLANG	1	84
14	1	14	BUSAN, KOREA	1	95
15	1	1	BUSAN, KOREA	2	11
16	1	2	NINGBO	2	13
17	1	3	SHANGHAI	2	16
18	1	4	YANTIAN	2	22
19	1	5	SINGAPORE	2	27
20	1	6	ALGECIRAS	2	47
21	1	7	DUNKERQUE	2	52
22	1	8	LE HAVRE	2	54
23	1	9	HAMBURG	2	59
24	1	10	WILHELMSHAVEN	2	63
25	1	11	ROTTERDAM	2	65
26	1	12	ALGECIRAS	2	71
27	1	13	PORT KLANG	2	91
28	1	14	BUSAN, KOREA	2	102
29	1	1	BUSAN, KOREA	3	18
30	1	2	NINGBO	3	20
31	1	3	SHANGHAI	3	23
32	1	4	YANTIAN	3	29
33	1	5	SINGAPORE	3	34
34	1	6	ALGECIRAS	3	54
35	1	7	DUNKERQUE	3	59
36	1	8	LE HAVRE	3	61
37	1	9	HAMBURG	3	66
38	1	10	WILHELMSHAVEN	3	70
39	1	11	ROTTERDAM	3	72
40	1	12	ALGECIRAS	3	78
41	1	13	PORT KLANG	3	98
42	1	14	BUSAN, KOREA	3	109
43	1	1	BUSAN, KOREA	4	25
44	1	2	NINGBO	4	27
45	1	3	SHANGHAI	4	30
46	1	4	YANTIAN	4	36
47	1	5	SINGAPORE	4	41
48	1	6	ALGECIRAS	4	61
49	1	7	DUNKERQUE	4	66
50	1	8	LE HAVRE	4	68
51	1	9	HAMBURG	4	73
52	1	10	WILHELMSHAVEN	4	77
53	1	11	ROTTERDAM	4	79
54	1	12	ALGECIRAS	4	85
55	1	13	PORT KLANG	4	105
56	1	14	BUSAN, KOREA	4	116
57	1	1	BUSAN, KOREA	5	32
58	1	2	NINGBO	5	34
59	1	3	SHANGHAI	5	37
60	1	4	YANTIAN	5	43
61	1	5	SINGAPORE	5	48
62	1	6	ALGECIRAS	5	68
