PortID	Port	WhetherTrans	Region	Group
1	SHANGHAI	1	ASIA	1
2	NINGBO	1	ASIA	1
3	XIAMEN	1	ASIA	1
4	SHEKOU	1	ASIA	1
5	SINGAPORE	1	ASIA	1
6	PORT SAID	1	AFRICA	5
7	BEIRUT	1	MIDDLE EAST	7
8	TRIPOLI(LB)	0	MIDDLE EAST	7
9	IZMIT	0	ASIA	1
10	ISTANBUL(AMBARLI) PORT E. SIDE	0	EUROPE	4
11	CONSTANTA	0	EUROPE	4
12	ODESSA	0	EUROPE	4
13	PIRAEUS	1	EUROPE	4
14	JEDDAH	1	MIDDLE EAST	7
15	PORT KLANG	1	ASIA	1
16	BUSAN(KOREA)	1	ASIA	1
17	ALEXANDRIA	0	AFRICA	5
18	KOPER	0	EUROPE	4
19	TRIESTE	0	EUROPE	4
20	RIJEKA	0	EUROPE	4
21	QINGDAO	1	ASIA	1
22	NANSHA	0	ASIA	1
23	VALENCIA	1	EUROPE	4
24	BARCELONA	0	EUROPE	4
25	FOS SUR MER	1	EUROPE	4
26	GENOA	1	EUROPE	4
27	JEBEL ALI	0	MIDDLE EAST	7
28	KAOHSIUNG	0	ASIA	1
29	HONG KONG	0	ASIA	1
30	YANTIAN	0	ASIA	1
31	LA SPEZIA	0	EUROPE	4
