PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	ALEXANDRIA	BARCELONA	1	180
2	ALEXANDRIA	BEIRUT	1	180
3	ALEXANDRIA	BUSAN(KOREA)	1	180
4	ALEXANDRIA	CONSTANTA	1	180
5	ALEXANDRIA	FOS SUR MER	1	180
6	ALEXANDRIA	GENOA	1	180
7	ALEXANDRIA	HONG KONG	1	180
8	ALEXANDRIA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
9	ALEXANDRIA	IZMIT	1	180
10	ALEXANDRIA	JEBEL ALI	1	180
11	ALEXANDRIA	JEDDAH	1	180
12	ALEXANDRIA	KAOHSIUNG	1	180
13	ALEXANDRIA	KOPER	1	180
14	ALEXANDRIA	LA SPEZIA	1	180
15	ALEXANDRIA	NANSHA	1	180
16	ALEXANDRIA	NINGBO	1	180
17	ALEXANDRIA	ODESSA	1	180
18	ALEXANDRIA	PIRAEUS	1	180
19	ALEXANDRIA	PORT KLANG	1	180
20	ALEXANDRIA	PORT SAID	1	180
21	ALEXANDRIA	QINGDAO	1	180
22	ALEXANDRIA	RIJEKA	1	180
23	ALEXANDRIA	SHANGHAI	1	180
24	ALEXANDRIA	SHEKOU	1	180
25	ALEXANDRIA	SINGAPORE	1	180
26	ALEXANDRIA	TRIESTE	1	180
27	ALEXANDRIA	TRIPOLI(LB)	1	180
28	ALEXANDRIA	VALENCIA	1	180
29	ALEXANDRIA	XIAMEN	1	180
30	ALEXANDRIA	YANTIAN	1	180
31	BARCELONA	ALEXANDRIA	1	180
32	BARCELONA	BEIRUT	1	180
33	BARCELONA	BUSAN(KOREA)	1	180
34	BARCELONA	CONSTANTA	1	180
35	BARCELONA	FOS SUR MER	1	180
36	BARCELONA	GENOA	1	180
37	BARCELONA	HONG KONG	1	180
38	BARCELONA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
39	BARCELONA	IZMIT	1	180
40	BARCELONA	JEBEL ALI	1	180
41	BARCELONA	JEDDAH	1	180
42	BARCELONA	KAOHSIUNG	1	180
43	BARCELONA	KOPER	1	180
44	BARCELONA	LA SPEZIA	1	180
45	BARCELONA	NANSHA	1	180
46	BARCELONA	NINGBO	1	180
47	BARCELONA	ODESSA	1	180
48	BARCELONA	PIRAEUS	1	180
49	BARCELONA	PORT KLANG	1	180
50	BARCELONA	PORT SAID	1	180
51	BARCELONA	QINGDAO	1	180
52	BARCELONA	RIJEKA	1	180
53	BARCELONA	SHANGHAI	1	180
54	BARCELONA	SHEKOU	1	180
55	BARCELONA	SINGAPORE	1	180
56	BARCELONA	TRIESTE	1	180
57	BARCELONA	TRIPOLI(LB)	1	180
58	BARCELONA	VALENCIA	1	180
59	BARCELONA	XIAMEN	1	180
60	BARCELONA	YANTIAN	1	180
61	BEIRUT	ALEXANDRIA	1	180
62	BEIRUT	BARCELONA	1	180
63	BEIRUT	BUSAN(KOREA)	1	180
64	BEIRUT	CONSTANTA	1	180
65	BEIRUT	FOS SUR MER	1	180
66	BEIRUT	GENOA	1	180
67	BEIRUT	HONG KONG	1	180
68	BEIRUT	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
69	BEIRUT	IZMIT	1	180
70	BEIRUT	JEBEL ALI	1	180
71	BEIRUT	JEDDAH	1	180
72	BEIRUT	KAOHSIUNG	1	180
73	BEIRUT	KOPER	1	180
74	BEIRUT	LA SPEZIA	1	180
75	BEIRUT	NANSHA	1	180
76	BEIRUT	NINGBO	1	180
77	BEIRUT	ODESSA	1	180
78	BEIRUT	PIRAEUS	1	180
79	BEIRUT	PORT KLANG	1	180
80	BEIRUT	PORT SAID	1	180
81	BEIRUT	QINGDAO	1	180
82	BEIRUT	RIJEKA	1	180
83	BEIRUT	SHANGHAI	1	180
84	BEIRUT	SHEKOU	1	180
85	BEIRUT	SINGAPORE	1	180
86	BEIRUT	TRIESTE	1	180
87	BEIRUT	TRIPOLI(LB)	1	180
88	BEIRUT	VALENCIA	1	180
89	BEIRUT	XIAMEN	1	180
90	BEIRUT	YANTIAN	1	180
91	BUSAN(KOREA)	ALEXANDRIA	1	180
92	BUSAN(KOREA)	BARCELONA	1	180
93	BUSAN(KOREA)	BEIRUT	1	180
94	BUSAN(KOREA)	CONSTANTA	1	180
95	BUSAN(KOREA)	FOS SUR MER	1	180
96	BUSAN(KOREA)	GENOA	1	180
97	BUSAN(KOREA)	HONG KONG	1	180
98	BUSAN(KOREA)	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
99	BUSAN(KOREA)	IZMIT	1	180
100	BUSAN(KOREA)	JEBEL ALI	1	180
101	BUSAN(KOREA)	JEDDAH	1	180
102	BUSAN(KOREA)	KAOHSIUNG	1	180
103	BUSAN(KOREA)	KOPER	1	180
104	BUSAN(KOREA)	LA SPEZIA	1	180
105	BUSAN(KOREA)	NANSHA	1	180
106	BUSAN(KOREA)	NINGBO	1	180
107	BUSAN(KOREA)	ODESSA	1	180
108	BUSAN(KOREA)	PIRAEUS	1	180
109	BUSAN(KOREA)	PORT KLANG	1	180
110	BUSAN(KOREA)	PORT SAID	1	180
111	BUSAN(KOREA)	QINGDAO	1	180
112	BUSAN(KOREA)	RIJEKA	1	180
113	BUSAN(KOREA)	SHANGHAI	1	180
114	BUSAN(KOREA)	SHEKOU	1	180
115	BUSAN(KOREA)	SINGAPORE	1	180
116	BUSAN(KOREA)	TRIESTE	1	180
117	BUSAN(KOREA)	TRIPOLI(LB)	1	180
118	BUSAN(KOREA)	VALENCIA	1	180
119	BUSAN(KOREA)	XIAMEN	1	180
120	BUSAN(KOREA)	YANTIAN	1	180
121	CONSTANTA	ALEXANDRIA	1	180
122	CONSTANTA	BARCELONA	1	180
123	CONSTANTA	BEIRUT	1	180
124	CONSTANTA	BUSAN(KOREA)	1	180
125	CONSTANTA	FOS SUR MER	1	180
126	CONSTANTA	GENOA	1	180
127	CONSTANTA	HONG KONG	1	180
128	CONSTANTA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
129	CONSTANTA	IZMIT	1	180
130	CONSTANTA	JEBEL ALI	1	180
131	CONSTANTA	JEDDAH	1	180
132	CONSTANTA	KAOHSIUNG	1	180
133	CONSTANTA	KOPER	1	180
134	CONSTANTA	LA SPEZIA	1	180
135	CONSTANTA	NANSHA	1	180
136	CONSTANTA	NINGBO	1	180
137	CONSTANTA	ODESSA	1	180
138	CONSTANTA	PIRAEUS	1	180
139	CONSTANTA	PORT KLANG	1	180
140	CONSTANTA	PORT SAID	1	180
141	CONSTANTA	QINGDAO	1	180
142	CONSTANTA	RIJEKA	1	180
143	CONSTANTA	SHANGHAI	1	180
144	CONSTANTA	SHEKOU	1	180
145	CONSTANTA	SINGAPORE	1	180
146	CONSTANTA	TRIESTE	1	180
147	CONSTANTA	TRIPOLI(LB)	1	180
148	CONSTANTA	VALENCIA	1	180
149	CONSTANTA	XIAMEN	1	180
150	CONSTANTA	YANTIAN	1	180
151	FOS SUR MER	ALEXANDRIA	1	180
152	FOS SUR MER	BARCELONA	1	180
153	FOS SUR MER	BEIRUT	1	180
154	FOS SUR MER	BUSAN(KOREA)	1	180
155	FOS SUR MER	CONSTANTA	1	180
156	FOS SUR MER	GENOA	1	180
157	FOS SUR MER	HONG KONG	1	180
158	FOS SUR MER	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
159	FOS SUR MER	IZMIT	1	180
160	FOS SUR MER	JEBEL ALI	1	180
161	FOS SUR MER	JEDDAH	1	180
162	FOS SUR MER	KAOHSIUNG	1	180
163	FOS SUR MER	KOPER	1	180
164	FOS SUR MER	LA SPEZIA	1	180
165	FOS SUR MER	NANSHA	1	180
166	FOS SUR MER	NINGBO	1	180
167	FOS SUR MER	ODESSA	1	180
168	FOS SUR MER	PIRAEUS	1	180
169	FOS SUR MER	PORT KLANG	1	180
170	FOS SUR MER	PORT SAID	1	180
171	FOS SUR MER	QINGDAO	1	180
172	FOS SUR MER	RIJEKA	1	180
173	FOS SUR MER	SHANGHAI	1	180
174	FOS SUR MER	SHEKOU	1	180
175	FOS SUR MER	SINGAPORE	1	180
176	FOS SUR MER	TRIESTE	1	180
177	FOS SUR MER	TRIPOLI(LB)	1	180
178	FOS SUR MER	VALENCIA	1	180
179	FOS SUR MER	XIAMEN	1	180
180	FOS SUR MER	YANTIAN	1	180
181	GENOA	ALEXANDRIA	1	180
182	GENOA	BARCELONA	1	180
183	GENOA	BEIRUT	1	180
184	GENOA	BUSAN(KOREA)	1	180
185	GENOA	CONSTANTA	1	180
186	GENOA	FOS SUR MER	1	180
187	GENOA	HONG KONG	1	180
188	GENOA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
189	GENOA	IZMIT	1	180
190	GENOA	JEBEL ALI	1	180
191	GENOA	JEDDAH	1	180
192	GENOA	KAOHSIUNG	1	180
193	GENOA	KOPER	1	180
194	GENOA	LA SPEZIA	1	180
195	GENOA	NANSHA	1	180
196	GENOA	NINGBO	1	180
197	GENOA	ODESSA	1	180
198	GENOA	PIRAEUS	1	180
199	GENOA	PORT KLANG	1	180
200	GENOA	PORT SAID	1	180
201	GENOA	QINGDAO	1	180
202	GENOA	RIJEKA	1	180
203	GENOA	SHANGHAI	1	180
204	GENOA	SHEKOU	1	180
205	GENOA	SINGAPORE	1	180
206	GENOA	TRIESTE	1	180
207	GENOA	TRIPOLI(LB)	1	180
208	GENOA	VALENCIA	1	180
209	GENOA	XIAMEN	1	180
210	GENOA	YANTIAN	1	180
211	HONG KONG	ALEXANDRIA	1	180
212	HONG KONG	BARCELONA	1	180
213	HONG KONG	BEIRUT	1	180
214	HONG KONG	BUSAN(KOREA)	1	180
215	HONG KONG	CONSTANTA	1	180
216	HONG KONG	FOS SUR MER	1	180
217	HONG KONG	GENOA	1	180
218	HONG KONG	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
219	HONG KONG	IZMIT	1	180
220	HONG KONG	JEBEL ALI	1	180
221	HONG KONG	JEDDAH	1	180
222	HONG KONG	KAOHSIUNG	1	180
223	HONG KONG	KOPER	1	180
224	HONG KONG	LA SPEZIA	1	180
225	HONG KONG	NANSHA	1	180
226	HONG KONG	NINGBO	1	180
227	HONG KONG	ODESSA	1	180
228	HONG KONG	PIRAEUS	1	180
229	HONG KONG	PORT KLANG	1	180
230	HONG KONG	PORT SAID	1	180
231	HONG KONG	QINGDAO	1	180
232	HONG KONG	RIJEKA	1	180
233	HONG KONG	SHANGHAI	1	180
234	HONG KONG	SHEKOU	1	180
235	HONG KONG	SINGAPORE	1	180
236	HONG KONG	TRIESTE	1	180
237	HONG KONG	TRIPOLI(LB)	1	180
238	HONG KONG	VALENCIA	1	180
239	HONG KONG	XIAMEN	1	180
240	HONG KONG	YANTIAN	1	180
241	ISTANBUL(AMBARLI) PORT E. SIDE	ALEXANDRIA	1	180
242	ISTANBUL(AMBARLI) PORT E. SIDE	BARCELONA	1	180
243	ISTANBUL(AMBARLI) PORT E. SIDE	BEIRUT	1	180
244	ISTANBUL(AMBARLI) PORT E. SIDE	BUSAN(KOREA)	1	180
245	ISTANBUL(AMBARLI) PORT E. SIDE	CONSTANTA	1	180
246	ISTANBUL(AMBARLI) PORT E. SIDE	FOS SUR MER	1	180
247	ISTANBUL(AMBARLI) PORT E. SIDE	GENOA	1	180
248	ISTANBUL(AMBARLI) PORT E. SIDE	HONG KONG	1	180
249	ISTANBUL(AMBARLI) PORT E. SIDE	IZMIT	1	180
250	ISTANBUL(AMBARLI) PORT E. SIDE	JEBEL ALI	1	180
251	ISTANBUL(AMBARLI) PORT E. SIDE	JEDDAH	1	180
252	ISTANBUL(AMBARLI) PORT E. SIDE	KAOHSIUNG	1	180
253	ISTANBUL(AMBARLI) PORT E. SIDE	KOPER	1	180
254	ISTANBUL(AMBARLI) PORT E. SIDE	LA SPEZIA	1	180
255	ISTANBUL(AMBARLI) PORT E. SIDE	NANSHA	1	180
256	ISTANBUL(AMBARLI) PORT E. SIDE	NINGBO	1	180
257	ISTANBUL(AMBARLI) PORT E. SIDE	ODESSA	1	180
258	ISTANBUL(AMBARLI) PORT E. SIDE	PIRAEUS	1	180
259	ISTANBUL(AMBARLI) PORT E. SIDE	PORT KLANG	1	180
260	ISTANBUL(AMBARLI) PORT E. SIDE	PORT SAID	1	180
261	ISTANBUL(AMBARLI) PORT E. SIDE	QINGDAO	1	180
262	ISTANBUL(AMBARLI) PORT E. SIDE	RIJEKA	1	180
263	ISTANBUL(AMBARLI) PORT E. SIDE	SHANGHAI	1	180
264	ISTANBUL(AMBARLI) PORT E. SIDE	SHEKOU	1	180
265	ISTANBUL(AMBARLI) PORT E. SIDE	SINGAPORE	1	180
266	ISTANBUL(AMBARLI) PORT E. SIDE	TRIESTE	1	180
267	ISTANBUL(AMBARLI) PORT E. SIDE	TRIPOLI(LB)	1	180
268	ISTANBUL(AMBARLI) PORT E. SIDE	VALENCIA	1	180
269	ISTANBUL(AMBARLI) PORT E. SIDE	XIAMEN	1	180
270	ISTANBUL(AMBARLI) PORT E. SIDE	YANTIAN	1	180
271	IZMIT	ALEXANDRIA	1	180
272	IZMIT	BARCELONA	1	180
273	IZMIT	BEIRUT	1	180
274	IZMIT	BUSAN(KOREA)	1	180
275	IZMIT	CONSTANTA	1	180
276	IZMIT	FOS SUR MER	1	180
277	IZMIT	GENOA	1	180
278	IZMIT	HONG KONG	1	180
279	IZMIT	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
280	IZMIT	JEBEL ALI	1	180
281	IZMIT	JEDDAH	1	180
282	IZMIT	KAOHSIUNG	1	180
283	IZMIT	KOPER	1	180
284	IZMIT	LA SPEZIA	1	180
285	IZMIT	NANSHA	1	180
286	IZMIT	NINGBO	1	180
287	IZMIT	ODESSA	1	180
