VesselID	Capacity	OperationCost	RouteID	MaxNum
1	9115	12.378	1	1
2	211	10.152	1	1
3	541	10.235	1	1
4	9403	12.45	1	1
5	9403	12.45	1	1
6	10926	12.831	1	1
7	10926	12.831	1	1
8	9448	12.462	1	1
9	10622	12.755	1	1
10	10622	12.755	1	1
11	10106	12.626	2	1
12	8533	12.233	2	1
13	10034	12.608	2	1
14	9365	12.441	2	1
15	9415	12.453	2	1
16	21	10.105	2	1
17	451	10.212	2	1
18	8452	12.213	2	1
19	8452	12.213	2	1
20	4578	11.244	2	1
21	15254	16.913	3	1
22	14812	16.803	3	1
23	14812	16.803	3	1
24	14806	16.801	3	1
25	15254	16.913	3	1
26	14806	16.801	3	1
27	14812	16.803	3	1
28	14806	16.801	3	1
29	14812	16.803	3	1
30	16022	17.105	3	1
31	1	13.1	3	1
32	1	13.1	3	1
33	13208	16.402	3	1
34	141	11.135	4	1
35	161	11.14	4	1
36	371	11.192	4	1
37	391	11.197	4	1
38	741	11.285	4	1
39	14074	14.618	4	1
40	14074	14.618	4	1
41	13800	14.55	4	1
42	13806	14.551	4	1
43	13806	14.551	4	1
44	14424	14.706	4	1
