Path ID	OriginPort	OriginTime	DestinationPort	DestinationTime	PathTime	TransshipPort	TransshipTime	PortPath_length	PortPath	Arcs_length	ArcsID
1	ALEXANDRIA	37	BEIRUT	56	19	PORT SAID	3	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	246,247,248,249,1432,57
2	ALEXANDRIA	37	BEIRUT	63	26	PORT SAID	10	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	246,247,248,249,1433,74
3	ALEXANDRIA	44	BEIRUT	63	19	PORT SAID	3	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	260,261,262,263,1475,74
4	ALEXANDRIA	44	BEIRUT	70	26	PORT SAID	10	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	260,261,262,263,1476,91
5	ALEXANDRIA	51	BEIRUT	70	19	PORT SAID	3	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	274,275,276,277,1519,91
6	ALEXANDRIA	51	BEIRUT	77	26	PORT SAID	10	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	274,275,276,277,1520,107
7	ALEXANDRIA	58	BEIRUT	77	19	PORT SAID	3	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	288,289,290,291,1563,107
8	ALEXANDRIA	58	BEIRUT	84	26	PORT SAID	10	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	288,289,290,291,1564,123
9	ALEXANDRIA	65	BEIRUT	84	19	PORT SAID	3	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	302,303,304,305,1605,123
10	ALEXANDRIA	65	BEIRUT	91	26	PORT SAID	10	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	302,303,304,305,1606,139
11	ALEXANDRIA	72	BEIRUT	91	19	PORT SAID	3	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	316,317,318,319,1645,139
12	ALEXANDRIA	72	BEIRUT	98	26	PORT SAID	10	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	316,317,318,319,1646,155
13	ALEXANDRIA	79	BEIRUT	98	19	PORT SAID	3	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	329,330,331,332,1685,155
14	ALEXANDRIA	79	BEIRUT	105	26	PORT SAID	10	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	329,330,331,332,1686,170
15	ALEXANDRIA	86	BEIRUT	105	19	PORT SAID	3	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	342,343,344,345,1725,170
16	ALEXANDRIA	86	BEIRUT	112	26	PORT SAID	10	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	342,343,344,345,1726,185
17	ALEXANDRIA	93	BEIRUT	112	19	PORT SAID	3	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	355,356,357,358,1765,185
18	ALEXANDRIA	93	BEIRUT	119	26	PORT SAID	10	6	ALEXANDRIA,KOPER,TRIESTE,RIJEKA,PORT SAID,BEIRUT	6	355,356,357,358,1766,200
