TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
824	SHANGHAI	1	7	0	251	7	1	2
825	SHANGHAI	1	7	7	265	14	1	2
826	SHANGHAI	1	7	6	458	13	1	3
827	SHANGHAI	1	7	13	475	20	1	3
828	SHANGHAI	1	7	2	661	9	1	4
829	SHANGHAI	1	7	9	676	16	1	4
830	NINGBO	2	8	0	252	8	1	2
831	NINGBO	2	8	7	266	15	1	2
832	NINGBO	2	8	7	459	15	1	3
833	NINGBO	2	8	3	662	11	1	4
834	NINGBO	2	8	10	677	18	1	4
835	SHEKOU	4	13	2	254	15	1	2
836	SHEKOU	4	13	9	268	22	1	2
837	SHEKOU	4	13	8	461	21	1	3
838	SINGAPORE	5	17	4	255	21	1	2
839	SINGAPORE	5	17	11	269	28	1	2
840	SINGAPORE	5	17	8	462	25	1	3
841	SINGAPORE	5	17	4	666	21	1	4
842	SINGAPORE	5	17	11	681	28	1	4
843	PIRAEUS	13	50	1	672	51	1	4
844	PIRAEUS	13	50	8	687	58	1	4
845	PIRAEUS	13	50	0	697	50	1	4
846	PIRAEUS	13	50	7	712	57	1	4
847	PORT SAID	14	52	6	274	58	1	2
848	PORT SAID	14	52	13	288	65	1	2
849	JEDDAH	15	56	0	261	56	1	2
850	JEDDAH	15	56	7	275	63	1	2
851	JEDDAH	15	56	11	468	67	1	3
852	PORT KLANG	16	68	6	276	74	1	2
853	PORT KLANG	16	68	13	290	81	1	2
854	SHANGHAI	17	77	0	264	77	1	2
855	SHANGHAI	17	77	7	278	84	1	2
856	SHANGHAI	17	77	6	628	83	1	3
857	SHANGHAI	17	77	13	645	90	1	3
858	SHANGHAI	17	77	2	811	79	1	4
859	SHANGHAI	17	77	9	825	86	1	4
860	SHANGHAI	18	14	0	265	14	1	2
861	SHANGHAI	18	14	7	279	21	1	2
862	SHANGHAI	18	14	6	475	20	1	3
863	SHANGHAI	18	14	13	492	27	1	3
864	SHANGHAI	18	14	2	676	16	1	4
865	SHANGHAI	18	14	9	691	23	1	4
866	NINGBO	19	15	0	266	15	1	2
867	NINGBO	19	15	7	280	22	1	2
868	NINGBO	19	15	0	459	15	1	3
869	NINGBO	19	15	7	476	22	1	3
870	NINGBO	19	15	3	677	18	1	4
871	NINGBO	19	15	10	692	25	1	4
872	SHEKOU	21	20	2	268	22	1	2
873	SHEKOU	21	20	9	282	29	1	2
874	SHEKOU	21	20	1	461	21	1	3
875	SHEKOU	21	20	8	478	28	1	3
876	SINGAPORE	22	24	4	269	28	1	2
877	SINGAPORE	22	24	11	283	35	1	2
878	SINGAPORE	22	24	1	462	25	1	3
879	SINGAPORE	22	24	8	479	32	1	3
880	SINGAPORE	22	24	4	681	28	1	4
881	SINGAPORE	22	24	11	696	35	1	4
882	PORT SAID	23	40	11	260	51	1	2
883	PIRAEUS	30	57	1	687	58	1	4
884	PIRAEUS	30	57	8	702	65	1	4
885	PIRAEUS	30	57	0	712	57	1	4
886	PIRAEUS	30	57	7	727	64	1	4
887	PORT SAID	31	59	6	288	65	1	2
888	PORT SAID	31	59	13	302	72	1	2
889	JEDDAH	32	63	0	275	63	1	2
