TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	SHANGHAI	1	7	1	2	2	NINGBO	8
2	1	2	2	NINGBO	1	8	3	3	3	XIAMEN	11
3	1	3	3	XIAMEN	1	11	2	4	4	SHEKOU	13
4	1	4	4	SHEKOU	1	13	4	5	5	SINGAPORE	17
5	1	5	5	SINGAPORE	1	17	16	6	6	PORT SAID	33
6	1	6	6	PORT SAID	1	33	2	7	7	BEIRUT	35
7	1	7	7	BEIRUT	1	35	1	8	8	TRIPOLI, LB	36
8	1	8	8	TRIPOLI, LB	1	36	3	9	9	IZMIT	39
9	1	9	9	IZMIT	1	39	2	10	10	ISTANBUL, AMBARLI PORT E. SIDE	41
10	1	10	10	ISTANBUL, AMBARLI PORT E. SIDE	1	41	2	11	11	CONSTANTA	43
11	1	11	11	CONSTANTA	1	43	2	12	12	ODESSA	45
12	1	12	12	ODESSA	1	45	5	13	13	PIRAEUS	50
13	1	13	13	PIRAEUS	1	50	2	14	14	PORT SAID	52
14	1	14	14	PORT SAID	1	52	4	15	15	JEDDAH	56
15	1	15	15	JEDDAH	1	56	12	16	16	PORT KLANG	68
16	1	16	16	PORT KLANG	1	68	9	17	17	SHANGHAI	77
17	1	17	17	SHANGHAI	1	77	1	171	2	NINGBO	78
18	1	18	1	SHANGHAI	2	14	1	19	2	NINGBO	15
19	1	19	2	NINGBO	2	15	3	20	3	XIAMEN	18
20	1	20	3	XIAMEN	2	18	2	21	4	SHEKOU	20
21	1	21	4	SHEKOU	2	20	4	22	5	SINGAPORE	24
22	1	22	5	SINGAPORE	2	24	16	23	6	PORT SAID	40
23	1	23	6	PORT SAID	2	40	2	24	7	BEIRUT	42
24	1	24	7	BEIRUT	2	42	1	25	8	TRIPOLI, LB	43
25	1	25	8	TRIPOLI, LB	2	43	3	26	9	IZMIT	46
26	1	26	9	IZMIT	2	46	2	27	10	ISTANBUL, AMBARLI PORT E. SIDE	48
27	1	27	10	ISTANBUL, AMBARLI PORT E. SIDE	2	48	2	28	11	CONSTANTA	50
28	1	28	11	CONSTANTA	2	50	2	29	12	ODESSA	52
29	1	29	12	ODESSA	2	52	5	30	13	PIRAEUS	57
30	1	30	13	PIRAEUS	2	57	2	31	14	PORT SAID	59
31	1	31	14	PORT SAID	2	59	4	32	15	JEDDAH	63
32	1	32	15	JEDDAH	2	63	12	33	16	PORT KLANG	75
33	1	33	16	PORT KLANG	2	75	9	34	17	SHANGHAI	84
34	1	34	17	SHANGHAI	2	84	1	187	2	NINGBO	85
35	1	35	1	SHANGHAI	3	21	1	36	2	NINGBO	22
36	1	36	2	NINGBO	3	22	3	37	3	XIAMEN	25
37	1	37	3	XIAMEN	3	25	2	38	4	SHEKOU	27
38	1	38	4	SHEKOU	3	27	4	39	5	SINGAPORE	31
39	1	39	5	SINGAPORE	3	31	16	40	6	PORT SAID	47
40	1	40	6	PORT SAID	3	47	2	41	7	BEIRUT	49
41	1	41	7	BEIRUT	3	49	1	42	8	TRIPOLI, LB	50
42	1	42	8	TRIPOLI, LB	3	50	3	43	9	IZMIT	53
43	1	43	9	IZMIT	3	53	2	44	10	ISTANBUL, AMBARLI PORT E. SIDE	55
44	1	44	10	ISTANBUL, AMBARLI PORT E. SIDE	3	55	2	45	11	CONSTANTA	57
45	1	45	11	CONSTANTA	3	57	2	46	12	ODESSA	59
46	1	46	12	ODESSA	3	59	5	47	13	PIRAEUS	64
47	1	47	13	PIRAEUS	3	64	2	48	14	PORT SAID	66
48	1	48	14	PORT SAID	3	66	4	49	15	JEDDAH	70
49	1	49	15	JEDDAH	3	70	12	50	16	PORT KLANG	82
50	1	50	16	PORT KLANG	3	82	9	51	17	SHANGHAI	91
51	1	51	17	SHANGHAI	3	91	1	203	2	NINGBO	92
52	1	52	1	SHANGHAI	4	28	1	53	2	NINGBO	29
53	1	53	2	NINGBO	4	29	3	54	3	XIAMEN	32
54	1	54	3	XIAMEN	4	32	2	55	4	SHEKOU	34
55	1	55	4	SHEKOU	4	34	4	56	5	SINGAPORE	38
56	1	56	5	SINGAPORE	4	38	16	57	6	PORT SAID	54
57	1	57	6	PORT SAID	4	54	2	58	7	BEIRUT	56
58	1	58	7	BEIRUT	4	56	1	59	8	TRIPOLI, LB	57
59	1	59	8	TRIPOLI, LB	4	57	3	60	9	IZMIT	60
60	1	60	9	IZMIT	4	60	2	61	10	ISTANBUL, AMBARLI PORT E. SIDE	62
61	1	61	10	ISTANBUL, AMBARLI PORT E. SIDE	4	62	2	62	11	CONSTANTA	64
62	1	62	11	CONSTANTA	4	64	2	63	12	ODESSA	66
63	1	63	12	ODESSA	4	66	5	64	13	PIRAEUS	71
64	1	64	13	PIRAEUS	4	71	2	65	14	PORT SAID	73
65	1	65	14	PORT SAID	4	73	4	66	15	JEDDAH	77
66	1	66	15	JEDDAH	4	77	12	67	16	PORT KLANG	89
67	1	67	16	PORT KLANG	4	89	9	68	17	SHANGHAI	98
68	1	68	17	SHANGHAI	4	98	1	219	2	NINGBO	99
69	1	69	1	SHANGHAI	5	35	1	70	2	NINGBO	36
70	1	70	2	NINGBO	5	36	3	71	3	XIAMEN	39
71	1	71	3	XIAMEN	5	39	2	72	4	SHEKOU	41
72	1	72	4	SHEKOU	5	41	4	73	5	SINGAPORE	45
73	1	73	5	SINGAPORE	5	45	16	74	6	PORT SAID	61
74	1	74	6	PORT SAID	5	61	2	75	7	BEIRUT	63
75	1	75	7	BEIRUT	5	63	1	76	8	TRIPOLI, LB	64
76	1	76	8	TRIPOLI, LB	5	64	3	77	9	IZMIT	67
77	1	77	9	IZMIT	5	67	2	78	10	ISTANBUL, AMBARLI PORT E. SIDE	69
78	1	78	10	ISTANBUL, AMBARLI PORT E. SIDE	5	69	2	79	11	CONSTANTA	71
79	1	79	11	CONSTANTA	5	71	2	80	12	ODESSA	73
80	1	80	12	ODESSA	5	73	5	81	13	PIRAEUS	78
81	1	81	13	PIRAEUS	5	78	2	82	14	PORT SAID	80
82	1	82	14	PORT SAID	5	80	4	83	15	JEDDAH	84
83	1	83	15	JEDDAH	5	84	12	84	16	PORT KLANG	96
84	1	84	16	PORT KLANG	5	96	9	85	17	SHANGHAI	105
85	1	85	17	SHANGHAI	5	105	1	235	2	NINGBO	106
86	1	86	1	SHANGHAI	6	42	1	87	2	NINGBO	43
87	1	87	2	NINGBO	6	43	3	88	3	XIAMEN	46
88	1	88	3	XIAMEN	6	46	2	89	4	SHEKOU	48
89	1	89	4	SHEKOU	6	48	4	90	5	SINGAPORE	52
90	1	90	5	SINGAPORE	6	52	16	91	6	PORT SAID	68
91	1	91	6	PORT SAID	6	68	2	92	7	BEIRUT	70
92	1	92	7	BEIRUT	6	70	1	93	8	TRIPOLI, LB	71
93	1	93	8	TRIPOLI, LB	6	71	3	94	9	IZMIT	74
94	1	94	9	IZMIT	6	74	2	95	10	ISTANBUL, AMBARLI PORT E. SIDE	76
95	1	95	10	ISTANBUL, AMBARLI PORT E. SIDE	6	76	2	96	11	CONSTANTA	78
96	1	96	11	CONSTANTA	6	78	2	97	12	ODESSA	80
97	1	97	12	ODESSA	6	80	5	98	13	PIRAEUS	85
98	1	98	13	PIRAEUS	6	85	2	99	14	PORT SAID	87
99	1	99	14	PORT SAID	6	87	4	100	15	JEDDAH	91
100	1	100	15	JEDDAH	6	91	12	101	16	PORT KLANG	103
101	1	101	16	PORT KLANG	6	103	9	102	17	SHANGHAI	112
102	1	103	1	SHANGHAI	7	49	1	104	2	NINGBO	50
103	1	104	2	NINGBO	7	50	3	105	3	XIAMEN	53
104	1	105	3	XIAMEN	7	53	2	106	4	SHEKOU	55
105	1	106	4	SHEKOU	7	55	4	107	5	SINGAPORE	59
106	1	107	5	SINGAPORE	7	59	16	108	6	PORT SAID	75
107	1	108	6	PORT SAID	7	75	2	109	7	BEIRUT	77
108	1	109	7	BEIRUT	7	77	1	110	8	TRIPOLI, LB	78
109	1	110	8	TRIPOLI, LB	7	78	3	111	9	IZMIT	81
110	1	111	9	IZMIT	7	81	2	112	10	ISTANBUL, AMBARLI PORT E. SIDE	83
111	1	112	10	ISTANBUL, AMBARLI PORT E. SIDE	7	83	2	113	11	CONSTANTA	85
112	1	113	11	CONSTANTA	7	85	2	114	12	ODESSA	87
113	1	114	12	ODESSA	7	87	5	115	13	PIRAEUS	92
114	1	115	13	PIRAEUS	7	92	2	116	14	PORT SAID	94
115	1	116	14	PORT SAID	7	94	4	117	15	JEDDAH	98
116	1	117	15	JEDDAH	7	98	12	118	16	PORT KLANG	110
117	1	118	16	PORT KLANG	7	110	9	119	17	SHANGHAI	119
118	1	120	1	SHANGHAI	8	56	1	121	2	NINGBO	57
119	1	121	2	NINGBO	8	57	3	122	3	XIAMEN	60
120	1	122	3	XIAMEN	8	60	2	123	4	SHEKOU	62
121	1	123	4	SHEKOU	8	62	4	124	5	SINGAPORE	66
122	1	124	5	SINGAPORE	8	66	16	125	6	PORT SAID	82
123	1	125	6	PORT SAID	8	82	2	126	7	BEIRUT	84
124	1	126	7	BEIRUT	8	84	1	127	8	TRIPOLI, LB	85
125	1	127	8	TRIPOLI, LB	8	85	3	128	9	IZMIT	88
126	1	128	9	IZMIT	8	88	2	129	10	ISTANBUL, AMBARLI PORT E. SIDE	90
127	1	129	10	ISTANBUL, AMBARLI PORT E. SIDE	8	90	2	130	11	CONSTANTA	92
128	1	130	11	CONSTANTA	8	92	2	131	12	ODESSA	94
129	1	131	12	ODESSA	8	94	5	132	13	PIRAEUS	99
130	1	132	13	PIRAEUS	8	99	2	133	14	PORT SAID	101
131	1	133	14	PORT SAID	8	101	4	134	15	JEDDAH	105
132	1	134	15	JEDDAH	8	105	12	135	16	PORT KLANG	117
133	1	135	16	PORT KLANG	8	117	9	136	17	SHANGHAI	126
134	1	137	1	SHANGHAI	9	63	1	138	2	NINGBO	64
135	1	138	2	NINGBO	9	64	3	139	3	XIAMEN	67
136	1	139	3	XIAMEN	9	67	2	140	4	SHEKOU	69
137	1	140	4	SHEKOU	9	69	4	141	5	SINGAPORE	73
138	1	141	5	SINGAPORE	9	73	16	142	6	PORT SAID	89
139	1	142	6	PORT SAID	9	89	2	143	7	BEIRUT	91
