VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	16	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	7	77
2	1	16	18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	14	84
3	1	16	35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50	21	91
4	1	16	52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67	28	98
5	1	16	69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84	35	105
6	1	16	86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101	42	112
7	1	16	102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117	49	119
8	1	16	118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133	56	126
9	1	16	134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149	63	133
10	1	16	150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165	70	140
11	1	16	17,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180	77	147
12	1	16	34,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195	84	154
13	1	16	51,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210	91	161
14	1	16	68,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225	98	168
15	1	16	85,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240	105	175
16	2	13	241,242,243,244,245,246,247,248,249,250,251,252,253	7	77
17	2	13	255,256,257,258,259,260,261,262,263,264,265,266,267	14	84
18	2	13	269,270,271,272,273,274,275,276,277,278,279,280,281	21	91
19	2	13	283,284,285,286,287,288,289,290,291,292,293,294,295	28	98
20	2	13	297,298,299,300,301,302,303,304,305,306,307,308,309	35	105
21	2	13	311,312,313,314,315,316,317,318,319,320,321,322,323	42	112
22	2	13	324,325,326,327,328,329,330,331,332,333,334,335,336	49	119
23	2	13	337,338,339,340,341,342,343,344,345,346,347,348,349	56	126
24	2	13	350,351,352,353,354,355,356,357,358,359,360,361,362	63	133
25	2	13	363,364,365,366,367,368,369,370,371,372,373,374,375	70	140
26	2	13	254,376,377,378,379,380,381,382,383,384,385,386,387	77	147
27	2	13	268,388,389,390,391,392,393,394,395,396,397,398,399	84	154
28	2	13	282,400,401,402,403,404,405,406,407,408,409,410,411	91	161
29	2	13	296,412,413,414,415,416,417,418,419,420,421,422,423	98	168
30	2	13	310,424,425,426,427,428,429,430,431,432,433,434,435	105	175
31	3	16	436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451	7	98
32	3	16	452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467	14	105
33	3	16	468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483	21	112
34	3	16	484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499	28	119
35	3	16	500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515	35	126
36	3	16	516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531	42	133
37	3	16	532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547	49	140
38	3	16	548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563	56	147
39	3	16	564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579	63	154
40	3	16	580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595	70	161
41	3	16	596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611	77	168
42	3	16	612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627	84	175
43	4	14	628,629,630,631,632,633,634,635,636,637,638,639,640,641	7	84
44	4	14	643,644,645,646,647,648,649,650,651,652,653,654,655,656	14	91
45	4	14	658,659,660,661,662,663,664,665,666,667,668,669,670,671	21	98
46	4	14	673,674,675,676,677,678,679,680,681,682,683,684,685,686	28	105
47	4	14	687,688,689,690,691,692,693,694,695,696,697,698,699,700	35	112
48	4	14	701,702,703,704,705,706,707,708,709,710,711,712,713,714	42	119
49	4	14	715,716,717,718,719,720,721,722,723,724,725,726,727,728	49	126
50	4	14	729,730,731,732,733,734,735,736,737,738,739,740,741,742	56	133
51	4	14	743,744,745,746,747,748,749,750,751,752,753,754,755,756	63	140
52	4	14	757,758,759,760,761,762,763,764,765,766,767,768,769,770	70	147
53	4	14	771,772,773,774,775,776,777,778,779,780,781,782,783,784	77	154
54	4	14	642,785,786,787,788,789,790,791,792,793,794,795,796,797	84	161
55	4	14	657,798,799,800,801,802,803,804,805,806,807,808,809,810	91	168
56	4	14	672,811,812,813,814,815,816,817,818,819,820,821,822,823	98	175
