ID	Route	Call	Port	Round_trip	Time
1	1	1	SHANGHAI	1	7
2	1	2	NINGBO	1	8
3	1	3	XIAMEN	1	11
4	1	4	SHEKOU	1	13
5	1	5	SINGAPORE	1	17
6	1	6	PORT SAID	1	33
7	1	7	BEIRUT	1	35
8	1	8	TRIPOLI(LB)	1	36
9	1	9	IZMIT	1	39
10	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	1	41
11	1	11	CONSTANTA	1	43
12	1	12	ODESSA	1	45
13	1	13	PIRAEUS	1	50
14	1	14	PORT SAID	1	52
15	1	15	JEDDAH	1	56
16	1	16	PORT KLANG	1	68
17	1	17	SHANGHAI	1	77
18	1	1	SHANGHAI	2	14
19	1	2	NINGBO	2	15
20	1	3	XIAMEN	2	18
21	1	4	SHEKOU	2	20
22	1	5	SINGAPORE	2	24
23	1	6	PORT SAID	2	40
24	1	7	BEIRUT	2	42
25	1	8	TRIPOLI(LB)	2	43
26	1	9	IZMIT	2	46
27	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	2	48
28	1	11	CONSTANTA	2	50
29	1	12	ODESSA	2	52
30	1	13	PIRAEUS	2	57
31	1	14	PORT SAID	2	59
32	1	15	JEDDAH	2	63
33	1	16	PORT KLANG	2	75
34	1	17	SHANGHAI	2	84
35	1	1	SHANGHAI	3	21
36	1	2	NINGBO	3	22
37	1	3	XIAMEN	3	25
38	1	4	SHEKOU	3	27
39	1	5	SINGAPORE	3	31
40	1	6	PORT SAID	3	47
41	1	7	BEIRUT	3	49
42	1	8	TRIPOLI(LB)	3	50
43	1	9	IZMIT	3	53
44	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	3	55
45	1	11	CONSTANTA	3	57
46	1	12	ODESSA	3	59
47	1	13	PIRAEUS	3	64
48	1	14	PORT SAID	3	66
49	1	15	JEDDAH	3	70
50	1	16	PORT KLANG	3	82
51	1	17	SHANGHAI	3	91
52	1	1	SHANGHAI	4	28
53	1	2	NINGBO	4	29
54	1	3	XIAMEN	4	32
55	1	4	SHEKOU	4	34
56	1	5	SINGAPORE	4	38
57	1	6	PORT SAID	4	54
58	1	7	BEIRUT	4	56
59	1	8	TRIPOLI(LB)	4	57
60	1	9	IZMIT	4	60
61	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	4	62
62	1	11	CONSTANTA	4	64
63	1	12	ODESSA	4	66
64	1	13	PIRAEUS	4	71
65	1	14	PORT SAID	4	73
66	1	15	JEDDAH	4	77
67	1	16	PORT KLANG	4	89
68	1	17	SHANGHAI	4	98
69	1	1	SHANGHAI	5	35
70	1	2	NINGBO	5	36
71	1	3	XIAMEN	5	39
72	1	4	SHEKOU	5	41
73	1	5	SINGAPORE	5	45
74	1	6	PORT SAID	5	61
75	1	7	BEIRUT	5	63
76	1	8	TRIPOLI(LB)	5	64
77	1	9	IZMIT	5	67
78	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	5	69
79	1	11	CONSTANTA	5	71
80	1	12	ODESSA	5	73
81	1	13	PIRAEUS	5	78
82	1	14	PORT SAID	5	80
83	1	15	JEDDAH	5	84
84	1	16	PORT KLANG	5	96
85	1	17	SHANGHAI	5	105
86	1	1	SHANGHAI	6	42
87	1	2	NINGBO	6	43
88	1	3	XIAMEN	6	46
89	1	4	SHEKOU	6	48
90	1	5	SINGAPORE	6	52
91	1	6	PORT SAID	6	68
92	1	7	BEIRUT	6	70
93	1	8	TRIPOLI(LB)	6	71
94	1	9	IZMIT	6	74
95	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	6	76
96	1	11	CONSTANTA	6	78
97	1	12	ODESSA	6	80
98	1	13	PIRAEUS	6	85
99	1	14	PORT SAID	6	87
100	1	15	JEDDAH	6	91
101	1	16	PORT KLANG	6	103
102	1	17	SHANGHAI	6	112
103	1	1	SHANGHAI	7	49
104	1	2	NINGBO	7	50
105	1	3	XIAMEN	7	53
106	1	4	SHEKOU	7	55
107	1	5	SINGAPORE	7	59
108	1	6	PORT SAID	7	75
109	1	7	BEIRUT	7	77
110	1	8	TRIPOLI(LB)	7	78
111	1	9	IZMIT	7	81
112	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	7	83
113	1	11	CONSTANTA	7	85
114	1	12	ODESSA	7	87
115	1	13	PIRAEUS	7	92
116	1	14	PORT SAID	7	94
117	1	15	JEDDAH	7	98
118	1	16	PORT KLANG	7	110
119	1	17	SHANGHAI	7	119
120	1	1	SHANGHAI	8	56
121	1	2	NINGBO	8	57
122	1	3	XIAMEN	8	60
123	1	4	SHEKOU	8	62
124	1	5	SINGAPORE	8	66
125	1	6	PORT SAID	8	82
126	1	7	BEIRUT	8	84
127	1	8	TRIPOLI(LB)	8	85
128	1	9	IZMIT	8	88
129	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	8	90
130	1	11	CONSTANTA	8	92
131	1	12	ODESSA	8	94
132	1	13	PIRAEUS	8	99
133	1	14	PORT SAID	8	101
134	1	15	JEDDAH	8	105
135	1	16	PORT KLANG	8	117
136	1	17	SHANGHAI	8	126
137	1	1	SHANGHAI	9	63
138	1	2	NINGBO	9	64
139	1	3	XIAMEN	9	67
140	1	4	SHEKOU	9	69
141	1	5	SINGAPORE	9	73
142	1	6	PORT SAID	9	89
143	1	7	BEIRUT	9	91
144	1	8	TRIPOLI(LB)	9	92
145	1	9	IZMIT	9	95
146	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	9	97
147	1	11	CONSTANTA	9	99
148	1	12	ODESSA	9	101
149	1	13	PIRAEUS	9	106
150	1	14	PORT SAID	9	108
151	1	15	JEDDAH	9	112
152	1	16	PORT KLANG	9	124
153	1	17	SHANGHAI	9	133
154	1	1	SHANGHAI	10	70
155	1	2	NINGBO	10	71
156	1	3	XIAMEN	10	74
157	1	4	SHEKOU	10	76
158	1	5	SINGAPORE	10	80
159	1	6	PORT SAID	10	96
160	1	7	BEIRUT	10	98
161	1	8	TRIPOLI(LB)	10	99
162	1	9	IZMIT	10	102
163	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	10	104
164	1	11	CONSTANTA	10	106
165	1	12	ODESSA	10	108
166	1	13	PIRAEUS	10	113
167	1	14	PORT SAID	10	115
168	1	15	JEDDAH	10	119
169	1	16	PORT KLANG	10	131
170	1	17	SHANGHAI	10	140
171	1	2	NINGBO	11	78
172	1	3	XIAMEN	11	81
173	1	4	SHEKOU	11	83
174	1	5	SINGAPORE	11	87
175	1	6	PORT SAID	11	103
176	1	7	BEIRUT	11	105
177	1	8	TRIPOLI(LB)	11	106
178	1	9	IZMIT	11	109
179	1	10	ISTANBUL(AMBARLI) PORT E. SIDE	11	111
180	1	11	CONSTANTA	11	113
181	1	12	ODESSA	11	115
182	1	13	PIRAEUS	11	120
183	1	14	PORT SAID	11	122
