PortID	Port	WhetherTrans	Region	Group
1	JEBEL ALI	1	MIDDLE EAST	7
2	UMM QASR	0	MIDDLE EAST	7
3	KHALIFA PORT(ABU) DHABI	1	MIDDLE EAST	7
4	CHITTAGONG	0	ASIA	1
5	COLOMBO	1	ASIA	1
6	MANGALORE	0	ASIA	1
7	NHAVA SHEVA	0	ASIA	1
8	MUNDRA	0	ASIA	1
9	QINGDAO	1	ASIA	1
10	NINGBO	1	ASIA	1
11	SHEKOU	1	ASIA	1
12	SINGAPORE	1	ASIA	1
13	HAMAD	1	ASIA	1
14	DAMMAM	1	MIDDLE EAST	7
15	SOHAR	0	ASIA	1
16	LIANYUNGANG	0	ASIA	1
17	SHANGHAI	1	ASIA	1
18	HONG KONG	0	ASIA	1
19	JUBAIL	0	MIDDLE EAST	7
20	NANSHA	1	ASIA	1
21	PORT KLANG	1	ASIA	1
22	COCHIN	0	ASIA	1
23	CHENNAI	0	ASIA	1
24	TIANJIN XINGANG	0	ASIA	1
25	JEDDAH	1	MIDDLE EAST	7
26	AIN SUKHNA	1	AFRICA	5
27	AQABA	1	MIDDLE EAST	7
28	TAIPEI	0	ASIA	1
29	XIAMEN	0	ASIA	1
30	DJIBOUTI	1	AFRICA	5
