PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	AIN SUKHNA	AQABA	1	180
2	AIN SUKHNA	CHENNAI	1	180
3	AIN SUKHNA	CHITTAGONG	1	180
4	AIN SUKHNA	COCHIN	1	180
5	AIN SUKHNA	COLOMBO	1	180
6	AIN SUKHNA	DAMMAM	1	180
7	AIN SUKHNA	DJIBOUTI	1	180
8	AIN SUKHNA	HAMAD	1	180
9	AIN SUKHNA	HONG KONG	1	180
10	AIN SUKHNA	JEBEL ALI	1	180
11	AIN SUKHNA	JEDDAH	1	180
12	AIN SUKHNA	JUBAIL	1	180
13	AIN SUKHNA	KHALIFA PORT, ABU DHABI	1	180
14	AIN SUKHNA	LIANYUNGANG	1	180
15	AIN SUKHNA	MANGALORE	1	180
16	AIN SUKHNA	MUNDRA	1	180
17	AIN SUKHNA	NANSHA	1	180
18	AIN SUKHNA	NHAVA SHEVA	1	180
19	AIN SUKHNA	NINGBO	1	180
20	AIN SUKHNA	PORT KLANG	1	180
21	AIN SUKHNA	QINGDAO	1	180
22	AIN SUKHNA	SHANGHAI	1	180
23	AIN SUKHNA	SHEKOU	1	180
24	AIN SUKHNA	SINGAPORE	1	180
25	AIN SUKHNA	SOHAR	1	180
26	AIN SUKHNA	TAIPEI	1	180
27	AIN SUKHNA	TIANJIN XINGANG	1	180
28	AIN SUKHNA	UMM QASR	1	180
29	AIN SUKHNA	XIAMEN	1	180
30	AQABA	AIN SUKHNA	1	180
31	AQABA	CHENNAI	1	180
32	AQABA	CHITTAGONG	1	180
33	AQABA	COCHIN	1	180
34	AQABA	COLOMBO	1	180
35	AQABA	DAMMAM	1	180
36	AQABA	DJIBOUTI	1	180
37	AQABA	HAMAD	1	180
38	AQABA	HONG KONG	1	180
39	AQABA	JEBEL ALI	1	180
40	AQABA	JEDDAH	1	180
41	AQABA	JUBAIL	1	180
42	AQABA	KHALIFA PORT, ABU DHABI	1	180
43	AQABA	LIANYUNGANG	1	180
44	AQABA	MANGALORE	1	180
45	AQABA	MUNDRA	1	180
46	AQABA	NANSHA	1	180
47	AQABA	NHAVA SHEVA	1	180
48	AQABA	NINGBO	1	180
49	AQABA	PORT KLANG	1	180
50	AQABA	QINGDAO	1	180
51	AQABA	SHANGHAI	1	180
52	AQABA	SHEKOU	1	180
53	AQABA	SINGAPORE	1	180
54	AQABA	SOHAR	1	180
55	AQABA	TAIPEI	1	180
56	AQABA	TIANJIN XINGANG	1	180
57	AQABA	UMM QASR	1	180
58	AQABA	XIAMEN	1	180
59	CHENNAI	AIN SUKHNA	1	180
60	CHENNAI	AQABA	1	180
61	CHENNAI	CHITTAGONG	1	180
62	CHENNAI	COCHIN	1	180
63	CHENNAI	COLOMBO	1	180
64	CHENNAI	DAMMAM	1	180
65	CHENNAI	DJIBOUTI	1	180
66	CHENNAI	HAMAD	1	180
67	CHENNAI	HONG KONG	1	180
68	CHENNAI	JEBEL ALI	1	180
69	CHENNAI	JEDDAH	1	180
70	CHENNAI	JUBAIL	1	180
71	CHENNAI	KHALIFA PORT, ABU DHABI	1	180
72	CHENNAI	LIANYUNGANG	1	180
73	CHENNAI	MANGALORE	1	180
74	CHENNAI	MUNDRA	1	180
75	CHENNAI	NANSHA	1	180
76	CHENNAI	NHAVA SHEVA	1	180
77	CHENNAI	NINGBO	1	180
78	CHENNAI	PORT KLANG	1	180
79	CHENNAI	QINGDAO	1	180
80	CHENNAI	SHANGHAI	1	180
81	CHENNAI	SHEKOU	1	180
82	CHENNAI	SINGAPORE	1	180
83	CHENNAI	SOHAR	1	180
84	CHENNAI	TAIPEI	1	180
85	CHENNAI	TIANJIN XINGANG	1	180
86	CHENNAI	UMM QASR	1	180
87	CHENNAI	XIAMEN	1	180
88	CHITTAGONG	AIN SUKHNA	1	180
89	CHITTAGONG	AQABA	1	180
90	CHITTAGONG	CHENNAI	1	180
91	CHITTAGONG	COCHIN	1	180
92	CHITTAGONG	COLOMBO	1	180
93	CHITTAGONG	DAMMAM	1	180
94	CHITTAGONG	DJIBOUTI	1	180
95	CHITTAGONG	HAMAD	1	180
96	CHITTAGONG	HONG KONG	1	180
97	CHITTAGONG	JEBEL ALI	1	180
98	CHITTAGONG	JEDDAH	1	180
99	CHITTAGONG	JUBAIL	1	180
100	CHITTAGONG	KHALIFA PORT, ABU DHABI	1	180
101	CHITTAGONG	LIANYUNGANG	1	180
102	CHITTAGONG	MANGALORE	1	180
103	CHITTAGONG	MUNDRA	1	180
104	CHITTAGONG	NANSHA	1	180
105	CHITTAGONG	NHAVA SHEVA	1	180
106	CHITTAGONG	NINGBO	1	180
107	CHITTAGONG	PORT KLANG	1	180
108	CHITTAGONG	QINGDAO	1	180
109	CHITTAGONG	SHANGHAI	1	180
110	CHITTAGONG	SHEKOU	1	180
111	CHITTAGONG	SINGAPORE	1	180
112	CHITTAGONG	SOHAR	1	180
113	CHITTAGONG	TAIPEI	1	180
114	CHITTAGONG	TIANJIN XINGANG	1	180
115	CHITTAGONG	UMM QASR	1	180
116	CHITTAGONG	XIAMEN	1	180
117	COCHIN	AIN SUKHNA	1	180
118	COCHIN	AQABA	1	180
119	COCHIN	CHENNAI	1	180
120	COCHIN	CHITTAGONG	1	180
121	COCHIN	COLOMBO	1	180
122	COCHIN	DAMMAM	1	180
123	COCHIN	DJIBOUTI	1	180
124	COCHIN	HAMAD	1	180
125	COCHIN	HONG KONG	1	180
126	COCHIN	JEBEL ALI	1	180
127	COCHIN	JEDDAH	1	180
128	COCHIN	JUBAIL	1	180
129	COCHIN	KHALIFA PORT, ABU DHABI	1	180
130	COCHIN	LIANYUNGANG	1	180
131	COCHIN	MANGALORE	1	180
132	COCHIN	MUNDRA	1	180
133	COCHIN	NANSHA	1	180
134	COCHIN	NHAVA SHEVA	1	180
135	COCHIN	NINGBO	1	180
136	COCHIN	PORT KLANG	1	180
137	COCHIN	QINGDAO	1	180
138	COCHIN	SHANGHAI	1	180
139	COCHIN	SHEKOU	1	180
140	COCHIN	SINGAPORE	1	180
141	COCHIN	SOHAR	1	180
142	COCHIN	TAIPEI	1	180
143	COCHIN	TIANJIN XINGANG	1	180
144	COCHIN	UMM QASR	1	180
145	COCHIN	XIAMEN	1	180
146	COLOMBO	AIN SUKHNA	1	180
147	COLOMBO	AQABA	1	180
148	COLOMBO	CHENNAI	1	180
149	COLOMBO	CHITTAGONG	1	180
150	COLOMBO	COCHIN	1	180
151	COLOMBO	DAMMAM	1	180
152	COLOMBO	DJIBOUTI	1	180
153	COLOMBO	HAMAD	1	180
154	COLOMBO	HONG KONG	1	180
155	COLOMBO	JEBEL ALI	1	180
156	COLOMBO	JEDDAH	1	180
157	COLOMBO	JUBAIL	1	180
158	COLOMBO	KHALIFA PORT, ABU DHABI	1	180
159	COLOMBO	LIANYUNGANG	1	180
160	COLOMBO	MANGALORE	1	180
161	COLOMBO	MUNDRA	1	180
162	COLOMBO	NANSHA	1	180
163	COLOMBO	NHAVA SHEVA	1	180
164	COLOMBO	NINGBO	1	180
165	COLOMBO	PORT KLANG	1	180
166	COLOMBO	QINGDAO	1	180
167	COLOMBO	SHANGHAI	1	180
168	COLOMBO	SHEKOU	1	180
169	COLOMBO	SINGAPORE	1	180
170	COLOMBO	SOHAR	1	180
171	COLOMBO	TAIPEI	1	180
172	COLOMBO	TIANJIN XINGANG	1	180
173	COLOMBO	UMM QASR	1	180
174	COLOMBO	XIAMEN	1	180
175	DAMMAM	AIN SUKHNA	1	180
176	DAMMAM	AQABA	1	180
177	DAMMAM	CHENNAI	1	180
178	DAMMAM	CHITTAGONG	1	180
179	DAMMAM	COCHIN	1	180
180	DAMMAM	COLOMBO	1	180
181	DAMMAM	DJIBOUTI	1	180
182	DAMMAM	HAMAD	1	180
183	DAMMAM	HONG KONG	1	180
184	DAMMAM	JEBEL ALI	1	180
185	DAMMAM	JEDDAH	1	180
186	DAMMAM	JUBAIL	1	180
187	DAMMAM	KHALIFA PORT, ABU DHABI	1	180
188	DAMMAM	LIANYUNGANG	1	180
189	DAMMAM	MANGALORE	1	180
190	DAMMAM	MUNDRA	1	180
191	DAMMAM	NANSHA	1	180
192	DAMMAM	NHAVA SHEVA	1	180
193	DAMMAM	NINGBO	1	180
194	DAMMAM	PORT KLANG	1	180
195	DAMMAM	QINGDAO	1	180
196	DAMMAM	SHANGHAI	1	180
197	DAMMAM	SHEKOU	1	180
198	DAMMAM	SINGAPORE	1	180
199	DAMMAM	SOHAR	1	180
200	DAMMAM	TAIPEI	1	180
201	DAMMAM	TIANJIN XINGANG	1	180
202	DAMMAM	UMM QASR	1	180
203	DAMMAM	XIAMEN	1	180
204	DJIBOUTI	AIN SUKHNA	1	180
205	DJIBOUTI	AQABA	1	180
206	DJIBOUTI	CHENNAI	1	180
207	DJIBOUTI	CHITTAGONG	1	180
208	DJIBOUTI	COCHIN	1	180
209	DJIBOUTI	COLOMBO	1	180
210	DJIBOUTI	DAMMAM	1	180
211	DJIBOUTI	HAMAD	1	180
212	DJIBOUTI	HONG KONG	1	180
213	DJIBOUTI	JEBEL ALI	1	180
214	DJIBOUTI	JEDDAH	1	180
215	DJIBOUTI	JUBAIL	1	180
216	DJIBOUTI	KHALIFA PORT, ABU DHABI	1	180
217	DJIBOUTI	LIANYUNGANG	1	180
218	DJIBOUTI	MANGALORE	1	180
219	DJIBOUTI	MUNDRA	1	180
220	DJIBOUTI	NANSHA	1	180
221	DJIBOUTI	NHAVA SHEVA	1	180
222	DJIBOUTI	NINGBO	1	180
223	DJIBOUTI	PORT KLANG	1	180
224	DJIBOUTI	QINGDAO	1	180
225	DJIBOUTI	SHANGHAI	1	180
226	DJIBOUTI	SHEKOU	1	180
227	DJIBOUTI	SINGAPORE	1	180
228	DJIBOUTI	SOHAR	1	180
229	DJIBOUTI	TAIPEI	1	180
230	DJIBOUTI	TIANJIN XINGANG	1	180
231	DJIBOUTI	UMM QASR	1	180
232	DJIBOUTI	XIAMEN	1	180
233	HAMAD	AIN SUKHNA	1	180
234	HAMAD	AQABA	1	180
235	HAMAD	CHENNAI	1	180
236	HAMAD	CHITTAGONG	1	180
237	HAMAD	COCHIN	1	180
238	HAMAD	COLOMBO	1	180
239	HAMAD	DAMMAM	1	180
240	HAMAD	DJIBOUTI	1	180
241	HAMAD	HONG KONG	1	180
242	HAMAD	JEBEL ALI	1	180
243	HAMAD	JEDDAH	1	180
244	HAMAD	JUBAIL	1	180
245	HAMAD	KHALIFA PORT, ABU DHABI	1	180
246	HAMAD	LIANYUNGANG	1	180
247	HAMAD	MANGALORE	1	180
248	HAMAD	MUNDRA	1	180
249	HAMAD	NANSHA	1	180
250	HAMAD	NHAVA SHEVA	1	180
251	HAMAD	NINGBO	1	180
252	HAMAD	PORT KLANG	1	180
253	HAMAD	QINGDAO	1	180
254	HAMAD	SHANGHAI	1	180
255	HAMAD	SHEKOU	1	180
256	HAMAD	SINGAPORE	1	180
257	HAMAD	SOHAR	1	180
258	HAMAD	TAIPEI	1	180
259	HAMAD	TIANJIN XINGANG	1	180
260	HAMAD	UMM QASR	1	180
261	HAMAD	XIAMEN	1	180
262	HONG KONG	AIN SUKHNA	1	180
263	HONG KONG	AQABA	1	180
264	HONG KONG	CHENNAI	1	180
265	HONG KONG	CHITTAGONG	1	180
266	HONG KONG	COCHIN	1	180
267	HONG KONG	COLOMBO	1	180
268	HONG KONG	DAMMAM	1	180
269	HONG KONG	DJIBOUTI	1	180
270	HONG KONG	HAMAD	1	180
271	HONG KONG	JEBEL ALI	1	180
272	HONG KONG	JEDDAH	1	180
273	HONG KONG	JUBAIL	1	180
274	HONG KONG	KHALIFA PORT, ABU DHABI	1	180
275	HONG KONG	LIANYUNGANG	1	180
276	HONG KONG	MANGALORE	1	180
277	HONG KONG	MUNDRA	1	180
278	HONG KONG	NANSHA	1	180
279	HONG KONG	NHAVA SHEVA	1	180
280	HONG KONG	NINGBO	1	180
281	HONG KONG	PORT KLANG	1	180
282	HONG KONG	QINGDAO	1	180
283	HONG KONG	SHANGHAI	1	180
284	HONG KONG	SHEKOU	1	180
285	HONG KONG	SINGAPORE	1	180
286	HONG KONG	SOHAR	1	180
287	HONG KONG	TAIPEI	1	180
288	HONG KONG	TIANJIN XINGANG	1	180
289	HONG KONG	UMM QASR	1	180
290	HONG KONG	XIAMEN	1	180
291	JEBEL ALI	AIN SUKHNA	1	180
292	JEBEL ALI	AQABA	1	180
293	JEBEL ALI	CHENNAI	1	180
294	JEBEL ALI	CHITTAGONG	1	180
295	JEBEL ALI	COCHIN	1	180
296	JEBEL ALI	COLOMBO	1	180
297	JEBEL ALI	DAMMAM	1	180
298	JEBEL ALI	DJIBOUTI	1	180
299	JEBEL ALI	HAMAD	1	180
300	JEBEL ALI	HONG KONG	1	180
301	JEBEL ALI	JEDDAH	1	180
302	JEBEL ALI	JUBAIL	1	180
303	JEBEL ALI	KHALIFA PORT, ABU DHABI	1	180
304	JEBEL ALI	LIANYUNGANG	1	180
305	JEBEL ALI	MANGALORE	1	180
306	JEBEL ALI	MUNDRA	1	180
307	JEBEL ALI	NANSHA	1	180
308	JEBEL ALI	NHAVA SHEVA	1	180
309	JEBEL ALI	NINGBO	1	180
310	JEBEL ALI	PORT KLANG	1	180
311	JEBEL ALI	QINGDAO	1	180
312	JEBEL ALI	SHANGHAI	1	180
313	JEBEL ALI	SHEKOU	1	180
314	JEBEL ALI	SINGAPORE	1	180
315	JEBEL ALI	SOHAR	1	180
316	JEBEL ALI	TAIPEI	1	180
317	JEBEL ALI	TIANJIN XINGANG	1	180
318	JEBEL ALI	UMM QASR	1	180
319	JEBEL ALI	XIAMEN	1	180
320	JEDDAH	AIN SUKHNA	1	180
321	JEDDAH	AQABA	1	180
322	JEDDAH	CHENNAI	1	180
323	JEDDAH	CHITTAGONG	1	180
324	JEDDAH	COCHIN	1	180
325	JEDDAH	COLOMBO	1	180
326	JEDDAH	DAMMAM	1	180
327	JEDDAH	DJIBOUTI	1	180
328	JEDDAH	HAMAD	1	180
329	JEDDAH	HONG KONG	1	180
330	JEDDAH	JEBEL ALI	1	180
331	JEDDAH	JUBAIL	1	180
332	JEDDAH	KHALIFA PORT, ABU DHABI	1	180
333	JEDDAH	LIANYUNGANG	1	180
334	JEDDAH	MANGALORE	1	180
335	JEDDAH	MUNDRA	1	180
336	JEDDAH	NANSHA	1	180
337	JEDDAH	NHAVA SHEVA	1	180
338	JEDDAH	NINGBO	1	180
339	JEDDAH	PORT KLANG	1	180
340	JEDDAH	QINGDAO	1	180
341	JEDDAH	SHANGHAI	1	180
342	JEDDAH	SHEKOU	1	180
343	JEDDAH	SINGAPORE	1	180
344	JEDDAH	SOHAR	1	180
345	JEDDAH	TAIPEI	1	180
346	JEDDAH	TIANJIN XINGANG	1	180
347	JEDDAH	UMM QASR	1	180
348	JEDDAH	XIAMEN	1	180
349	JUBAIL	AIN SUKHNA	1	180
350	JUBAIL	AQABA	1	180
351	JUBAIL	CHENNAI	1	180
352	JUBAIL	CHITTAGONG	1	180
353	JUBAIL	COCHIN	1	180
354	JUBAIL	COLOMBO	1	180
355	JUBAIL	DAMMAM	1	180
356	JUBAIL	DJIBOUTI	1	180
357	JUBAIL	HAMAD	1	180
358	JUBAIL	HONG KONG	1	180
359	JUBAIL	JEBEL ALI	1	180
360	JUBAIL	JEDDAH	1	180
361	JUBAIL	KHALIFA PORT, ABU DHABI	1	180
362	JUBAIL	LIANYUNGANG	1	180
363	JUBAIL	MANGALORE	1	180
364	JUBAIL	MUNDRA	1	180
365	JUBAIL	NANSHA	1	180
366	JUBAIL	NHAVA SHEVA	1	180
367	JUBAIL	NINGBO	1	180
368	JUBAIL	PORT KLANG	1	180
369	JUBAIL	QINGDAO	1	180
370	JUBAIL	SHANGHAI	1	180
371	JUBAIL	SHEKOU	1	180
372	JUBAIL	SINGAPORE	1	180
373	JUBAIL	SOHAR	1	180
374	JUBAIL	TAIPEI	1	180
375	JUBAIL	TIANJIN XINGANG	1	180
376	JUBAIL	UMM QASR	1	180
377	JUBAIL	XIAMEN	1	180
378	KHALIFA PORT, ABU DHABI	AIN SUKHNA	1	180
379	KHALIFA PORT, ABU DHABI	AQABA	1	180
380	KHALIFA PORT, ABU DHABI	CHENNAI	1	180
381	KHALIFA PORT, ABU DHABI	CHITTAGONG	1	180
382	KHALIFA PORT, ABU DHABI	COCHIN	1	180
383	KHALIFA PORT, ABU DHABI	COLOMBO	1	180
384	KHALIFA PORT, ABU DHABI	DAMMAM	1	180
385	KHALIFA PORT, ABU DHABI	DJIBOUTI	1	180
386	KHALIFA PORT, ABU DHABI	HAMAD	1	180
387	KHALIFA PORT, ABU DHABI	HONG KONG	1	180
388	KHALIFA PORT, ABU DHABI	JEBEL ALI	1	180
389	KHALIFA PORT, ABU DHABI	JEDDAH	1	180
390	KHALIFA PORT, ABU DHABI	JUBAIL	1	180
391	KHALIFA PORT, ABU DHABI	LIANYUNGANG	1	180
392	KHALIFA PORT, ABU DHABI	MANGALORE	1	180
393	KHALIFA PORT, ABU DHABI	MUNDRA	1	180
394	KHALIFA PORT, ABU DHABI	NANSHA	1	180
395	KHALIFA PORT, ABU DHABI	NHAVA SHEVA	1	180
396	KHALIFA PORT, ABU DHABI	NINGBO	1	180
397	KHALIFA PORT, ABU DHABI	PORT KLANG	1	180
398	KHALIFA PORT, ABU DHABI	QINGDAO	1	180
399	KHALIFA PORT, ABU DHABI	SHANGHAI	1	180
400	KHALIFA PORT, ABU DHABI	SHEKOU	1	180
401	KHALIFA PORT, ABU DHABI	SINGAPORE	1	180
402	KHALIFA PORT, ABU DHABI	SOHAR	1	180
403	KHALIFA PORT, ABU DHABI	TAIPEI	1	180
404	KHALIFA PORT, ABU DHABI	TIANJIN XINGANG	1	180
405	KHALIFA PORT, ABU DHABI	UMM QASR	1	180
406	KHALIFA PORT, ABU DHABI	XIAMEN	1	180
407	LIANYUNGANG	AIN SUKHNA	1	180
408	LIANYUNGANG	AQABA	1	180
409	LIANYUNGANG	CHENNAI	1	180
410	LIANYUNGANG	CHITTAGONG	1	180
411	LIANYUNGANG	COCHIN	1	180
412	LIANYUNGANG	COLOMBO	1	180
413	LIANYUNGANG	DAMMAM	1	180
414	LIANYUNGANG	DJIBOUTI	1	180
415	LIANYUNGANG	HAMAD	1	180
416	LIANYUNGANG	HONG KONG	1	180
417	LIANYUNGANG	JEBEL ALI	1	180
418	LIANYUNGANG	JEDDAH	1	180
419	LIANYUNGANG	JUBAIL	1	180
420	LIANYUNGANG	KHALIFA PORT, ABU DHABI	1	180
421	LIANYUNGANG	MANGALORE	1	180
