VesselID	Capacity	OperationCost	RouteID	MaxNum
1	2478	1.685	1	1
2	1	4.066	2	1
3	1700	4.491	2	1
4	1700	4.491	2	1
5	1700	4.491	2	1
6	10106	9.592	3	1
7	12917	10.295	3	1
8	10100	9.591	3	1
9	11388	9.913	3	1
10	9953	9.554	3	1
11	31	7.073	3	1
12	41	7.076	3	1
13	1	7.066	4	1
14	1	7.066	4	1
15	1	7.066	4	1
16	1	7.066	4	1
17	1	7.066	4	1
18	1	7.066	4	1
19	1	7.066	4	1
20	19273	11.884	5	1
21	21237	12.375	5	1
22	251	7.128	5	1
23	19273	11.884	5	1
24	18982	11.811	5	1
25	14074	10.584	5	1
26	14074	10.584	5	1
27	2732	2.749	6	1
28	2764	2.757	6	1
29	15072	12.834	7	1
30	1	9.066	7	1
31	14568	12.708	7	1
32	1	9.066	7	1
33	1	9.066	7	1
34	11	9.068	7	1
35	13806	12.517	7	1
36	13806	12.517	7	1
37	31	9.073	7	1
38	11388	10.913	8	1
39	11040	10.826	8	1
40	221	8.121	8	1
41	241	8.126	8	1
42	11923	11.046	8	1
43	6606	9.717	8	1
44	6606	9.717	8	1
45	8825	10.272	8	1
