TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1260	JEBEL ALI	1	7	0	50	7	1	2
1261	JEBEL ALI	1	7	7	58	14	1	2
1262	JEBEL ALI	1	7	0	798	7	1	6
1263	JEBEL ALI	1	7	7	803	14	1	6
1264	JEBEL ALI	3	14	0	58	14	1	2
1265	JEBEL ALI	3	14	7	66	21	1	2
1266	JEBEL ALI	3	14	7	802	21	1	6
1267	JEBEL ALI	3	14	0	803	14	1	6
1268	JEBEL ALI	5	21	0	66	21	1	2
1269	JEBEL ALI	5	21	7	74	28	1	2
1270	JEBEL ALI	5	21	8	205	29	1	3
1271	JEBEL ALI	5	21	8	376	29	1	4
1272	JEBEL ALI	5	21	8	616	29	1	5
1273	JEBEL ALI	5	21	0	802	21	1	6
1274	JEBEL ALI	5	21	7	807	28	1	6
1275	JEBEL ALI	7	28	7	57	35	1	2
1276	JEBEL ALI	7	28	0	74	28	1	2
1277	JEBEL ALI	7	28	1	205	29	1	3
1278	JEBEL ALI	7	28	8	215	36	1	3
1279	JEBEL ALI	7	28	1	376	29	1	4
1280	JEBEL ALI	7	28	8	390	36	1	4
1281	JEBEL ALI	7	28	1	616	29	1	5
1282	JEBEL ALI	7	28	8	627	36	1	5
1283	JEBEL ALI	7	28	0	807	28	1	6
1284	JEBEL ALI	7	28	7	811	35	1	6
1285	JEBEL ALI	9	35	0	57	35	1	2
1286	JEBEL ALI	9	35	7	65	42	1	2
1287	JEBEL ALI	9	35	1	215	36	1	3
1288	JEBEL ALI	9	35	8	225	43	1	3
1289	JEBEL ALI	9	35	1	390	36	1	4
1290	JEBEL ALI	9	35	8	404	43	1	4
1291	JEBEL ALI	9	35	1	627	36	1	5
1292	JEBEL ALI	9	35	8	638	43	1	5
1293	JEBEL ALI	9	35	0	811	35	1	6
1294	JEBEL ALI	9	35	7	815	42	1	6
1295	JEBEL ALI	11	42	0	65	42	1	2
1296	JEBEL ALI	11	42	7	73	49	1	2
1297	JEBEL ALI	11	42	1	225	43	1	3
1298	JEBEL ALI	11	42	8	235	50	1	3
1299	JEBEL ALI	11	42	1	404	43	1	4
1300	JEBEL ALI	11	42	8	418	50	1	4
1301	JEBEL ALI	11	42	1	638	43	1	5
1302	JEBEL ALI	11	42	8	649	50	1	5
1303	JEBEL ALI	11	42	0	815	42	1	6
1304	JEBEL ALI	11	42	7	819	49	1	6
1305	JEBEL ALI	13	49	0	73	49	1	2
1306	JEBEL ALI	13	49	7	81	56	1	2
1307	JEBEL ALI	13	49	1	235	50	1	3
1308	JEBEL ALI	13	49	8	245	57	1	3
1309	JEBEL ALI	13	49	1	418	50	1	4
1310	JEBEL ALI	13	49	8	432	57	1	4
1311	JEBEL ALI	13	49	1	649	50	1	5
1312	JEBEL ALI	13	49	8	660	57	1	5
1313	JEBEL ALI	13	49	0	819	49	1	6
1314	JEBEL ALI	13	49	7	823	56	1	6
1315	JEBEL ALI	15	56	0	81	56	1	2
1316	JEBEL ALI	15	56	7	88	63	1	2
1317	JEBEL ALI	15	56	1	245	57	1	3
1318	JEBEL ALI	15	56	8	255	64	1	3
1319	JEBEL ALI	15	56	1	432	57	1	4
1320	JEBEL ALI	15	56	8	446	64	1	4
1321	JEBEL ALI	15	56	1	660	57	1	5
1322	JEBEL ALI	15	56	8	671	64	1	5
1323	JEBEL ALI	15	56	0	823	56	1	6
1324	JEBEL ALI	15	56	7	827	63	1	6
1325	JEBEL ALI	17	63	0	88	63	1	2
1326	JEBEL ALI	17	63	7	95	70	1	2
1327	JEBEL ALI	17	63	1	255	64	1	3
