ID	Route	Call	Port	Round_trip	Time
1	1	1	JEBEL ALI	1	7
2	1	2	UMM QASR	1	10
3	1	3	JEBEL ALI	1	14
4	1	2	UMM QASR	2	17
5	1	3	JEBEL ALI	2	21
6	1	2	UMM QASR	3	24
7	1	3	JEBEL ALI	3	28
8	1	2	UMM QASR	4	31
9	1	3	JEBEL ALI	4	35
10	1	2	UMM QASR	5	38
11	1	3	JEBEL ALI	5	42
12	1	2	UMM QASR	6	45
13	1	3	JEBEL ALI	6	49
14	1	2	UMM QASR	7	52
15	1	3	JEBEL ALI	7	56
16	1	2	UMM QASR	8	59
17	1	3	JEBEL ALI	8	63
18	1	2	UMM QASR	9	66
19	1	3	JEBEL ALI	9	70
20	1	2	UMM QASR	10	73
21	1	3	JEBEL ALI	10	77
22	1	2	UMM QASR	11	80
23	1	3	JEBEL ALI	11	84
24	1	2	UMM QASR	12	87
25	1	3	JEBEL ALI	12	91
26	1	2	UMM QASR	13	94
27	1	3	JEBEL ALI	13	98
28	1	2	UMM QASR	14	101
29	1	3	JEBEL ALI	14	105
30	1	2	UMM QASR	15	108
31	1	3	JEBEL ALI	15	112
32	1	2	UMM QASR	16	115
33	1	3	JEBEL ALI	16	119
34	1	2	UMM QASR	17	122
35	1	3	JEBEL ALI	17	126
36	1	2	UMM QASR	18	129
37	1	3	JEBEL ALI	18	133
38	1	2	UMM QASR	19	136
39	1	3	JEBEL ALI	19	140
40	1	2	UMM QASR	20	143
41	1	3	JEBEL ALI	20	147
42	1	2	UMM QASR	21	150
43	1	3	JEBEL ALI	21	154
44	1	2	UMM QASR	22	157
45	1	3	JEBEL ALI	22	161
46	1	2	UMM QASR	23	164
47	1	3	JEBEL ALI	23	168
48	1	2	UMM QASR	24	171
49	1	3	JEBEL ALI	24	175
50	2	1	JEBEL ALI	1	7
51	2	2	KHALIFA PORT, ABU DHABI	1	8
52	2	3	CHITTAGONG	1	18
53	2	4	COLOMBO	1	25
54	2	5	MANGALORE	1	27
55	2	6	NHAVA SHEVA	1	29
56	2	7	MUNDRA	1	31
57	2	8	JEBEL ALI	1	35
58	2	1	JEBEL ALI	2	14
59	2	2	KHALIFA PORT, ABU DHABI	2	15
60	2	3	CHITTAGONG	2	25
61	2	4	COLOMBO	2	32
62	2	5	MANGALORE	2	34
