PortID	Port	WhetherTrans	Region	Group
1	SINGAPORE	1	ASIA	1
2	LAEM CHABANG	0	ASIA	1
3	HAIPHONG	1	ASIA	1
4	YANTIAN	1	ASIA	1
5	NINGBO	1	ASIA	1
6	SHANGHAI	1	ASIA	1
7	BUSAN(KOREA)	1	ASIA	1
8	YOKOHAMA	0	ASIA	1
9	NORFOLK(VA)	1	AMERICA North	2
10	SAVANNAH(GA)	1	AMERICA North	2
11	CHARLESTON(SC)	0	AMERICA North	2
12	MIAMI(FL)	0	AMERICA North	2
13	XIAMEN	1	ASIA	1
14	HOUSTON(TX)	1	AMERICA North	2
15	MOBILE(AL)	1	AMERICA North	2
16	TAMPA(FL)	0	AMERICA North	2
17	QINGDAO	1	ASIA	1
18	NEW YORK(NY)	1	AMERICA North	2
19	VUNG TAU	1	ASIA	1
20	HONG KONG	1	ASIA	1
21	SHEKOU	0	ASIA	1
22	NEW ORLEANS(LA)	0	AMERICA North	2
23	KAOHSIUNG	1	ASIA	1
24	COLON	0	AMERICA North	2
25	BALTIMORE(MD)	0	AMERICA North	2
26	LOS ANGELES(CA)	1	AMERICA North	2
27	OAKLAND(CA)	1	AMERICA North	2
28	DUTCH HARBOR(AK)	0	AMERICA North	2
29	KOBE	1	ASIA	1
30	NAGOYA	1	ASIA	1
31	TOKYO	1	ASIA	1
32	SHIMIZU	0	ASIA	1
33	TAIPEI	0	ASIA	1
34	LONG BEACH(CA)	1	AMERICA North	2
35	TACOMA(WA)	0	AMERICA North	2
36	VANCOUVER(BC)	1	AMERICA North	2
37	OSAKA	0	ASIA	1
38	NANSHA	0	ASIA	1
39	PRINCE RUPERT(BC)	0	AMERICA North	2
