PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	BALTIMORE(MD)	BUSAN(KOREA)	1	180
2	BALTIMORE(MD)	CHARLESTON(SC)	1	180
3	BALTIMORE(MD)	COLON	1	180
4	BALTIMORE(MD)	DUTCH HARBOR(AK)	1	180
5	BALTIMORE(MD)	HAIPHONG	1	180
6	BALTIMORE(MD)	HONG KONG	1	180
7	BALTIMORE(MD)	HOUSTON(TX)	1	180
8	BALTIMORE(MD)	KAOHSIUNG	1	180
9	BALTIMORE(MD)	KOBE	1	180
10	BALTIMORE(MD)	LAEM CHABANG	1	180
11	BALTIMORE(MD)	LONG BEACH(CA)	1	180
12	BALTIMORE(MD)	LOS ANGELES(CA)	1	180
13	BALTIMORE(MD)	MIAMI(FL)	1	180
14	BALTIMORE(MD)	MOBILE(AL)	1	180
15	BALTIMORE(MD)	NAGOYA	1	180
16	BALTIMORE(MD)	NANSHA	1	180
17	BALTIMORE(MD)	NEW ORLEANS(LA)	1	180
18	BALTIMORE(MD)	NEW ORLEANS,LA	1	180
19	BALTIMORE(MD)	NEW YORK(NY)	1	180
20	BALTIMORE(MD)	NINGBO	1	180
21	BALTIMORE(MD)	NORFOLK(VA)	1	180
22	BALTIMORE(MD)	OAKLAND(CA)	1	180
23	BALTIMORE(MD)	OSAKA	1	180
24	BALTIMORE(MD)	PRINCE RUPERT(BC)	1	180
25	BALTIMORE(MD)	QINGDAO	1	180
26	BALTIMORE(MD)	SAVANNAH(GA)	1	180
27	BALTIMORE(MD)	SHANGHAI	1	180
28	BALTIMORE(MD)	SHEKOU	1	180
29	BALTIMORE(MD)	SHIMIZU	1	180
30	BALTIMORE(MD)	SINGAPORE	1	180
31	BALTIMORE(MD)	TACOMA(WA)	1	180
32	BALTIMORE(MD)	TAIPEI	1	180
33	BALTIMORE(MD)	TAMPA(FL)	1	180
34	BALTIMORE(MD)	TOKYO	1	180
35	BALTIMORE(MD)	VANCOUVER(BC)	1	180
36	BALTIMORE(MD)	VUNG TAU	1	180
37	BALTIMORE(MD)	XIAMEN	1	180
38	BALTIMORE(MD)	YANTIAN	1	180
39	BALTIMORE(MD)	YOKOHAMA	1	180
40	BUSAN(KOREA)	BALTIMORE(MD)	1	180
41	BUSAN(KOREA)	CHARLESTON(SC)	1	180
42	BUSAN(KOREA)	COLON	1	180
43	BUSAN(KOREA)	DUTCH HARBOR(AK)	1	180
44	BUSAN(KOREA)	HAIPHONG	1	180
45	BUSAN(KOREA)	HONG KONG	1	180
46	BUSAN(KOREA)	HOUSTON(TX)	1	180
47	BUSAN(KOREA)	KAOHSIUNG	1	180
48	BUSAN(KOREA)	KOBE	1	180
49	BUSAN(KOREA)	LAEM CHABANG	1	180
50	BUSAN(KOREA)	LONG BEACH(CA)	1	180
51	BUSAN(KOREA)	LOS ANGELES(CA)	1	180
52	BUSAN(KOREA)	MIAMI(FL)	1	180
53	BUSAN(KOREA)	MOBILE(AL)	1	180
54	BUSAN(KOREA)	NAGOYA	1	180
55	BUSAN(KOREA)	NANSHA	1	180
56	BUSAN(KOREA)	NEW ORLEANS(LA)	1	180
57	BUSAN(KOREA)	NEW ORLEANS,LA	1	180
58	BUSAN(KOREA)	NEW YORK(NY)	1	180
59	BUSAN(KOREA)	NINGBO	1	180
60	BUSAN(KOREA)	NORFOLK(VA)	1	180
61	BUSAN(KOREA)	OAKLAND(CA)	1	180
62	BUSAN(KOREA)	OSAKA	1	180
63	BUSAN(KOREA)	PRINCE RUPERT(BC)	1	180
64	BUSAN(KOREA)	QINGDAO	1	180
65	BUSAN(KOREA)	SAVANNAH(GA)	1	180
66	BUSAN(KOREA)	SHANGHAI	1	180
67	BUSAN(KOREA)	SHEKOU	1	180
68	BUSAN(KOREA)	SHIMIZU	1	180
69	BUSAN(KOREA)	SINGAPORE	1	180
70	BUSAN(KOREA)	TACOMA(WA)	1	180
71	BUSAN(KOREA)	TAIPEI	1	180
72	BUSAN(KOREA)	TAMPA(FL)	1	180
73	BUSAN(KOREA)	TOKYO	1	180
74	BUSAN(KOREA)	VANCOUVER(BC)	1	180
75	BUSAN(KOREA)	VUNG TAU	1	180
76	BUSAN(KOREA)	XIAMEN	1	180
77	BUSAN(KOREA)	YANTIAN	1	180
78	BUSAN(KOREA)	YOKOHAMA	1	180
79	CHARLESTON(SC)	BALTIMORE(MD)	1	180
80	CHARLESTON(SC)	BUSAN(KOREA)	1	180
81	CHARLESTON(SC)	COLON	1	180
82	CHARLESTON(SC)	DUTCH HARBOR(AK)	1	180
83	CHARLESTON(SC)	HAIPHONG	1	180
