VesselID	Capacity	OperationCost	RouteID	MaxNum
1	10642	15.703	1	1
2	10106	15.569	1	1
3	11388	15.889	1	1
4	8721	15.222	1	1
5	1	13.042	1	1
6	1	13.042	1	1
7	1	13.042	1	1
8	1	13.042	1	1
9	1	13.042	1	1
10	1	13.042	1	1
11	1	13.042	1	1
12	1	13.042	1	1
13	1	13.042	1	1
14	8501	12.167	2	1
15	4256	11.106	2	1
16	601	10.192	2	1
17	881	10.262	2	1
18	8533	12.175	2	1
19	8533	12.175	2	1
20	8533	12.175	2	1
21	8063	12.058	2	1
22	8063	12.058	2	1
23	8825	12.248	2	1
24	15536	14.926	3	1
25	15254	14.856	3	1
26	15536	14.926	3	1
27	15254	14.856	3	1
28	14812	14.745	3	1
29	13800	14.492	3	1
30	13114	14.321	3	1
31	13144	14.328	3	1
32	13800	14.492	3	1
33	13800	14.492	3	1
34	13800	14.492	3	1
35	9365	14.383	4	1
36	8469	14.159	4	1
37	8721	14.222	4	1
38	9365	14.383	4	1
39	9365	14.383	4	1
40	8721	14.222	4	1
41	9365	14.383	4	1
42	1	12.042	4	1
43	1	12.042	4	1
44	1	12.042	4	1
45	8488	14.164	4	1
46	6350	13.63	4	1
47	1	10.042	5	1
48	1	10.042	5	1
49	11888	13.014	5	1
50	14424	13.648	5	1
51	14424	13.648	5	1
52	13808	13.494	5	1
53	14424	13.648	5	1
54	13808	13.494	5	1
55	13808	13.494	5	1
56	13808	13.494	5	1
57	6350	8.63	6	1
58	5095	8.316	6	1
59	5095	8.316	6	1
60	5095	8.316	6	1
61	5095	8.316	6	1
62	1	7.042	6	1
63	1	7.042	6	1
64	8628	8.199	7	1
65	8628	8.199	7	1
66	8628	8.199	7	1
67	21	6.047	7	1
68	31	6.05	7	1
69	41	6.052	7	1
70	51	6.055	7	1
71	61	6.057	7	1
72	71	6.06	7	1
73	81	6.062	7	1
74	101	6.067	7	1
75	121	6.072	7	1
76	131	6.075	7	1
77	141	6.077	7	1
78	8212	8.095	7	1
79	1	6.042	8	1
80	1	6.042	8	1
81	11888	9.014	8	1
82	12118	9.072	8	1
83	11888	9.014	8	1
84	12118	9.072	8	1
85	1	6.042	9	1
86	1	6.042	9	1
87	8508	8.169	9	1
88	8452	8.155	9	1
89	8508	8.169	9	1
90	8452	8.155	9	1
91	13386	9.389	10	1
92	13386	9.389	10	1
93	13386	9.389	10	1
94	13208	9.344	10	1
95	13208	9.344	10	1
96	181	6.087	10	1
97	6332	9.625	11	1
98	6332	9.625	11	1
99	7024	9.798	11	1
100	7024	9.798	11	1
101	7024	9.798	11	1
102	6000	9.542	11	1
103	7024	9.798	11	1
104	7024	9.798	11	1
105	14566	10.684	12	1
106	14568	10.684	12	1
107	13386	10.389	12	1
108	401	7.142	12	1
109	13386	10.389	12	1
110	13386	10.389	12	1
111	13386	10.389	12	1
112	9200	8.342	13	1
113	111	6.07	13	1
114	10036	8.551	13	1
115	8501	8.167	13	1
116	10036	8.551	13	1
117	8063	8.058	13	1
118	10036	9.551	14	1
119	341	7.127	14	1
120	381	7.137	14	1
121	461	7.157	14	1
122	471	7.16	14	1
123	10036	9.551	14	1
124	10036	9.551	14	1
