TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1807	SINGAPORE	1	5	0	405	5	1	4
1808	SINGAPORE	1	5	7	416	12	1	4
1809	HAIPHONG	3	13	3	1828	16	1	14
1810	HAIPHONG	3	13	10	1834	23	1	14
1811	YANTIAN	4	15	2	180	17	1	2
1812	YANTIAN	4	15	9	188	24	1	2
1813	YANTIAN	4	15	3	569	18	1	5
1814	YANTIAN	4	15	10	579	25	1	5
1815	YANTIAN	4	15	4	725	19	1	6
1816	YANTIAN	4	15	11	733	26	1	6
1817	YANTIAN	4	15	1	1043	16	1	8
1818	YANTIAN	4	15	8	1050	23	1	8
1819	YANTIAN	4	15	3	1401	18	1	11
1820	YANTIAN	4	15	10	1411	25	1	11
1821	YANTIAN	4	15	2	1568	17	1	12
1822	YANTIAN	4	15	9	1576	24	1	12
1823	YANTIAN	4	15	5	1711	20	1	13
1824	YANTIAN	4	15	12	1718	27	1	13
1825	NINGBO	5	19	1	186	20	1	2
1826	NINGBO	5	19	8	194	27	1	2
1827	NINGBO	5	19	2	307	21	1	3
1828	NINGBO	5	19	9	315	28	1	3
1829	NINGBO	5	19	3	420	22	1	4
1830	NINGBO	5	19	10	431	29	1	4
1831	NINGBO	5	19	3	726	22	1	6
1832	NINGBO	5	19	10	734	29	1	6
1833	NINGBO	5	19	4	1174	23	1	9
1834	NINGBO	5	19	11	1181	30	1	9
1835	NINGBO	5	19	0	1295	19	1	10
1836	NINGBO	5	19	7	1301	26	1	10
1837	NINGBO	5	19	1	1409	20	1	11
1838	NINGBO	5	19	8	1419	27	1	11
1839	NINGBO	5	19	4	1712	23	1	13
1840	NINGBO	5	19	11	1719	30	1	13
1841	NINGBO	5	19	3	1830	22	1	14
1842	NINGBO	5	19	10	1836	29	1	14
1843	SHANGHAI	6	21	5	193	26	1	2
1844	SHANGHAI	6	21	12	201	33	1	2
1845	SHANGHAI	6	21	2	308	23	1	3
1846	SHANGHAI	6	21	9	316	30	1	3
1847	SHANGHAI	6	21	2	421	23	1	4
1848	SHANGHAI	6	21	9	432	30	1	4
1849	SHANGHAI	6	21	3	727	24	1	6
1850	SHANGHAI	6	21	10	735	31	1	6
1851	SHANGHAI	6	21	0	1173	21	1	9
1852	SHANGHAI	6	21	7	1180	28	1	9
1853	SHANGHAI	6	21	6	1302	27	1	10
1854	SHANGHAI	6	21	13	1308	34	1	10
1855	SHANGHAI	6	21	5	1418	26	1	11
1856	SHANGHAI	6	21	12	1428	33	1	11
1857	SHANGHAI	6	21	4	1713	25	1	13
1858	SHANGHAI	6	21	11	1720	32	1	13
1859	BUSAN(KOREA)	7	25	1	309	26	1	3
1860	BUSAN(KOREA)	7	25	8	317	33	1	3
1861	BUSAN(KOREA)	7	25	2	422	27	1	4
1862	BUSAN(KOREA)	7	25	9	433	34	1	4
1863	BUSAN(KOREA)	7	25	5	1303	30	1	10
1864	BUSAN(KOREA)	7	25	12	1309	37	1	10
1865	NORFOLK(VA)	9	53	3	311	56	1	3
1866	NORFOLK(VA)	9	53	10	319	63	1	3
1867	NORFOLK(VA)	9	53	6	583	59	1	5
1868	NORFOLK(VA)	9	53	13	593	66	1	5
1869	SAVANNAH(GA)	10	56	3	312	59	1	3
1870	SAVANNAH(GA)	10	56	10	320	66	1	3
1871	SAVANNAH(GA)	10	56	2	591	58	1	5
1872	SAVANNAH(GA)	10	56	9	601	65	1	5
1873	SINGAPORE	13	96	0	426	96	1	4
1874	SINGAPORE	13	96	7	437	103	1	4
1875	SINGAPORE	14	12	0	416	12	1	4
1876	SINGAPORE	14	12	7	427	19	1	4
1877	HAIPHONG	16	20	3	1834	23	1	14
1878	HAIPHONG	16	20	10	1840	30	1	14
1879	YANTIAN	17	22	2	188	24	1	2
1880	YANTIAN	17	22	9	196	31	1	2
1881	YANTIAN	17	22	3	579	25	1	5
1882	YANTIAN	17	22	10	589	32	1	5
1883	YANTIAN	17	22	4	733	26	1	6
1884	YANTIAN	17	22	11	741	33	1	6
1885	YANTIAN	17	22	1	1050	23	1	8
1886	YANTIAN	17	22	8	1057	30	1	8
1887	YANTIAN	17	22	3	1411	25	1	11
1888	YANTIAN	17	22	10	1421	32	1	11
1889	YANTIAN	17	22	2	1576	24	1	12
1890	YANTIAN	17	22	9	1584	31	1	12
1891	YANTIAN	17	22	5	1718	27	1	13
1892	YANTIAN	17	22	12	1725	34	1	13
1893	NINGBO	18	26	1	194	27	1	2
1894	NINGBO	18	26	8	202	34	1	2
1895	NINGBO	18	26	2	315	28	1	3
1896	NINGBO	18	26	9	323	35	1	3
1897	NINGBO	18	26	3	431	29	1	4
1898	NINGBO	18	26	10	442	36	1	4
1899	NINGBO	18	26	3	734	29	1	6
1900	NINGBO	18	26	10	742	36	1	6
1901	NINGBO	18	26	4	1181	30	1	9
1902	NINGBO	18	26	11	1188	37	1	9
1903	NINGBO	18	26	0	1301	26	1	10
1904	NINGBO	18	26	7	1307	33	1	10
1905	NINGBO	18	26	1	1419	27	1	11
1906	NINGBO	18	26	8	1429	34	1	11
1907	NINGBO	18	26	4	1719	30	1	13
1908	NINGBO	18	26	11	1726	37	1	13
1909	NINGBO	18	26	3	1836	29	1	14
1910	NINGBO	18	26	10	1842	36	1	14
1911	SHANGHAI	19	28	5	201	33	1	2
1912	SHANGHAI	19	28	12	209	40	1	2
1913	SHANGHAI	19	28	2	316	30	1	3
1914	SHANGHAI	19	28	9	324	37	1	3
1915	SHANGHAI	19	28	2	432	30	1	4
1916	SHANGHAI	19	28	9	443	37	1	4
1917	SHANGHAI	19	28	3	735	31	1	6
1918	SHANGHAI	19	28	10	743	38	1	6
1919	SHANGHAI	19	28	0	1180	28	1	9
1920	SHANGHAI	19	28	7	1187	35	1	9
1921	SHANGHAI	19	28	6	1308	34	1	10
1922	SHANGHAI	19	28	13	1314	41	1	10
1923	SHANGHAI	19	28	5	1428	33	1	11
1924	SHANGHAI	19	28	12	1438	40	1	11
1925	SHANGHAI	19	28	4	1720	32	1	13
1926	SHANGHAI	19	28	11	1727	39	1	13
1927	BUSAN(KOREA)	20	32	1	317	33	1	3
1928	BUSAN(KOREA)	20	32	8	325	40	1	3
1929	BUSAN(KOREA)	20	32	2	433	34	1	4
1930	BUSAN(KOREA)	20	32	9	444	41	1	4
1931	BUSAN(KOREA)	20	32	13	1163	45	1	9
1932	BUSAN(KOREA)	20	32	11	1287	43	1	10
1933	BUSAN(KOREA)	20	32	5	1309	37	1	10
1934	BUSAN(KOREA)	20	32	12	1315	44	1	10
1935	NORFOLK(VA)	22	60	3	319	63	1	3
1936	NORFOLK(VA)	22	60	10	327	70	1	3
1937	NORFOLK(VA)	22	60	6	593	66	1	5
1938	NORFOLK(VA)	22	60	13	603	73	1	5
1939	SAVANNAH(GA)	23	63	3	320	66	1	3
1940	SAVANNAH(GA)	23	63	10	328	73	1	3
1941	SAVANNAH(GA)	23	63	2	601	65	1	5
1942	SAVANNAH(GA)	23	63	9	611	72	1	5
1943	SINGAPORE	26	103	0	437	103	1	4
1944	SINGAPORE	26	103	7	448	110	1	4
1945	SINGAPORE	27	19	0	427	19	1	4
1946	SINGAPORE	27	19	7	438	26	1	4
1947	HAIPHONG	29	27	3	1840	30	1	14
1948	HAIPHONG	29	27	10	1846	37	1	14
