VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	12	1,2,3,4,5,6,7,8,9,10,11,12	5	96
2	1	12	13,14,15,16,17,18,19,20,21,22,23,24	12	103
3	1	12	25,26,27,28,29,30,31,32,33,34,35,36	19	110
4	1	12	37,38,39,40,41,42,43,44,45,46,47,48	26	117
5	1	12	49,50,51,52,53,54,55,56,57,58,59,60	33	124
6	1	12	61,62,63,64,65,66,67,68,69,70,71,72	40	131
7	1	12	73,74,75,76,77,78,79,80,81,82,83,84	47	138
8	1	12	85,86,87,88,89,90,91,92,93,94,95,96	54	145
9	1	12	97,98,99,100,101,102,103,104,105,106,107,108	61	152
10	1	12	109,110,111,112,113,114,115,116,117,118,119,120	68	159
11	1	12	121,122,123,124,125,126,127,128,129,130,131,132	75	166
12	1	12	133,134,135,136,137,138,139,140,141,142,143,144	82	173
13	1	11	145,146,147,148,149,150,151,152,153,154,155	89	145
14	2	7	156,157,158,159,160,161,162	5	75
15	2	7	164,165,166,167,168,169,170	12	82
16	2	7	172,173,174,175,176,177,178	19	89
17	2	7	180,181,182,183,184,185,186	26	96
18	2	7	188,189,190,191,192,193,194	33	103
19	2	7	196,197,198,199,200,201,202	40	110
20	2	7	204,205,206,207,208,209,210	47	117
21	2	7	211,212,213,214,215,216,217	54	124
22	2	7	218,219,220,221,222,223,224	61	131
23	2	7	225,226,227,228,229,230,231	68	138
24	2	7	163,232,233,234,235,236,237	75	145
25	2	7	171,238,239,240,241,242,243	82	152
26	2	7	179,244,245,246,247,248,249	89	159
27	2	7	187,250,251,252,253,254,255	96	166
28	2	7	195,256,257,258,259,260,261	103	173
29	2	6	203,262,263,264,265,266	110	149
30	3	7	267,268,269,270,271,272,273	5	82
31	3	7	275,276,277,278,279,280,281	12	89
32	3	7	283,284,285,286,287,288,289	19	96
33	3	7	291,292,293,294,295,296,297	26	103
34	3	7	299,300,301,302,303,304,305	33	110
35	3	7	306,307,308,309,310,311,312	40	117
36	3	7	313,314,315,316,317,318,319	47	124
37	3	7	320,321,322,323,324,325,326	54	131
38	3	7	327,328,329,330,331,332,333	61	138
39	3	7	334,335,336,337,338,339,340	68	145
40	3	7	341,342,343,344,345,346,347	75	152
41	3	7	274,348,349,350,351,352,353	82	159
42	3	7	282,354,355,356,357,358,359	89	166
43	3	7	290,360,361,362,363,364,365	96	173
44	3	6	298,366,367,368,369,370	103	143
45	4	10	371,372,373,374,375,376,377,378,379,380	5	89
46	4	10	382,383,384,385,386,387,388,389,390,391	12	96
47	4	10	393,394,395,396,397,398,399,400,401,402	19	103
48	4	10	403,404,405,406,407,408,409,410,411,412	26	110
49	4	10	413,414,415,416,417,418,419,420,421,422	33	117
50	4	10	423,424,425,426,427,428,429,430,431,432	40	124
51	4	10	433,434,435,436,437,438,439,440,441,442	47	131
52	4	10	443,444,445,446,447,448,449,450,451,452	54	138
53	4	10	453,454,455,456,457,458,459,460,461,462	61	145
54	4	10	463,464,465,466,467,468,469,470,471,472	68	152
55	4	10	473,474,475,476,477,478,479,480,481,482	75	159
56	4	10	483,484,485,486,487,488,489,490,491,492	82	166
57	4	10	381,493,494,495,496,497,498,499,500,501	89	173
58	4	9	392,502,503,504,505,506,507,508,509	96	141
59	5	9	510,511,512,513,514,515,516,517,518	5	75
60	5	9	520,521,522,523,524,525,526,527,528	12	82
61	5	9	530,531,532,533,534,535,536,537,538	19	89
62	5	9	540,541,542,543,544,545,546,547,548	26	96
63	5	9	550,551,552,553,554,555,556,557,558	33	103
64	5	9	560,561,562,563,564,565,566,567,568	40	110
65	5	9	570,571,572,573,574,575,576,577,578	47	117
66	5	9	579,580,581,582,583,584,585,586,587	54	124
67	5	9	588,589,590,591,592,593,594,595,596	61	131
68	5	9	597,598,599,600,601,602,603,604,605	68	138
69	5	9	519,606,607,608,609,610,611,612,613	75	145
70	5	9	529,614,615,616,617,618,619,620,621	82	152
71	5	9	539,622,623,624,625,626,627,628,629	89	159
72	5	9	549,630,631,632,633,634,635,636,637	96	166
73	5	9	559,638,639,640,641,642,643,644,645	103	173
74	5	8	569,646,647,648,649,650,651,652	110	152
75	6	7	653,654,655,656,657,658,659	5	54
76	6	7	661,662,663,664,665,666,667	12	61
77	6	7	669,670,671,672,673,674,675	19	68
78	6	7	677,678,679,680,681,682,683	26	75
79	6	7	685,686,687,688,689,690,691	33	82
80	6	7	693,694,695,696,697,698,699	40	89
81	6	7	701,702,703,704,705,706,707	47	96
82	6	7	660,709,710,711,712,713,714	54	103
83	6	7	668,716,717,718,719,720,721	61	110
84	6	7	676,723,724,725,726,727,728	68	117
85	6	7	684,730,731,732,733,734,735	75	124
86	6	7	692,737,738,739,740,741,742	82	131
87	6	7	700,744,745,746,747,748,749	89	138
88	6	7	708,750,751,752,753,754,755	96	145
89	6	7	715,756,757,758,759,760,761	103	152
90	6	7	722,762,763,764,765,766,767	110	159
91	6	7	729,768,769,770,771,772,773	117	166
