ID	Route	Call	Port	Round_trip	Time
1	1	1	SINGAPORE	1	5
2	1	2	LAEM CHABANG	1	8
3	1	3	HAIPHONG	1	13
4	1	4	YANTIAN	1	15
5	1	5	NINGBO	1	19
6	1	6	SHANGHAI	1	21
7	1	7	BUSAN(KOREA)	1	25
8	1	8	YOKOHAMA	1	30
9	1	9	NORFOLK(VA)	1	53
10	1	10	SAVANNAH(GA)	1	56
11	1	11	CHARLESTON(SC)	1	58
12	1	12	MIAMI(FL)	1	61
13	1	13	SINGAPORE	1	96
14	1	1	SINGAPORE	2	12
15	1	2	LAEM CHABANG	2	15
16	1	3	HAIPHONG	2	20
17	1	4	YANTIAN	2	22
18	1	5	NINGBO	2	26
19	1	6	SHANGHAI	2	28
20	1	7	BUSAN(KOREA)	2	32
21	1	8	YOKOHAMA	2	37
22	1	9	NORFOLK(VA)	2	60
23	1	10	SAVANNAH(GA)	2	63
24	1	11	CHARLESTON(SC)	2	65
25	1	12	MIAMI(FL)	2	68
26	1	13	SINGAPORE	2	103
27	1	1	SINGAPORE	3	19
28	1	2	LAEM CHABANG	3	22
29	1	3	HAIPHONG	3	27
30	1	4	YANTIAN	3	29
31	1	5	NINGBO	3	33
32	1	6	SHANGHAI	3	35
33	1	7	BUSAN(KOREA)	3	39
34	1	8	YOKOHAMA	3	44
35	1	9	NORFOLK(VA)	3	67
36	1	10	SAVANNAH(GA)	3	70
37	1	11	CHARLESTON(SC)	3	72
38	1	12	MIAMI(FL)	3	75
39	1	13	SINGAPORE	3	110
40	1	1	SINGAPORE	4	26
41	1	2	LAEM CHABANG	4	29
42	1	3	HAIPHONG	4	34
43	1	4	YANTIAN	4	36
44	1	5	NINGBO	4	40
45	1	6	SHANGHAI	4	42
46	1	7	BUSAN(KOREA)	4	46
47	1	8	YOKOHAMA	4	51
48	1	9	NORFOLK(VA)	4	74
49	1	10	SAVANNAH(GA)	4	77
50	1	11	CHARLESTON(SC)	4	79
51	1	12	MIAMI(FL)	4	82
52	1	13	SINGAPORE	4	117
53	1	1	SINGAPORE	5	33
54	1	2	LAEM CHABANG	5	36
55	1	3	HAIPHONG	5	41
56	1	4	YANTIAN	5	43
57	1	5	NINGBO	5	47
58	1	6	SHANGHAI	5	49
59	1	7	BUSAN(KOREA)	5	53
60	1	8	YOKOHAMA	5	58
61	1	9	NORFOLK(VA)	5	81
62	1	10	SAVANNAH(GA)	5	84
63	1	11	CHARLESTON(SC)	5	86
64	1	12	MIAMI(FL)	5	89
65	1	13	SINGAPORE	5	124
66	1	1	SINGAPORE	6	40
67	1	2	LAEM CHABANG	6	43
68	1	3	HAIPHONG	6	48
69	1	4	YANTIAN	6	50
70	1	5	NINGBO	6	54
71	1	6	SHANGHAI	6	56
72	1	7	BUSAN(KOREA)	6	60
73	1	8	YOKOHAMA	6	65
74	1	9	NORFOLK(VA)	6	88
75	1	10	SAVANNAH(GA)	6	91
76	1	11	CHARLESTON(SC)	6	93
77	1	12	MIAMI(FL)	6	96
78	1	13	SINGAPORE	6	131
79	1	1	SINGAPORE	7	47
80	1	2	LAEM CHABANG	7	50
81	1	3	HAIPHONG	7	55
82	1	4	YANTIAN	7	57
83	1	5	NINGBO	7	61
84	1	6	SHANGHAI	7	63
85	1	7	BUSAN(KOREA)	7	67
86	1	8	YOKOHAMA	7	72
87	1	9	NORFOLK(VA)	7	95
88	1	10	SAVANNAH(GA)	7	98
89	1	11	CHARLESTON(SC)	7	100
90	1	12	MIAMI(FL)	7	103
91	1	13	SINGAPORE	7	138
92	1	1	SINGAPORE	8	54
93	1	2	LAEM CHABANG	8	57
94	1	3	HAIPHONG	8	62
95	1	4	YANTIAN	8	64
96	1	5	NINGBO	8	68
97	1	6	SHANGHAI	8	70
98	1	7	BUSAN(KOREA)	8	74
99	1	8	YOKOHAMA	8	79
100	1	9	NORFOLK(VA)	8	102
101	1	10	SAVANNAH(GA)	8	105
102	1	11	CHARLESTON(SC)	8	107
103	1	12	MIAMI(FL)	8	110
104	1	13	SINGAPORE	8	145
105	1	1	SINGAPORE	9	61
106	1	2	LAEM CHABANG	9	64
107	1	3	HAIPHONG	9	69
108	1	4	YANTIAN	9	71
109	1	5	NINGBO	9	75
110	1	6	SHANGHAI	9	77
111	1	7	BUSAN(KOREA)	9	81
112	1	8	YOKOHAMA	9	86
113	1	9	NORFOLK(VA)	9	109
114	1	10	SAVANNAH(GA)	9	112
115	1	11	CHARLESTON(SC)	9	114
116	1	12	MIAMI(FL)	9	117
117	1	13	SINGAPORE	9	152
118	1	1	SINGAPORE	10	68
119	1	2	LAEM CHABANG	10	71
120	1	3	HAIPHONG	10	76
121	1	4	YANTIAN	10	78
122	1	5	NINGBO	10	82
123	1	6	SHANGHAI	10	84
124	1	7	BUSAN(KOREA)	10	88
125	1	8	YOKOHAMA	10	93
126	1	9	NORFOLK(VA)	10	116
127	1	10	SAVANNAH(GA)	10	119
128	1	11	CHARLESTON(SC)	10	121
129	1	12	MIAMI(FL)	10	124
130	1	13	SINGAPORE	10	159
131	1	1	SINGAPORE	11	75
132	1	2	LAEM CHABANG	11	78
133	1	3	HAIPHONG	11	83
134	1	4	YANTIAN	11	85
135	1	5	NINGBO	11	89
136	1	6	SHANGHAI	11	91
137	1	7	BUSAN(KOREA)	11	95
138	1	8	YOKOHAMA	11	100
139	1	9	NORFOLK(VA)	11	123
140	1	10	SAVANNAH(GA)	11	126
141	1	11	CHARLESTON(SC)	11	128
142	1	12	MIAMI(FL)	11	131
143	1	13	SINGAPORE	11	166
144	1	1	SINGAPORE	12	82
145	1	2	LAEM CHABANG	12	85
146	1	3	HAIPHONG	12	90
147	1	4	YANTIAN	12	92
148	1	5	NINGBO	12	96
149	1	6	SHANGHAI	12	98
150	1	7	BUSAN(KOREA)	12	102
151	1	8	YOKOHAMA	12	107
152	1	9	NORFOLK(VA)	12	130
153	1	10	SAVANNAH(GA)	12	133
154	1	11	CHARLESTON(SC)	12	135
155	1	12	MIAMI(FL)	12	138
156	1	13	SINGAPORE	12	173
157	1	1	SINGAPORE	13	89
158	1	2	LAEM CHABANG	13	92
159	1	3	HAIPHONG	13	97
160	1	4	YANTIAN	13	99
161	1	5	NINGBO	13	103
162	1	6	SHANGHAI	13	105
163	1	7	BUSAN(KOREA)	13	109
164	1	8	YOKOHAMA	13	114
165	1	9	NORFOLK(VA)	13	137
166	1	10	SAVANNAH(GA)	13	140
167	1	11	CHARLESTON(SC)	13	142
168	1	12	MIAMI(FL)	13	145
169	2	1	SHANGHAI	1	5
170	2	2	NINGBO	1	6
171	2	3	XIAMEN	1	9
172	2	4	YANTIAN	1	10
173	2	5	HOUSTON(TX)	1	38
174	2	6	MOBILE(AL)	1	42
175	2	7	TAMPA(FL)	1	44
176	2	8	SHANGHAI	1	75
177	2	1	SHANGHAI	2	12
178	2	2	NINGBO	2	13
179	2	3	XIAMEN	2	16
180	2	4	YANTIAN	2	17
181	2	5	HOUSTON(TX)	2	45
182	2	6	MOBILE(AL)	2	49
183	2	7	TAMPA(FL)	2	51
184	2	8	SHANGHAI	2	82
185	2	1	SHANGHAI	3	19
186	2	2	NINGBO	3	20
187	2	3	XIAMEN	3	23
188	2	4	YANTIAN	3	24
189	2	5	HOUSTON(TX)	3	52
190	2	6	MOBILE(AL)	3	56
191	2	7	TAMPA(FL)	3	58
192	2	8	SHANGHAI	3	89
193	2	1	SHANGHAI	4	26
194	2	2	NINGBO	4	27
195	2	3	XIAMEN	4	30
196	2	4	YANTIAN	4	31
197	2	5	HOUSTON(TX)	4	59
198	2	6	MOBILE(AL)	4	63
199	2	7	TAMPA(FL)	4	65
200	2	8	SHANGHAI	4	96
201	2	1	SHANGHAI	5	33
202	2	2	NINGBO	5	34
203	2	3	XIAMEN	5	37
204	2	4	YANTIAN	5	38
205	2	5	HOUSTON(TX)	5	66
206	2	6	MOBILE(AL)	5	70
207	2	7	TAMPA(FL)	5	72
208	2	8	SHANGHAI	5	103
209	2	1	SHANGHAI	6	40
210	2	2	NINGBO	6	41
211	2	3	XIAMEN	6	44
212	2	4	YANTIAN	6	45
213	2	5	HOUSTON(TX)	6	73
214	2	6	MOBILE(AL)	6	77
215	2	7	TAMPA(FL)	6	79
216	2	8	SHANGHAI	6	110
217	2	1	SHANGHAI	7	47
218	2	2	NINGBO	7	48
219	2	3	XIAMEN	7	51
220	2	4	YANTIAN	7	52
221	2	5	HOUSTON(TX)	7	80
222	2	6	MOBILE(AL)	7	84
223	2	7	TAMPA(FL)	7	86
224	2	8	SHANGHAI	7	117
225	2	1	SHANGHAI	8	54
226	2	2	NINGBO	8	55
227	2	3	XIAMEN	8	58
228	2	4	YANTIAN	8	59
229	2	5	HOUSTON(TX)	8	87
230	2	6	MOBILE(AL)	8	91
231	2	7	TAMPA(FL)	8	93
