PortID	Port	WhetherTrans	Region	Group
1	KAOHSIUNG	1	ASIA	1
2	XIAMEN	1	ASIA	1
3	SHANGHAI	1	ASIA	1
4	NINGBO	1	ASIA	1
5	SYDNEY	1	OCEANIA	6
6	MELBOURNE	1	OCEANIA	6
7	BRISBANE	1	OCEANIA	6
8	YOKOHAMA	0	ASIA	1
9	OSAKA	0	ASIA	1
10	BUSAN(KOREA)	0	ASIA	1
11	QINGDAO	0	ASIA	1
12	SHEKOU	1	ASIA	1
13	HONG KONG	1	ASIA	1
14	TANJUNG PELEPAS	0	ASIA	1
15	PORT KLANG	1	ASIA	1
16	SINGAPORE	1	ASIA	1
17	ADELAIDE	0	OCEANIA	6
18	FREMANTLE	0	OCEANIA	6
19	KEELUNG	0	ASIA	1
20	AUCKLAND	1	OCEANIA	6
21	LYTTELTON	1	OCEANIA	6
22	WELLINGTON	1	OCEANIA	6
23	NAPIER	1	OCEANIA	6
24	TAURANGA	1	OCEANIA	6
