Route	Call	Port	Time
1	1	KAOHSIUNG	5
1	2	XIAMEN	6
1	3	SHANGHAI	10
1	4	NINGBO	13
1	5	SYDNEY	25
1	6	MELBOURNE	29
1	7	BRISBANE	35
1	8	KAOHSIUNG	47
2	1	YOKOHAMA	5
2	2	OSAKA	7
2	3	BUSAN(KOREA)	9
2	4	QINGDAO	11
2	5	SHANGHAI	13
2	6	KAOHSIUNG	17
2	7	MELBOURNE	29
2	8	SYDNEY	32
2	9	BRISBANE	35
2	10	YOKOHAMA	47
3	1	XIAMEN	5
3	2	SHEKOU	7
3	3	HONG KONG	8
3	4	SYDNEY	20
3	5	MELBOURNE	24
3	6	BRISBANE	29
3	7	XIAMEN	40
4	1	TANJUNG PELEPAS	5
4	2	PORT KLANG	7
4	3	SINGAPORE	8
4	4	BRISBANE	21
4	5	SYDNEY	23
4	6	MELBOURNE	27
4	7	ADELAIDE	29
4	8	FREMANTLE	35
4	9	TANJUNG PELEPAS	47
5	1	HONG KONG	5
5	2	KEELUNG	8
5	3	SHANGHAI	9
5	4	NINGBO	11
5	5	SHEKOU	14
5	6	KAOHSIUNG	16
5	7	AUCKLAND	32
5	8	LYTTELTON	35
5	9	WELLINGTON	36
5	10	NAPIER	38
5	11	TAURANGA	40
5	12	HONG KONG	54
6	1	PORT KLANG	5
6	2	SINGAPORE	7
6	3	AUCKLAND	22
6	4	LYTTELTON	25
6	5	WELLINGTON	27
6	6	NAPIER	28
6	7	TAURANGA	29
6	8	BRISBANE	34
6	9	PORT KLANG	47
7	1	SYDNEY	5
7	2	MELBOURNE	7
7	3	AUCKLAND	13
7	4	TAURANGA	15
7	5	LYTTELTON	18
7	6	SYDNEY	26
