VesselID	Capacity	OperationCost	RouteID	MaxNum
1	8102	8.106	1	1
2	8825	8.287	1	1
3	8888	8.303	1	1
4	8888	8.303	1	1
5	8458	8.195	1	1
6	8476	8.2	1	1
7	5780	7.526	2	1
8	5782	7.526	2	1
9	5782	7.526	2	1
10	5782	7.526	2	1
11	5770	7.523	2	1
12	5816	7.535	2	1
13	5446	6.442	3	1
14	5446	6.442	3	1
15	4957	6.32	3	1
16	5888	6.553	3	1
17	4253	6.144	3	1
18	6039	7.59	4	1
19	5782	7.526	4	1
20	6740	7.766	4	1
21	6574	7.724	4	1
22	6077	7.6	4	1
23	5962	7.571	4	1
24	4253	8.144	5	1
25	3674	7.999	5	1
26	4293	8.154	5	1
27	4253	8.144	5	1
28	4253	8.144	5	1
29	4578	8.225	5	1
30	4250	8.143	5	1
31	5043	7.341	6	1
32	5090	7.353	6	1
33	5043	7.341	6	1
34	4335	7.164	6	1
35	5117	7.36	6	1
36	5668	7.498	6	1
37	2702	3.756	7	1
38	2207	3.632	7	1
39	2345	3.667	7	1
