TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1084	KAOHSIUNG	1	5	12	151	17	1	2
1085	KAOHSIUNG	1	5	11	631	16	1	5
1086	XIAMEN	2	6	6	338	12	1	3
1087	XIAMEN	2	6	13	345	19	1	3
1088	SHANGHAI	3	10	3	150	13	1	2
1089	SHANGHAI	3	10	10	160	20	1	2
1090	SHANGHAI	3	10	6	640	16	1	5
1091	SHANGHAI	3	10	13	652	23	1	5
1092	NINGBO	4	13	5	641	18	1	5
1093	NINGBO	4	13	12	653	25	1	5
1094	SYDNEY	5	25	7	153	32	1	2
1095	SYDNEY	5	25	2	341	27	1	3
1096	SYDNEY	5	25	9	348	34	1	3
1097	SYDNEY	5	25	5	474	30	1	4
1098	SYDNEY	5	25	12	483	37	1	4
1099	SYDNEY	5	25	1	1011	26	1	7
1100	SYDNEY	5	25	8	1017	33	1	7
1101	MELBOURNE	6	29	0	152	29	1	2
1102	MELBOURNE	6	29	7	162	36	1	2
1103	MELBOURNE	6	29	2	342	31	1	3
1104	MELBOURNE	6	29	9	349	38	1	3
1105	MELBOURNE	6	29	5	475	34	1	4
1106	MELBOURNE	6	29	12	484	41	1	4
1107	MELBOURNE	6	29	6	1029	35	1	7
1108	MELBOURNE	6	29	13	1034	42	1	7
1109	BRISBANE	7	35	0	154	35	1	2
1110	BRISBANE	7	35	7	164	42	1	2
1111	BRISBANE	7	35	1	343	36	1	3
1112	BRISBANE	7	35	8	350	43	1	3
1113	BRISBANE	7	35	0	482	35	1	4
1114	BRISBANE	7	35	7	491	42	1	4
1115	BRISBANE	7	35	6	857	41	1	6
1116	BRISBANE	7	35	13	866	48	1	6
1117	KAOHSIUNG	8	47	5	201	52	1	2
1118	KAOHSIUNG	8	47	12	210	59	1	2
1119	KAOHSIUNG	8	47	4	691	51	1	5
1120	KAOHSIUNG	8	47	11	703	58	1	5
1121	KAOHSIUNG	9	12	5	151	17	1	2
1122	KAOHSIUNG	9	12	12	161	24	1	2
1123	KAOHSIUNG	9	12	4	631	16	1	5
1124	KAOHSIUNG	9	12	11	643	23	1	5
1125	XIAMEN	10	13	6	345	19	1	3
1126	XIAMEN	10	13	13	352	26	1	3
1127	SHANGHAI	11	17	3	160	20	1	2
1128	SHANGHAI	11	17	10	170	27	1	2
1129	SHANGHAI	11	17	6	652	23	1	5
1130	SHANGHAI	11	17	13	664	30	1	5
1131	NINGBO	12	20	5	653	25	1	5
1132	NINGBO	12	20	12	665	32	1	5
1133	SYDNEY	13	32	0	153	32	1	2
1134	SYDNEY	13	32	7	163	39	1	2
1135	SYDNEY	13	32	2	348	34	1	3
1136	SYDNEY	13	32	9	355	41	1	3
1137	SYDNEY	13	32	5	483	37	1	4
1138	SYDNEY	13	32	12	492	44	1	4
1139	SYDNEY	13	32	1	1017	33	1	7
1140	SYDNEY	13	32	8	1023	40	1	7
1141	MELBOURNE	14	36	0	162	36	1	2
1142	MELBOURNE	14	36	7	172	43	1	2
1143	MELBOURNE	14	36	2	349	38	1	3
1144	MELBOURNE	14	36	9	356	45	1	3
1145	MELBOURNE	14	36	5	484	41	1	4
1146	MELBOURNE	14	36	12	493	48	1	4
1147	MELBOURNE	14	36	6	1034	42	1	7
1148	MELBOURNE	14	36	13	1039	49	1	7
1149	BRISBANE	15	42	0	164	42	1	2
1150	BRISBANE	15	42	7	174	49	1	2
1151	BRISBANE	15	42	1	350	43	1	3
1152	BRISBANE	15	42	8	357	50	1	3
1153	BRISBANE	15	42	0	491	42	1	4
1154	BRISBANE	15	42	7	500	49	1	4
1155	BRISBANE	15	42	6	866	48	1	6
1156	BRISBANE	15	42	13	875	55	1	6
1157	KAOHSIUNG	16	54	5	210	59	1	2
1158	KAOHSIUNG	16	54	12	219	66	1	2
1159	KAOHSIUNG	16	54	4	703	58	1	5
1160	KAOHSIUNG	16	54	11	714	65	1	5
1161	KAOHSIUNG	17	19	5	161	24	1	2
1162	KAOHSIUNG	17	19	12	171	31	1	2
1163	KAOHSIUNG	17	19	4	643	23	1	5
1164	KAOHSIUNG	17	19	11	655	30	1	5
1165	XIAMEN	18	20	6	352	26	1	3
1166	XIAMEN	18	20	13	359	33	1	3
1167	SHANGHAI	19	24	3	170	27	1	2
1168	SHANGHAI	19	24	10	180	34	1	2
1169	SHANGHAI	19	24	6	664	30	1	5
1170	SHANGHAI	19	24	13	676	37	1	5
1171	NINGBO	20	27	5	665	32	1	5
1172	NINGBO	20	27	12	677	39	1	5
1173	SYDNEY	21	39	0	163	39	1	2
1174	SYDNEY	21	39	7	173	46	1	2
1175	SYDNEY	21	39	2	355	41	1	3
1176	SYDNEY	21	39	9	362	48	1	3
1177	SYDNEY	21	39	5	492	44	1	4
1178	SYDNEY	21	39	12	501	51	1	4
1179	SYDNEY	21	39	1	1023	40	1	7
1180	SYDNEY	21	39	8	1028	47	1	7
1181	MELBOURNE	22	43	0	172	43	1	2
1182	MELBOURNE	22	43	7	182	50	1	2
1183	MELBOURNE	22	43	2	356	45	1	3
1184	MELBOURNE	22	43	9	363	52	1	3
1185	MELBOURNE	22	43	5	493	48	1	4
1186	MELBOURNE	22	43	12	502	55	1	4
1187	MELBOURNE	22	43	6	1039	49	1	7
1188	MELBOURNE	22	43	13	1044	56	1	7
1189	BRISBANE	23	49	0	174	49	1	2
1190	BRISBANE	23	49	7	184	56	1	2
1191	BRISBANE	23	49	1	357	50	1	3
1192	BRISBANE	23	49	8	364	57	1	3
1193	BRISBANE	23	49	0	500	49	1	4
1194	BRISBANE	23	49	7	509	56	1	4
1195	BRISBANE	23	49	6	875	55	1	6
1196	BRISBANE	23	49	13	884	62	1	6
1197	KAOHSIUNG	24	61	5	219	66	1	2
1198	KAOHSIUNG	24	61	12	228	73	1	2
1199	KAOHSIUNG	24	61	4	714	65	1	5
1200	KAOHSIUNG	24	61	11	725	72	1	5
1201	KAOHSIUNG	25	26	5	171	31	1	2
1202	KAOHSIUNG	25	26	12	181	38	1	2
1203	KAOHSIUNG	25	26	4	655	30	1	5
1204	KAOHSIUNG	25	26	11	667	37	1	5
1205	XIAMEN	26	27	13	337	40	1	3
1206	XIAMEN	26	27	6	359	33	1	3
1207	SHANGHAI	27	31	3	180	34	1	2
1208	SHANGHAI	27	31	10	190	41	1	2
1209	SHANGHAI	27	31	6	676	37	1	5
1210	SHANGHAI	27	31	13	688	44	1	5
1211	NINGBO	28	34	5	677	39	1	5
1212	NINGBO	28	34	12	689	46	1	5
1213	SYDNEY	29	46	0	173	46	1	2
1214	SYDNEY	29	46	7	183	53	1	2
1215	SYDNEY	29	46	2	362	48	1	3
1216	SYDNEY	29	46	9	368	55	1	3
1217	SYDNEY	29	46	5	501	51	1	4
1218	SYDNEY	29	46	12	510	58	1	4
1219	SYDNEY	29	46	1	1028	47	1	7
1220	SYDNEY	29	46	8	1033	54	1	7
1221	MELBOURNE	30	50	0	182	50	1	2
1222	MELBOURNE	30	50	7	192	57	1	2
1223	MELBOURNE	30	50	2	363	52	1	3
1224	MELBOURNE	30	50	9	369	59	1	3
1225	MELBOURNE	30	50	5	502	55	1	4
1226	MELBOURNE	30	50	12	511	62	1	4
1227	MELBOURNE	30	50	6	1044	56	1	7
1228	MELBOURNE	30	50	13	1049	63	1	7
1229	BRISBANE	31	56	0	184	56	1	2
1230	BRISBANE	31	56	7	194	63	1	2
1231	BRISBANE	31	56	1	364	57	1	3
1232	BRISBANE	31	56	8	370	64	1	3
1233	BRISBANE	31	56	0	509	56	1	4
1234	BRISBANE	31	56	7	517	63	1	4
1235	BRISBANE	31	56	6	884	62	1	6
1236	BRISBANE	31	56	13	893	69	1	6
1237	KAOHSIUNG	32	68	5	228	73	1	2
1238	KAOHSIUNG	32	68	12	237	80	1	2
1239	KAOHSIUNG	32	68	4	725	72	1	5
1240	KAOHSIUNG	32	68	11	736	79	1	5
1241	KAOHSIUNG	33	33	5	181	38	1	2
1242	KAOHSIUNG	33	33	12	191	45	1	2
1243	KAOHSIUNG	33	33	4	667	37	1	5
1244	KAOHSIUNG	33	33	11	679	44	1	5
1245	XIAMEN	34	34	6	337	40	1	3
1246	XIAMEN	34	34	13	344	47	1	3
1247	SHANGHAI	35	38	3	190	41	1	2
1248	SHANGHAI	35	38	10	200	48	1	2
1249	SHANGHAI	35	38	6	688	44	1	5
1250	SHANGHAI	35	38	13	700	51	1	5
1251	NINGBO	36	41	5	689	46	1	5
1252	NINGBO	36	41	12	701	53	1	5
1253	SYDNEY	37	53	0	183	53	1	2
1254	SYDNEY	37	53	7	193	60	1	2
1255	SYDNEY	37	53	2	368	55	1	3
1256	SYDNEY	37	53	9	374	62	1	3
1257	SYDNEY	37	53	5	510	58	1	4
1258	SYDNEY	37	53	12	518	65	1	4
1259	SYDNEY	37	53	1	1033	54	1	7
1260	SYDNEY	37	53	8	1038	61	1	7
1261	MELBOURNE	38	57	0	192	57	1	2
1262	MELBOURNE	38	57	7	202	64	1	2
1263	MELBOURNE	38	57	2	369	59	1	3
1264	MELBOURNE	38	57	9	375	66	1	3
1265	MELBOURNE	38	57	5	511	62	1	4
1266	MELBOURNE	38	57	12	519	69	1	4
1267	MELBOURNE	38	57	6	1049	63	1	7
1268	MELBOURNE	38	57	13	1054	70	1	7
1269	BRISBANE	39	63	0	194	63	1	2
1270	BRISBANE	39	63	7	204	70	1	2
1271	BRISBANE	39	63	1	370	64	1	3
1272	BRISBANE	39	63	8	376	71	1	3
1273	BRISBANE	39	63	0	517	63	1	4
1274	BRISBANE	39	63	7	525	70	1	4
1275	BRISBANE	39	63	6	893	69	1	6
1276	BRISBANE	39	63	13	901	76	1	6
