TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	KAOHSIUNG	1	5	1	2	2	XIAMEN	6
2	1	2	2	XIAMEN	1	6	4	3	3	SHANGHAI	10
3	1	3	3	SHANGHAI	1	10	3	4	4	NINGBO	13
4	1	4	4	NINGBO	1	13	12	5	5	SYDNEY	25
5	1	5	5	SYDNEY	1	25	4	6	6	MELBOURNE	29
6	1	6	6	MELBOURNE	1	29	6	7	7	BRISBANE	35
7	1	7	7	BRISBANE	1	35	12	8	8	KAOHSIUNG	47
8	1	8	8	KAOHSIUNG	1	47	1	49	2	XIAMEN	48
9	1	9	1	KAOHSIUNG	2	12	1	10	2	XIAMEN	13
10	1	10	2	XIAMEN	2	13	4	11	3	SHANGHAI	17
11	1	11	3	SHANGHAI	2	17	3	12	4	NINGBO	20
12	1	12	4	NINGBO	2	20	12	13	5	SYDNEY	32
13	1	13	5	SYDNEY	2	32	4	14	6	MELBOURNE	36
14	1	14	6	MELBOURNE	2	36	6	15	7	BRISBANE	42
15	1	15	7	BRISBANE	2	42	12	16	8	KAOHSIUNG	54
16	1	16	8	KAOHSIUNG	2	54	1	56	2	XIAMEN	55
17	1	17	1	KAOHSIUNG	3	19	1	18	2	XIAMEN	20
18	1	18	2	XIAMEN	3	20	4	19	3	SHANGHAI	24
19	1	19	3	SHANGHAI	3	24	3	20	4	NINGBO	27
20	1	20	4	NINGBO	3	27	12	21	5	SYDNEY	39
21	1	21	5	SYDNEY	3	39	4	22	6	MELBOURNE	43
22	1	22	6	MELBOURNE	3	43	6	23	7	BRISBANE	49
23	1	23	7	BRISBANE	3	49	12	24	8	KAOHSIUNG	61
24	1	24	8	KAOHSIUNG	3	61	1	63	2	XIAMEN	62
25	1	25	1	KAOHSIUNG	4	26	1	26	2	XIAMEN	27
26	1	26	2	XIAMEN	4	27	4	27	3	SHANGHAI	31
27	1	27	3	SHANGHAI	4	31	3	28	4	NINGBO	34
28	1	28	4	NINGBO	4	34	12	29	5	SYDNEY	46
29	1	29	5	SYDNEY	4	46	4	30	6	MELBOURNE	50
30	1	30	6	MELBOURNE	4	50	6	31	7	BRISBANE	56
