VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	7	1,2,3,4,5,6,7	5	47
2	1	7	9,10,11,12,13,14,15	12	54
3	1	7	17,18,19,20,21,22,23	19	61
4	1	7	25,26,27,28,29,30,31	26	68
5	1	7	33,34,35,36,37,38,39	33	75
6	1	7	41,42,43,44,45,46,47	40	82
7	1	7	8,49,50,51,52,53,54	47	89
8	1	7	16,56,57,58,59,60,61	54	96
9	1	7	24,63,64,65,66,67,68	61	103
10	1	7	32,70,71,72,73,74,75	68	110
11	1	7	40,77,78,79,80,81,82	75	117
12	1	7	48,84,85,86,87,88,89	82	124
13	1	7	55,91,92,93,94,95,96	89	131
14	1	7	62,98,99,100,101,102,103	96	138
15	1	7	69,105,106,107,108,109,110	103	145
16	1	7	76,111,112,113,114,115,116	110	152
17	1	7	83,117,118,119,120,121,122	117	159
18	1	7	90,123,124,125,126,127,128	124	166
19	1	7	97,129,130,131,132,133,134	131	173
20	1	6	104,135,136,137,138,139	138	168
21	2	9	140,141,142,143,144,145,146,147,148	5	47
22	2	9	150,151,152,153,154,155,156,157,158	12	54
23	2	9	160,161,162,163,164,165,166,167,168	19	61
24	2	9	170,171,172,173,174,175,176,177,178	26	68
25	2	9	180,181,182,183,184,185,186,187,188	33	75
26	2	9	190,191,192,193,194,195,196,197,198	40	82
27	2	9	149,200,201,202,203,204,205,206,207	47	89
28	2	9	159,209,210,211,212,213,214,215,216	54	96
29	2	9	169,218,219,220,221,222,223,224,225	61	103
30	2	9	179,227,228,229,230,231,232,233,234	68	110
31	2	9	189,236,237,238,239,240,241,242,243	75	117
32	2	9	199,245,246,247,248,249,250,251,252	82	124
33	2	9	208,254,255,256,257,258,259,260,261	89	131
34	2	9	217,263,264,265,266,267,268,269,270	96	138
35	2	9	226,272,273,274,275,276,277,278,279	103	145
36	2	9	235,280,281,282,283,284,285,286,287	110	152
37	2	9	244,288,289,290,291,292,293,294,295	117	159
38	2	9	253,296,297,298,299,300,301,302,303	124	166
39	2	9	262,304,305,306,307,308,309,310,311	131	173
40	2	8	271,312,313,314,315,316,317,318	138	168
41	3	6	319,320,321,322,323,324	5	40
42	3	6	326,327,328,329,330,331	12	47
43	3	6	333,334,335,336,337,338	19	54
44	3	6	340,341,342,343,344,345	26	61
45	3	6	347,348,349,350,351,352	33	68
46	3	6	325,354,355,356,357,358	40	75
47	3	6	332,360,361,362,363,364	47	82
48	3	6	339,366,367,368,369,370	54	89
49	3	6	346,372,373,374,375,376	61	96
50	3	6	353,378,379,380,381,382	68	103
51	3	6	359,384,385,386,387,388	75	110
52	3	6	365,390,391,392,393,394	82	117
53	3	6	371,396,397,398,399,400	89	124
54	3	6	377,402,403,404,405,406	96	131
55	3	6	383,408,409,410,411,412	103	138
56	3	6	389,414,415,416,417,418	110	145
57	3	6	395,420,421,422,423,424	117	152
58	3	6	401,425,426,427,428,429	124	159
59	3	6	407,430,431,432,433,434	131	166
60	3	6	413,435,436,437,438,439	138	173
61	3	5	419,440,441,442,443	145	169
62	4	8	444,445,446,447,448,449,450,451	5	47
63	4	8	453,454,455,456,457,458,459,460	12	54
64	4	8	462,463,464,465,466,467,468,469	19	61
65	4	8	471,472,473,474,475,476,477,478	26	68
66	4	8	480,481,482,483,484,485,486,487	33	75
67	4	8	489,490,491,492,493,494,495,496	40	82
68	4	8	452,498,499,500,501,502,503,504	47	89
69	4	8	461,506,507,508,509,510,511,512	54	96
70	4	8	470,514,515,516,517,518,519,520	61	103
71	4	8	479,522,523,524,525,526,527,528	68	110
72	4	8	488,530,531,532,533,534,535,536	75	117
73	4	8	497,538,539,540,541,542,543,544	82	124
74	4	8	505,546,547,548,549,550,551,552	89	131
75	4	8	513,554,555,556,557,558,559,560	96	138
76	4	8	521,562,563,564,565,566,567,568	103	145
77	4	8	529,569,570,571,572,573,574,575	110	152
78	4	8	537,576,577,578,579,580,581,582	117	159
79	4	8	545,583,584,585,586,587,588,589	124	166
80	4	8	553,590,591,592,593,594,595,596	131	173
81	4	7	561,597,598,599,600,601,602	138	168
82	5	11	603,604,605,606,607,608,609,610,611,612,613	5	54
83	5	11	615,616,617,618,619,620,621,622,623,624,625	12	61
84	5	11	627,628,629,630,631,632,633,634,635,636,637	19	68
85	5	11	639,640,641,642,643,644,645,646,647,648,649	26	75
86	5	11	651,652,653,654,655,656,657,658,659,660,661	33	82
87	5	11	663,664,665,666,667,668,669,670,671,672,673	40	89
88	5	11	675,676,677,678,679,680,681,682,683,684,685	47	96
89	5	11	614,687,688,689,690,691,692,693,694,695,696	54	103
90	5	11	626,698,699,700,701,702,703,704,705,706,707	61	110
91	5	11	638,709,710,711,712,713,714,715,716,717,718	68	117
92	5	11	650,720,721,722,723,724,725,726,727,728,729	75	124
93	5	11	662,731,732,733,734,735,736,737,738,739,740	82	131
94	5	11	674,742,743,744,745,746,747,748,749,750,751	89	138
95	5	11	686,752,753,754,755,756,757,758,759,760,761	96	145
96	5	11	697,762,763,764,765,766,767,768,769,770,771	103	152
97	5	11	708,772,773,774,775,776,777,778,779,780,781	110	159
98	5	11	719,782,783,784,785,786,787,788,789,790,791	117	166
99	5	11	730,792,793,794,795,796,797,798,799,800,801	124	173
100	5	10	741,802,803,804,805,806,807,808,809,810	131	166
101	6	8	811,812,813,814,815,816,817,818	5	47
102	6	8	820,821,822,823,824,825,826,827	12	54
103	6	8	829,830,831,832,833,834,835,836	19	61
104	6	8	838,839,840,841,842,843,844,845	26	68
105	6	8	847,848,849,850,851,852,853,854	33	75
106	6	8	856,857,858,859,860,861,862,863	40	82
107	6	8	819,865,866,867,868,869,870,871	47	89
108	6	8	828,873,874,875,876,877,878,879	54	96
109	6	8	837,881,882,883,884,885,886,887	61	103
110	6	8	846,889,890,891,892,893,894,895	68	110
111	6	8	855,897,898,899,900,901,902,903	75	117
112	6	8	864,905,906,907,908,909,910,911	82	124
113	6	8	872,913,914,915,916,917,918,919	89	131
114	6	8	880,921,922,923,924,925,926,927	96	138
115	6	8	888,929,930,931,932,933,934,935	103	145
116	6	8	896,936,937,938,939,940,941,942	110	152
117	6	8	904,943,944,945,946,947,948,949	117	159
118	6	8	912,950,951,952,953,954,955,956	124	166
119	6	8	920,957,958,959,960,961,962,963	131	173
120	6	7	928,964,965,966,967,968,969	138	167
121	7	5	970,971,972,973,974	5	26
122	7	5	976,977,978,979,980	12	33
123	7	5	982,983,984,985,986	19	40
124	7	5	975,988,989,990,991	26	47
125	7	5	981,993,994,995,996	33	54
126	7	5	987,998,999,1000,1001	40	61
127	7	5	992,1003,1004,1005,1006	47	68
128	7	5	997,1008,1009,1010,1011	54	75
129	7	5	1002,1013,1014,1015,1016	61	82
130	7	5	1007,1018,1019,1020,1021	68	89
131	7	5	1012,1023,1024,1025,1026	75	96
132	7	5	1017,1028,1029,1030,1031	82	103
133	7	5	1022,1033,1034,1035,1036	89	110
134	7	5	1027,1038,1039,1040,1041	96	117
135	7	5	1032,1043,1044,1045,1046	103	124
136	7	5	1037,1048,1049,1050,1051	110	131
137	7	5	1042,1053,1054,1055,1056	117	138
138	7	5	1047,1058,1059,1060,1061	124	145
139	7	5	1052,1063,1064,1065,1066	131	152
140	7	5	1057,1068,1069,1070,1071	138	159
141	7	5	1062,1073,1074,1075,1076	145	166
142	7	5	1067,1077,1078,1079,1080	152	173
143	7	4	1072,1081,1082,1083	159	172
