ID	Route	Call	Port	Round_trip	Time
1	1	1	KAOHSIUNG	1	5
2	1	2	XIAMEN	1	6
3	1	3	SHANGHAI	1	10
4	1	4	NINGBO	1	13
5	1	5	SYDNEY	1	25
6	1	6	MELBOURNE	1	29
7	1	7	BRISBANE	1	35
8	1	8	KAOHSIUNG	1	47
9	1	1	KAOHSIUNG	2	12
10	1	2	XIAMEN	2	13
11	1	3	SHANGHAI	2	17
12	1	4	NINGBO	2	20
13	1	5	SYDNEY	2	32
14	1	6	MELBOURNE	2	36
15	1	7	BRISBANE	2	42
16	1	8	KAOHSIUNG	2	54
17	1	1	KAOHSIUNG	3	19
18	1	2	XIAMEN	3	20
19	1	3	SHANGHAI	3	24
20	1	4	NINGBO	3	27
21	1	5	SYDNEY	3	39
22	1	6	MELBOURNE	3	43
23	1	7	BRISBANE	3	49
24	1	8	KAOHSIUNG	3	61
25	1	1	KAOHSIUNG	4	26
26	1	2	XIAMEN	4	27
27	1	3	SHANGHAI	4	31
28	1	4	NINGBO	4	34
29	1	5	SYDNEY	4	46
30	1	6	MELBOURNE	4	50
31	1	7	BRISBANE	4	56
32	1	8	KAOHSIUNG	4	68
33	1	1	KAOHSIUNG	5	33
34	1	2	XIAMEN	5	34
35	1	3	SHANGHAI	5	38
36	1	4	NINGBO	5	41
37	1	5	SYDNEY	5	53
38	1	6	MELBOURNE	5	57
39	1	7	BRISBANE	5	63
40	1	8	KAOHSIUNG	5	75
41	1	1	KAOHSIUNG	6	40
42	1	2	XIAMEN	6	41
43	1	3	SHANGHAI	6	45
44	1	4	NINGBO	6	48
45	1	5	SYDNEY	6	60
46	1	6	MELBOURNE	6	64
47	1	7	BRISBANE	6	70
48	1	8	KAOHSIUNG	6	82
49	1	2	XIAMEN	7	48
50	1	3	SHANGHAI	7	52
51	1	4	NINGBO	7	55
52	1	5	SYDNEY	7	67
53	1	6	MELBOURNE	7	71
54	1	7	BRISBANE	7	77
55	1	8	KAOHSIUNG	7	89
56	1	2	XIAMEN	8	55
57	1	3	SHANGHAI	8	59
58	1	4	NINGBO	8	62
59	1	5	SYDNEY	8	74
60	1	6	MELBOURNE	8	78
61	1	7	BRISBANE	8	84
62	1	8	KAOHSIUNG	8	96
63	1	2	XIAMEN	9	62
64	1	3	SHANGHAI	9	66
65	1	4	NINGBO	9	69
66	1	5	SYDNEY	9	81
67	1	6	MELBOURNE	9	85
68	1	7	BRISBANE	9	91
69	1	8	KAOHSIUNG	9	103
70	1	2	XIAMEN	10	69
71	1	3	SHANGHAI	10	73
72	1	4	NINGBO	10	76
73	1	5	SYDNEY	10	88
74	1	6	MELBOURNE	10	92
75	1	7	BRISBANE	10	98
76	1	8	KAOHSIUNG	10	110
77	1	2	XIAMEN	11	76
78	1	3	SHANGHAI	11	80
79	1	4	NINGBO	11	83
80	1	5	SYDNEY	11	95
81	1	6	MELBOURNE	11	99
82	1	7	BRISBANE	11	105
83	1	8	KAOHSIUNG	11	117
84	1	2	XIAMEN	12	83
85	1	3	SHANGHAI	12	87
86	1	4	NINGBO	12	90
87	1	5	SYDNEY	12	102
88	1	6	MELBOURNE	12	106
89	1	7	BRISBANE	12	112
90	1	8	KAOHSIUNG	12	124
91	1	2	XIAMEN	13	90
92	1	3	SHANGHAI	13	94
93	1	4	NINGBO	13	97
94	1	5	SYDNEY	13	109
95	1	6	MELBOURNE	13	113
96	1	7	BRISBANE	13	119
97	1	8	KAOHSIUNG	13	131
98	1	2	XIAMEN	14	97
99	1	3	SHANGHAI	14	101
100	1	4	NINGBO	14	104
101	1	5	SYDNEY	14	116
102	1	6	MELBOURNE	14	120
103	1	7	BRISBANE	14	126
104	1	8	KAOHSIUNG	14	138
105	1	2	XIAMEN	15	104
106	1	3	SHANGHAI	15	108
107	1	4	NINGBO	15	111
108	1	5	SYDNEY	15	123
109	1	6	MELBOURNE	15	127
110	1	7	BRISBANE	15	133
111	1	8	KAOHSIUNG	15	145
112	1	2	XIAMEN	16	111
113	1	3	SHANGHAI	16	115
114	1	4	NINGBO	16	118
115	1	5	SYDNEY	16	130
116	1	6	MELBOURNE	16	134
117	1	7	BRISBANE	16	140
118	1	8	KAOHSIUNG	16	152
119	1	2	XIAMEN	17	118
120	1	3	SHANGHAI	17	122
121	1	4	NINGBO	17	125
122	1	5	SYDNEY	17	137
123	1	6	MELBOURNE	17	141
124	1	7	BRISBANE	17	147
125	1	8	KAOHSIUNG	17	159
126	1	2	XIAMEN	18	125
127	1	3	SHANGHAI	18	129
128	1	4	NINGBO	18	132
129	1	5	SYDNEY	18	144
130	1	6	MELBOURNE	18	148
131	1	7	BRISBANE	18	154
132	1	8	KAOHSIUNG	18	166
133	1	2	XIAMEN	19	132
134	1	3	SHANGHAI	19	136
135	1	4	NINGBO	19	139
136	1	5	SYDNEY	19	151
137	1	6	MELBOURNE	19	155
138	1	7	BRISBANE	19	161
139	1	8	KAOHSIUNG	19	173
140	1	2	XIAMEN	20	139
141	1	3	SHANGHAI	20	143
142	1	4	NINGBO	20	146
143	1	5	SYDNEY	20	158
144	1	6	MELBOURNE	20	162
145	1	7	BRISBANE	20	168
146	2	1	YOKOHAMA	1	5
147	2	2	OSAKA	1	7
148	2	3	BUSAN, KOREA	1	9
149	2	4	QINGDAO	1	11
150	2	5	SHANGHAI	1	13
151	2	6	KAOHSIUNG	1	17
152	2	7	MELBOURNE	1	29
153	2	8	SYDNEY	1	32
154	2	9	BRISBANE	1	35
155	2	10	YOKOHAMA	1	47
156	2	1	YOKOHAMA	2	12
157	2	2	OSAKA	2	14
158	2	3	BUSAN, KOREA	2	16
159	2	4	QINGDAO	2	18
160	2	5	SHANGHAI	2	20
161	2	6	KAOHSIUNG	2	24
162	2	7	MELBOURNE	2	36
163	2	8	SYDNEY	2	39
164	2	9	BRISBANE	2	42
165	2	10	YOKOHAMA	2	54
166	2	1	YOKOHAMA	3	19
167	2	2	OSAKA	3	21
168	2	3	BUSAN, KOREA	3	23
169	2	4	QINGDAO	3	25
170	2	5	SHANGHAI	3	27
171	2	6	KAOHSIUNG	3	31
172	2	7	MELBOURNE	3	43
173	2	8	SYDNEY	3	46
174	2	9	BRISBANE	3	49
175	2	10	YOKOHAMA	3	61
176	2	1	YOKOHAMA	4	26
177	2	2	OSAKA	4	28
178	2	3	BUSAN, KOREA	4	30
179	2	4	QINGDAO	4	32
180	2	5	SHANGHAI	4	34
181	2	6	KAOHSIUNG	4	38
182	2	7	MELBOURNE	4	50
183	2	8	SYDNEY	4	53
184	2	9	BRISBANE	4	56
185	2	10	YOKOHAMA	4	68
186	2	1	YOKOHAMA	5	33
187	2	2	OSAKA	5	35
188	2	3	BUSAN, KOREA	5	37
189	2	4	QINGDAO	5	39
190	2	5	SHANGHAI	5	41
191	2	6	KAOHSIUNG	5	45
192	2	7	MELBOURNE	5	57
193	2	8	SYDNEY	5	60
194	2	9	BRISBANE	5	63
195	2	10	YOKOHAMA	5	75
196	2	1	YOKOHAMA	6	40
197	2	2	OSAKA	6	42
198	2	3	BUSAN, KOREA	6	44
199	2	4	QINGDAO	6	46
200	2	5	SHANGHAI	6	48
201	2	6	KAOHSIUNG	6	52
202	2	7	MELBOURNE	6	64
203	2	8	SYDNEY	6	67
204	2	9	BRISBANE	6	70
205	2	10	YOKOHAMA	6	82
206	2	2	OSAKA	7	49
