PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	BALBOA	BUENAVENTURA	1	180
2	BALBOA	BUSAN, KOREA	1	180
3	BALBOA	CALLAO	1	180
4	BALBOA	CARTAGENA, CO	1	180
5	BALBOA	CAUCEDO	1	180
6	BALBOA	HONG KONG	1	180
7	BALBOA	KAOHSIUNG	1	180
8	BALBOA	KINGSTON	1	180
9	BALBOA	LAZARO CARDENAS	1	180
10	BALBOA	MANZANILLO, MX	1	180
11	BALBOA	MANZANILLO, PA	1	180
12	BALBOA	NINGBO	1	180
13	BALBOA	POSORJA	1	180
14	BALBOA	QINGDAO	1	180
15	BALBOA	SAN ANTONIO	1	180
16	BALBOA	SHANGHAI	1	180
17	BALBOA	SHEKOU	1	180
18	BALBOA	SINGAPORE	1	180
19	BALBOA	YANTIAN	1	180
20	BALBOA	YOKOHAMA	1	180
21	BUENAVENTURA	BALBOA	1	180
22	BUENAVENTURA	BUSAN, KOREA	1	180
23	BUENAVENTURA	CALLAO	1	180
24	BUENAVENTURA	CARTAGENA, CO	1	180
25	BUENAVENTURA	CAUCEDO	1	180
26	BUENAVENTURA	HONG KONG	1	180
27	BUENAVENTURA	KAOHSIUNG	1	180
28	BUENAVENTURA	KINGSTON	1	180
29	BUENAVENTURA	LAZARO CARDENAS	1	180
30	BUENAVENTURA	MANZANILLO, MX	1	180
31	BUENAVENTURA	MANZANILLO, PA	1	180
32	BUENAVENTURA	NINGBO	1	180
33	BUENAVENTURA	POSORJA	1	180
34	BUENAVENTURA	QINGDAO	1	180
35	BUENAVENTURA	SAN ANTONIO	1	180
36	BUENAVENTURA	SHANGHAI	1	180
37	BUENAVENTURA	SHEKOU	1	180
38	BUENAVENTURA	SINGAPORE	1	180
39	BUENAVENTURA	YANTIAN	1	180
40	BUENAVENTURA	YOKOHAMA	1	180
41	BUSAN, KOREA	BALBOA	1	180
42	BUSAN, KOREA	BUENAVENTURA	1	180
43	BUSAN, KOREA	CALLAO	1	180
44	BUSAN, KOREA	CARTAGENA, CO	1	180
45	BUSAN, KOREA	CAUCEDO	1	180
46	BUSAN, KOREA	HONG KONG	1	180
47	BUSAN, KOREA	KAOHSIUNG	1	180
48	BUSAN, KOREA	KINGSTON	1	180
49	BUSAN, KOREA	LAZARO CARDENAS	1	180
50	BUSAN, KOREA	MANZANILLO, MX	1	180
51	BUSAN, KOREA	MANZANILLO, PA	1	180
52	BUSAN, KOREA	NINGBO	1	180
53	BUSAN, KOREA	POSORJA	1	180
54	BUSAN, KOREA	QINGDAO	1	180
55	BUSAN, KOREA	SAN ANTONIO	1	180
56	BUSAN, KOREA	SHANGHAI	1	180
57	BUSAN, KOREA	SHEKOU	1	180
58	BUSAN, KOREA	SINGAPORE	1	180
59	BUSAN, KOREA	YANTIAN	1	180
60	BUSAN, KOREA	YOKOHAMA	1	180
61	CALLAO	BALBOA	1	180
62	CALLAO	BUENAVENTURA	1	180
63	CALLAO	BUSAN, KOREA	1	180
64	CALLAO	CARTAGENA, CO	1	180
65	CALLAO	CAUCEDO	1	180
66	CALLAO	HONG KONG	1	180
67	CALLAO	KAOHSIUNG	1	180
68	CALLAO	KINGSTON	1	180
69	CALLAO	LAZARO CARDENAS	1	180
70	CALLAO	MANZANILLO, MX	1	180
71	CALLAO	MANZANILLO, PA	1	180
72	CALLAO	NINGBO	1	180
73	CALLAO	POSORJA	1	180
74	CALLAO	QINGDAO	1	180
75	CALLAO	SAN ANTONIO	1	180
76	CALLAO	SHANGHAI	1	180
77	CALLAO	SHEKOU	1	180
78	CALLAO	SINGAPORE	1	180
79	CALLAO	YANTIAN	1	180
80	CALLAO	YOKOHAMA	1	180
81	CARTAGENA, CO	BALBOA	1	180
82	CARTAGENA, CO	BUENAVENTURA	1	180
83	CARTAGENA, CO	BUSAN, KOREA	1	180
84	CARTAGENA, CO	CALLAO	1	180
85	CARTAGENA, CO	CAUCEDO	1	180
86	CARTAGENA, CO	HONG KONG	1	180
87	CARTAGENA, CO	KAOHSIUNG	1	180
88	CARTAGENA, CO	KINGSTON	1	180
89	CARTAGENA, CO	LAZARO CARDENAS	1	180
90	CARTAGENA, CO	MANZANILLO, MX	1	180
91	CARTAGENA, CO	MANZANILLO, PA	1	180
92	CARTAGENA, CO	NINGBO	1	180
93	CARTAGENA, CO	POSORJA	1	180
94	CARTAGENA, CO	QINGDAO	1	180
95	CARTAGENA, CO	SAN ANTONIO	1	180
96	CARTAGENA, CO	SHANGHAI	1	180
97	CARTAGENA, CO	SHEKOU	1	180
98	CARTAGENA, CO	SINGAPORE	1	180
99	CARTAGENA, CO	YANTIAN	1	180
100	CARTAGENA, CO	YOKOHAMA	1	180
101	CAUCEDO	BALBOA	1	180
102	CAUCEDO	BUENAVENTURA	1	180
103	CAUCEDO	BUSAN, KOREA	1	180
104	CAUCEDO	CALLAO	1	180
105	CAUCEDO	CARTAGENA, CO	1	180
106	CAUCEDO	HONG KONG	1	180
107	CAUCEDO	KAOHSIUNG	1	180
108	CAUCEDO	KINGSTON	1	180
109	CAUCEDO	LAZARO CARDENAS	1	180
110	CAUCEDO	MANZANILLO, MX	1	180
111	CAUCEDO	MANZANILLO, PA	1	180
112	CAUCEDO	NINGBO	1	180
113	CAUCEDO	POSORJA	1	180
114	CAUCEDO	QINGDAO	1	180
115	CAUCEDO	SAN ANTONIO	1	180
116	CAUCEDO	SHANGHAI	1	180
117	CAUCEDO	SHEKOU	1	180
118	CAUCEDO	SINGAPORE	1	180
119	CAUCEDO	YANTIAN	1	180
120	CAUCEDO	YOKOHAMA	1	180
121	HONG KONG	BALBOA	1	180
122	HONG KONG	BUENAVENTURA	1	180
123	HONG KONG	BUSAN, KOREA	1	180
124	HONG KONG	CALLAO	1	180
125	HONG KONG	CARTAGENA, CO	1	180
126	HONG KONG	CAUCEDO	1	180
127	HONG KONG	KAOHSIUNG	1	180
128	HONG KONG	KINGSTON	1	180
129	HONG KONG	LAZARO CARDENAS	1	180
130	HONG KONG	MANZANILLO, MX	1	180
131	HONG KONG	MANZANILLO, PA	1	180
132	HONG KONG	NINGBO	1	180
133	HONG KONG	POSORJA	1	180
134	HONG KONG	QINGDAO	1	180
