VesselID	Capacity	OperationCost	RouteID	MaxNum
1	10642	14.714	1	1
2	11388	14.901	1	1
3	15072	15.822	1	1
4	11040	14.814	1	1
5	11388	14.901	1	1
6	11040	14.814	1	1
7	11262	14.869	1	1
8	9572	14.447	1	1
9	9469	14.421	1	1
10	9572	14.447	1	1
11	10100	14.579	1	1
12	8749	14.241	1	1
13	13892	15.527	2	1
14	14402	15.654	2	1
15	10100	14.579	2	1
16	10100	14.579	2	1
17	10100	14.579	2	1
18	12917	15.283	2	1
19	10622	14.709	2	1
20	15536	15.938	2	1
21	1	12.054	2	1
22	13556	15.443	2	1
23	13556	15.443	2	1
24	1	12.054	2	1
25	1	11.054	3	1
26	8452	13.167	3	1
27	8452	13.167	3	1
28	8452	13.167	3	1
29	8452	13.167	3	1
30	8508	13.181	3	1
31	8508	13.181	3	1
32	8508	13.181	3	1
33	8063	13.069	3	1
34	5668	12.471	3	1
35	8236	13.113	3	1
