TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	SINGAPORE	1	3	4	2	2	SHEKOU	7
2	1	2	2	SHEKOU	1	7	1	3	3	HONG KONG	8
3	1	3	3	HONG KONG	1	8	2	4	4	KAOHSIUNG	10
4	1	4	4	KAOHSIUNG	1	10	2	5	5	NINGBO	12
5	1	5	5	NINGBO	1	12	1	6	6	SHANGHAI	13
6	1	6	6	SHANGHAI	1	13	3	7	7	QINGDAO	16
7	1	7	7	QINGDAO	1	16	2	8	8	BUSAN, KOREA	18
8	1	8	8	BUSAN, KOREA	1	18	24	9	9	MANZANILLO, MX	42
9	1	9	9	MANZANILLO, MX	1	42	5	10	10	BALBOA	47
10	1	10	10	BALBOA	1	47	2	11	11	MANZANILLO, PA	49
11	1	11	11	MANZANILLO, PA	1	49	2	12	12	CARTAGENA, CO	51
12	1	12	12	CARTAGENA, CO	1	51	2	13	13	KINGSTON	53
13	1	13	13	KINGSTON	1	53	4	14	14	CAUCEDO	57
14	1	14	14	CAUCEDO	1	57	30	15	15	SINGAPORE	87
15	1	15	15	SINGAPORE	1	87	4	181	2	SHEKOU	91
16	1	16	1	SINGAPORE	2	10	4	17	2	SHEKOU	14
17	1	17	2	SHEKOU	2	14	1	18	3	HONG KONG	15
18	1	18	3	HONG KONG	2	15	2	19	4	KAOHSIUNG	17
19	1	19	4	KAOHSIUNG	2	17	2	20	5	NINGBO	19
20	1	20	5	NINGBO	2	19	1	21	6	SHANGHAI	20
21	1	21	6	SHANGHAI	2	20	3	22	7	QINGDAO	23
22	1	22	7	QINGDAO	2	23	2	23	8	BUSAN, KOREA	25
23	1	23	8	BUSAN, KOREA	2	25	24	24	9	MANZANILLO, MX	49
24	1	24	9	MANZANILLO, MX	2	49	5	25	10	BALBOA	54
25	1	25	10	BALBOA	2	54	2	26	11	MANZANILLO, PA	56
26	1	26	11	MANZANILLO, PA	2	56	2	27	12	CARTAGENA, CO	58
27	1	27	12	CARTAGENA, CO	2	58	2	28	13	KINGSTON	60
28	1	28	13	KINGSTON	2	60	4	29	14	CAUCEDO	64
29	1	29	14	CAUCEDO	2	64	30	30	15	SINGAPORE	94
30	1	30	15	SINGAPORE	2	94	4	195	2	SHEKOU	98
31	1	31	1	SINGAPORE	3	17	4	32	2	SHEKOU	21
32	1	32	2	SHEKOU	3	21	1	33	3	HONG KONG	22
33	1	33	3	HONG KONG	3	22	2	34	4	KAOHSIUNG	24
34	1	34	4	KAOHSIUNG	3	24	2	35	5	NINGBO	26
35	1	35	5	NINGBO	3	26	1	36	6	SHANGHAI	27
36	1	36	6	SHANGHAI	3	27	3	37	7	QINGDAO	30
37	1	37	7	QINGDAO	3	30	2	38	8	BUSAN, KOREA	32
38	1	38	8	BUSAN, KOREA	3	32	24	39	9	MANZANILLO, MX	56
39	1	39	9	MANZANILLO, MX	3	56	5	40	10	BALBOA	61
40	1	40	10	BALBOA	3	61	2	41	11	MANZANILLO, PA	63
41	1	41	11	MANZANILLO, PA	3	63	2	42	12	CARTAGENA, CO	65
42	1	42	12	CARTAGENA, CO	3	65	2	43	13	KINGSTON	67
43	1	43	13	KINGSTON	3	67	4	44	14	CAUCEDO	71
44	1	44	14	CAUCEDO	3	71	30	45	15	SINGAPORE	101
45	1	46	1	SINGAPORE	4	24	4	47	2	SHEKOU	28
46	1	47	2	SHEKOU	4	28	1	48	3	HONG KONG	29
47	1	48	3	HONG KONG	4	29	2	49	4	KAOHSIUNG	31
48	1	49	4	KAOHSIUNG	4	31	2	50	5	NINGBO	33
49	1	50	5	NINGBO	4	33	1	51	6	SHANGHAI	34
50	1	51	6	SHANGHAI	4	34	3	52	7	QINGDAO	37
51	1	52	7	QINGDAO	4	37	2	53	8	BUSAN, KOREA	39
52	1	53	8	BUSAN, KOREA	4	39	24	54	9	MANZANILLO, MX	63
53	1	54	9	MANZANILLO, MX	4	63	5	55	10	BALBOA	68
54	1	55	10	BALBOA	4	68	2	56	11	MANZANILLO, PA	70
55	1	56	11	MANZANILLO, PA	4	70	2	57	12	CARTAGENA, CO	72
56	1	57	12	CARTAGENA, CO	4	72	2	58	13	KINGSTON	74
57	1	58	13	KINGSTON	4	74	4	59	14	CAUCEDO	78
58	1	59	14	CAUCEDO	4	78	30	60	15	SINGAPORE	108
59	1	61	1	SINGAPORE	5	31	4	62	2	SHEKOU	35
60	1	62	2	SHEKOU	5	35	1	63	3	HONG KONG	36
61	1	63	3	HONG KONG	5	36	2	64	4	KAOHSIUNG	38
62	1	64	4	KAOHSIUNG	5	38	2	65	5	NINGBO	40
63	1	65	5	NINGBO	5	40	1	66	6	SHANGHAI	41
64	1	66	6	SHANGHAI	5	41	3	67	7	QINGDAO	44
65	1	67	7	QINGDAO	5	44	2	68	8	BUSAN, KOREA	46
66	1	68	8	BUSAN, KOREA	5	46	24	69	9	MANZANILLO, MX	70
67	1	69	9	MANZANILLO, MX	5	70	5	70	10	BALBOA	75
68	1	70	10	BALBOA	5	75	2	71	11	MANZANILLO, PA	77
69	1	71	11	MANZANILLO, PA	5	77	2	72	12	CARTAGENA, CO	79
70	1	72	12	CARTAGENA, CO	5	79	2	73	13	KINGSTON	81
71	1	73	13	KINGSTON	5	81	4	74	14	CAUCEDO	85
72	1	74	14	CAUCEDO	5	85	30	75	15	SINGAPORE	115
73	1	76	1	SINGAPORE	6	38	4	77	2	SHEKOU	42
74	1	77	2	SHEKOU	6	42	1	78	3	HONG KONG	43
75	1	78	3	HONG KONG	6	43	2	79	4	KAOHSIUNG	45
76	1	79	4	KAOHSIUNG	6	45	2	80	5	NINGBO	47
77	1	80	5	NINGBO	6	47	1	81	6	SHANGHAI	48
78	1	81	6	SHANGHAI	6	48	3	82	7	QINGDAO	51
79	1	82	7	QINGDAO	6	51	2	83	8	BUSAN, KOREA	53
80	1	83	8	BUSAN, KOREA	6	53	24	84	9	MANZANILLO, MX	77
81	1	84	9	MANZANILLO, MX	6	77	5	85	10	BALBOA	82
82	1	85	10	BALBOA	6	82	2	86	11	MANZANILLO, PA	84
83	1	86	11	MANZANILLO, PA	6	84	2	87	12	CARTAGENA, CO	86
84	1	87	12	CARTAGENA, CO	6	86	2	88	13	KINGSTON	88
85	1	88	13	KINGSTON	6	88	4	89	14	CAUCEDO	92
86	1	89	14	CAUCEDO	6	92	30	90	15	SINGAPORE	122
87	1	91	1	SINGAPORE	7	45	4	92	2	SHEKOU	49
88	1	92	2	SHEKOU	7	49	1	93	3	HONG KONG	50
89	1	93	3	HONG KONG	7	50	2	94	4	KAOHSIUNG	52
90	1	94	4	KAOHSIUNG	7	52	2	95	5	NINGBO	54
