ID	Route	Call	Port	Round_trip	Time
1	1	1	SINGAPORE	1	3
2	1	2	SHEKOU	1	7
3	1	3	HONG KONG	1	8
4	1	4	KAOHSIUNG	1	10
5	1	5	NINGBO	1	12
6	1	6	SHANGHAI	1	13
7	1	7	QINGDAO	1	16
8	1	8	BUSAN, KOREA	1	18
9	1	9	MANZANILLO, MX	1	42
10	1	10	BALBOA	1	47
11	1	11	MANZANILLO, PA	1	49
12	1	12	CARTAGENA, CO	1	51
13	1	13	KINGSTON	1	53
14	1	14	CAUCEDO	1	57
15	1	15	SINGAPORE	1	87
16	1	1	SINGAPORE	2	10
17	1	2	SHEKOU	2	14
18	1	3	HONG KONG	2	15
19	1	4	KAOHSIUNG	2	17
20	1	5	NINGBO	2	19
21	1	6	SHANGHAI	2	20
22	1	7	QINGDAO	2	23
23	1	8	BUSAN, KOREA	2	25
24	1	9	MANZANILLO, MX	2	49
25	1	10	BALBOA	2	54
26	1	11	MANZANILLO, PA	2	56
27	1	12	CARTAGENA, CO	2	58
28	1	13	KINGSTON	2	60
29	1	14	CAUCEDO	2	64
30	1	15	SINGAPORE	2	94
31	1	1	SINGAPORE	3	17
32	1	2	SHEKOU	3	21
33	1	3	HONG KONG	3	22
34	1	4	KAOHSIUNG	3	24
35	1	5	NINGBO	3	26
36	1	6	SHANGHAI	3	27
37	1	7	QINGDAO	3	30
38	1	8	BUSAN, KOREA	3	32
39	1	9	MANZANILLO, MX	3	56
40	1	10	BALBOA	3	61
41	1	11	MANZANILLO, PA	3	63
42	1	12	CARTAGENA, CO	3	65
43	1	13	KINGSTON	3	67
44	1	14	CAUCEDO	3	71
45	1	15	SINGAPORE	3	101
46	1	1	SINGAPORE	4	24
47	1	2	SHEKOU	4	28
48	1	3	HONG KONG	4	29
49	1	4	KAOHSIUNG	4	31
50	1	5	NINGBO	4	33
51	1	6	SHANGHAI	4	34
52	1	7	QINGDAO	4	37
53	1	8	BUSAN, KOREA	4	39
54	1	9	MANZANILLO, MX	4	63
55	1	10	BALBOA	4	68
56	1	11	MANZANILLO, PA	4	70
57	1	12	CARTAGENA, CO	4	72
58	1	13	KINGSTON	4	74
59	1	14	CAUCEDO	4	78
60	1	15	SINGAPORE	4	108
61	1	1	SINGAPORE	5	31
62	1	2	SHEKOU	5	35
63	1	3	HONG KONG	5	36
64	1	4	KAOHSIUNG	5	38
65	1	5	NINGBO	5	40
66	1	6	SHANGHAI	5	41
67	1	7	QINGDAO	5	44
68	1	8	BUSAN, KOREA	5	46
69	1	9	MANZANILLO, MX	5	70
70	1	10	BALBOA	5	75
71	1	11	MANZANILLO, PA	5	77
72	1	12	CARTAGENA, CO	5	79
73	1	13	KINGSTON	5	81
74	1	14	CAUCEDO	5	85
75	1	15	SINGAPORE	5	115
76	1	1	SINGAPORE	6	38
77	1	2	SHEKOU	6	42
78	1	3	HONG KONG	6	43
79	1	4	KAOHSIUNG	6	45
80	1	5	NINGBO	6	47
81	1	6	SHANGHAI	6	48
82	1	7	QINGDAO	6	51
83	1	8	BUSAN, KOREA	6	53
84	1	9	MANZANILLO, MX	6	77
85	1	10	BALBOA	6	82
86	1	11	MANZANILLO, PA	6	84
87	1	12	CARTAGENA, CO	6	86
88	1	13	KINGSTON	6	88
89	1	14	CAUCEDO	6	92
90	1	15	SINGAPORE	6	122
91	1	1	SINGAPORE	7	45
92	1	2	SHEKOU	7	49
93	1	3	HONG KONG	7	50
94	1	4	KAOHSIUNG	7	52
95	1	5	NINGBO	7	54
96	1	6	SHANGHAI	7	55
97	1	7	QINGDAO	7	58
98	1	8	BUSAN, KOREA	7	60
99	1	9	MANZANILLO, MX	7	84
100	1	10	BALBOA	7	89
101	1	11	MANZANILLO, PA	7	91
102	1	12	CARTAGENA, CO	7	93
103	1	13	KINGSTON	7	95
104	1	14	CAUCEDO	7	99
105	1	15	SINGAPORE	7	129
106	1	1	SINGAPORE	8	52
107	1	2	SHEKOU	8	56
108	1	3	HONG KONG	8	57
109	1	4	KAOHSIUNG	8	59
110	1	5	NINGBO	8	61
111	1	6	SHANGHAI	8	62
112	1	7	QINGDAO	8	65
113	1	8	BUSAN, KOREA	8	67
114	1	9	MANZANILLO, MX	8	91
115	1	10	BALBOA	8	96
116	1	11	MANZANILLO, PA	8	98
117	1	12	CARTAGENA, CO	8	100
118	1	13	KINGSTON	8	102
119	1	14	CAUCEDO	8	106
120	1	15	SINGAPORE	8	136
121	1	1	SINGAPORE	9	59
122	1	2	SHEKOU	9	63
123	1	3	HONG KONG	9	64
124	1	4	KAOHSIUNG	9	66
125	1	5	NINGBO	9	68
126	1	6	SHANGHAI	9	69
127	1	7	QINGDAO	9	72
128	1	8	BUSAN, KOREA	9	74
129	1	9	MANZANILLO, MX	9	98
130	1	10	BALBOA	9	103
131	1	11	MANZANILLO, PA	9	105
132	1	12	CARTAGENA, CO	9	107
133	1	13	KINGSTON	9	109
134	1	14	CAUCEDO	9	113
135	1	15	SINGAPORE	9	143
136	1	1	SINGAPORE	10	66
137	1	2	SHEKOU	10	70
138	1	3	HONG KONG	10	71
139	1	4	KAOHSIUNG	10	73
140	1	5	NINGBO	10	75
141	1	6	SHANGHAI	10	76
142	1	7	QINGDAO	10	79
143	1	8	BUSAN, KOREA	10	81
144	1	9	MANZANILLO, MX	10	105
145	1	10	BALBOA	10	110
146	1	11	MANZANILLO, PA	10	112
147	1	12	CARTAGENA, CO	10	114
148	1	13	KINGSTON	10	116
149	1	14	CAUCEDO	10	120
150	1	15	SINGAPORE	10	150
151	1	1	SINGAPORE	11	73
152	1	2	SHEKOU	11	77
153	1	3	HONG KONG	11	78
154	1	4	KAOHSIUNG	11	80
155	1	5	NINGBO	11	82
156	1	6	SHANGHAI	11	83
157	1	7	QINGDAO	11	86
158	1	8	BUSAN, KOREA	11	88
159	1	9	MANZANILLO, MX	11	112
160	1	10	BALBOA	11	117
161	1	11	MANZANILLO, PA	11	119
162	1	12	CARTAGENA, CO	11	121
163	1	13	KINGSTON	11	123
164	1	14	CAUCEDO	11	127
165	1	15	SINGAPORE	11	157
166	1	1	SINGAPORE	12	80
167	1	2	SHEKOU	12	84
168	1	3	HONG KONG	12	85
169	1	4	KAOHSIUNG	12	87
170	1	5	NINGBO	12	89
171	1	6	SHANGHAI	12	90
172	1	7	QINGDAO	12	93
173	1	8	BUSAN, KOREA	12	95
174	1	9	MANZANILLO, MX	12	119
175	1	10	BALBOA	12	124
176	1	11	MANZANILLO, PA	12	126
177	1	12	CARTAGENA, CO	12	128
178	1	13	KINGSTON	12	130
179	1	14	CAUCEDO	12	134
180	1	15	SINGAPORE	12	164
181	1	2	SHEKOU	13	91
182	1	3	HONG KONG	13	92
183	1	4	KAOHSIUNG	13	94
184	1	5	NINGBO	13	96
185	1	6	SHANGHAI	13	97
186	1	7	QINGDAO	13	100
187	1	8	BUSAN, KOREA	13	102
188	1	9	MANZANILLO, MX	13	126
189	1	10	BALBOA	13	131
190	1	11	MANZANILLO, PA	13	133
191	1	12	CARTAGENA, CO	13	135
192	1	13	KINGSTON	13	137
193	1	14	CAUCEDO	13	141
194	1	15	SINGAPORE	13	171
195	1	2	SHEKOU	14	98
196	1	3	HONG KONG	14	99
197	1	4	KAOHSIUNG	14	101
198	1	5	NINGBO	14	103
199	1	6	SHANGHAI	14	104
200	1	7	QINGDAO	14	107
201	1	8	BUSAN, KOREA	14	109
202	1	9	MANZANILLO, MX	14	133
203	1	10	BALBOA	14	138
204	1	11	MANZANILLO, PA	14	140
205	1	12	CARTAGENA, CO	14	142
206	1	13	KINGSTON	14	144
207	1	14	CAUCEDO	14	148
208	1	15	SINGAPORE	14	178
209	2	1	SHEKOU	1	3
210	2	2	HONG KONG	1	4
211	2	3	KAOHSIUNG	1	6
212	2	4	NINGBO	1	8
213	2	5	SHANGHAI	1	10
214	2	6	BUSAN, KOREA	1	14
215	2	7	MANZANILLO, MX	1	34
216	2	8	LAZARO CARDENAS	1	36
217	2	9	BUENAVENTURA	1	43
218	2	10	CALLAO	1	49
219	2	11	POSORJA	1	54
220	2	12	LAZARO CARDENAS	1	61
221	2	13	MANZANILLO, MX	1	64
222	2	14	YOKOHAMA	1	80
223	2	15	BUSAN, KOREA	1	83
224	2	16	SHEKOU	1	87
225	2	1	SHEKOU	2	10
226	2	2	HONG KONG	2	11
227	2	3	KAOHSIUNG	2	13
228	2	4	NINGBO	2	15
229	2	5	SHANGHAI	2	17
230	2	6	BUSAN, KOREA	2	21
231	2	7	MANZANILLO, MX	2	41
232	2	8	LAZARO CARDENAS	2	43
233	2	9	BUENAVENTURA	2	50
234	2	10	CALLAO	2	56
235	2	11	POSORJA	2	61
236	2	12	LAZARO CARDENAS	2	68
237	2	13	MANZANILLO, MX	2	71
238	2	14	YOKOHAMA	2	87
239	2	15	BUSAN, KOREA	2	90
240	2	16	SHEKOU	2	94
