PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	ALGECIRAS	ANTWERP	1	180
2	ALGECIRAS	GHAZAOUET	1	180
3	ALGECIRAS	KRIBI	1	180
4	ALGECIRAS	LE HAVRE	1	180
5	ALGECIRAS	LEIXOES	1	180
6	ALGECIRAS	LIBREVILLE	1	180
7	ALGECIRAS	LISBOA	1	180
8	ALGECIRAS	LUANDA	1	180
9	ALGECIRAS	POINTE NOIRE	1	180
10	ALGECIRAS	SETUBAL	1	180
11	ALGECIRAS	TANGER MED	1	180
12	ALGECIRAS	VIGO	1	180
13	ANTWERP	ALGECIRAS	1	180
14	ANTWERP	GHAZAOUET	1	180
15	ANTWERP	KRIBI	1	180
16	ANTWERP	LE HAVRE	1	180
17	ANTWERP	LEIXOES	1	180
18	ANTWERP	LIBREVILLE	1	180
19	ANTWERP	LISBOA	1	180
20	ANTWERP	LUANDA	1	180
21	ANTWERP	POINTE NOIRE	1	180
22	ANTWERP	SETUBAL	1	180
23	ANTWERP	TANGER MED	1	180
24	ANTWERP	VIGO	1	180
25	GHAZAOUET	ALGECIRAS	1	180
26	GHAZAOUET	ANTWERP	1	180
27	GHAZAOUET	KRIBI	1	180
28	GHAZAOUET	LE HAVRE	1	180
29	GHAZAOUET	LEIXOES	1	180
30	GHAZAOUET	LIBREVILLE	1	180
31	GHAZAOUET	LISBOA	1	180
32	GHAZAOUET	LUANDA	1	180
33	GHAZAOUET	POINTE NOIRE	1	180
34	GHAZAOUET	SETUBAL	1	180
35	GHAZAOUET	TANGER MED	1	180
36	GHAZAOUET	VIGO	1	180
37	KRIBI	ALGECIRAS	1	180
38	KRIBI	ANTWERP	1	180
39	KRIBI	GHAZAOUET	1	180
40	KRIBI	LE HAVRE	1	180
41	KRIBI	LEIXOES	1	180
42	KRIBI	LIBREVILLE	1	180
43	KRIBI	LISBOA	1	180
44	KRIBI	LUANDA	1	180
45	KRIBI	POINTE NOIRE	1	180
46	KRIBI	SETUBAL	1	180
47	KRIBI	TANGER MED	1	180
48	KRIBI	VIGO	1	180
49	LE HAVRE	ALGECIRAS	1	180
50	LE HAVRE	ANTWERP	1	180
51	LE HAVRE	GHAZAOUET	1	180
52	LE HAVRE	KRIBI	1	180
53	LE HAVRE	LEIXOES	1	180
54	LE HAVRE	LIBREVILLE	1	180
55	LE HAVRE	LISBOA	1	180
56	LE HAVRE	LUANDA	1	180
57	LE HAVRE	POINTE NOIRE	1	180
58	LE HAVRE	SETUBAL	1	180
59	LE HAVRE	TANGER MED	1	180
60	LE HAVRE	VIGO	1	180
61	LEIXOES	ALGECIRAS	1	180
62	LEIXOES	ANTWERP	1	180
63	LEIXOES	GHAZAOUET	1	180
64	LEIXOES	KRIBI	1	180
65	LEIXOES	LE HAVRE	1	180
66	LEIXOES	LIBREVILLE	1	180
67	LEIXOES	LISBOA	1	180
68	LEIXOES	LUANDA	1	180
69	LEIXOES	POINTE NOIRE	1	180
70	LEIXOES	SETUBAL	1	180
71	LEIXOES	TANGER MED	1	180
72	LEIXOES	VIGO	1	180
73	LIBREVILLE	ALGECIRAS	1	180
74	LIBREVILLE	ANTWERP	1	180
75	LIBREVILLE	GHAZAOUET	1	180
76	LIBREVILLE	KRIBI	1	180
