TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
345	ALGECIRAS	4	10	4	175	14	1	2
346	ALGECIRAS	4	10	4	178	14	1	2
347	ALGECIRAS	4	10	11	183	21	1	2
348	ALGECIRAS	4	10	11	186	21	1	2
349	ALGECIRAS	13	17	4	183	21	1	2
350	ALGECIRAS	13	17	4	186	21	1	2
351	ALGECIRAS	13	17	11	191	28	1	2
352	ALGECIRAS	13	17	11	194	28	1	2
353	ALGECIRAS	22	24	4	191	28	1	2
354	ALGECIRAS	22	24	4	194	28	1	2
355	ALGECIRAS	22	24	11	199	35	1	2
356	ALGECIRAS	22	24	11	202	35	1	2
357	ALGECIRAS	31	31	4	199	35	1	2
358	ALGECIRAS	31	31	4	202	35	1	2
359	ALGECIRAS	31	31	11	207	42	1	2
360	ALGECIRAS	31	31	11	210	42	1	2
361	ALGECIRAS	40	38	4	207	42	1	2
362	ALGECIRAS	40	38	4	210	42	1	2
363	ALGECIRAS	40	38	11	215	49	1	2
364	ALGECIRAS	40	38	11	218	49	1	2
365	ALGECIRAS	49	45	4	215	49	1	2
366	ALGECIRAS	49	45	4	218	49	1	2
367	ALGECIRAS	49	45	11	223	56	1	2
368	ALGECIRAS	49	45	11	226	56	1	2
369	ALGECIRAS	58	52	4	223	56	1	2
370	ALGECIRAS	58	52	4	226	56	1	2
371	ALGECIRAS	58	52	11	231	63	1	2
372	ALGECIRAS	58	52	11	234	63	1	2
373	ALGECIRAS	66	59	4	231	63	1	2
374	ALGECIRAS	66	59	4	234	63	1	2
375	ALGECIRAS	66	59	11	239	70	1	2
376	ALGECIRAS	66	59	11	242	70	1	2
377	ALGECIRAS	74	66	4	239	70	1	2
378	ALGECIRAS	74	66	4	242	70	1	2
379	ALGECIRAS	74	66	11	247	77	1	2
380	ALGECIRAS	74	66	11	250	77	1	2
381	ALGECIRAS	82	73	4	247	77	1	2
382	ALGECIRAS	82	73	4	250	77	1	2
383	ALGECIRAS	82	73	11	255	84	1	2
384	ALGECIRAS	82	73	11	258	84	1	2
385	ALGECIRAS	90	80	4	255	84	1	2
386	ALGECIRAS	90	80	4	258	84	1	2
