TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	LE HAVRE	1	0	0	2	2	ANTWERP	0
2	1	2	2	ANTWERP	1	0	6	3	3	LISBOA	6
3	1	3	3	LISBOA	1	6	4	4	4	ALGECIRAS	10
4	1	4	4	ALGECIRAS	1	10	11	5	5	POINTE NOIRE	21
5	1	5	5	POINTE NOIRE	1	21	6	6	6	LUANDA	27
6	1	6	6	LUANDA	1	27	3	7	7	LIBREVILLE	30
7	1	7	7	LIBREVILLE	1	30	3	8	8	KRIBI	33
8	1	8	8	KRIBI	1	33	16	9	9	LE HAVRE	49
9	1	9	9	LE HAVRE	1	49	0	64	2	ANTWERP	49
10	1	10	1	LE HAVRE	2	7	0	11	2	ANTWERP	7
11	1	11	2	ANTWERP	2	7	6	12	3	LISBOA	13
12	1	12	3	LISBOA	2	13	4	13	4	ALGECIRAS	17
13	1	13	4	ALGECIRAS	2	17	11	14	5	POINTE NOIRE	28
14	1	14	5	POINTE NOIRE	2	28	6	15	6	LUANDA	34
15	1	15	6	LUANDA	2	34	3	16	7	LIBREVILLE	37
16	1	16	7	LIBREVILLE	2	37	3	17	8	KRIBI	40
17	1	17	8	KRIBI	2	40	16	18	9	LE HAVRE	56
18	1	18	9	LE HAVRE	2	56	0	72	2	ANTWERP	56
19	1	19	1	LE HAVRE	3	14	0	20	2	ANTWERP	14
20	1	20	2	ANTWERP	3	14	6	21	3	LISBOA	20
21	1	21	3	LISBOA	3	20	4	22	4	ALGECIRAS	24
22	1	22	4	ALGECIRAS	3	24	11	23	5	POINTE NOIRE	35
23	1	23	5	POINTE NOIRE	3	35	6	24	6	LUANDA	41
24	1	24	6	LUANDA	3	41	3	25	7	LIBREVILLE	44
25	1	25	7	LIBREVILLE	3	44	3	26	8	KRIBI	47
26	1	26	8	KRIBI	3	47	16	27	9	LE HAVRE	63
27	1	27	9	LE HAVRE	3	63	0	80	2	ANTWERP	63
28	1	28	1	LE HAVRE	4	21	0	29	2	ANTWERP	21
29	1	29	2	ANTWERP	4	21	6	30	3	LISBOA	27
30	1	30	3	LISBOA	4	27	4	31	4	ALGECIRAS	31
31	1	31	4	ALGECIRAS	4	31	11	32	5	POINTE NOIRE	42
32	1	32	5	POINTE NOIRE	4	42	6	33	6	LUANDA	48
33	1	33	6	LUANDA	4	48	3	34	7	LIBREVILLE	51
34	1	34	7	LIBREVILLE	4	51	3	35	8	KRIBI	54
35	1	35	8	KRIBI	4	54	16	36	9	LE HAVRE	70
36	1	36	9	LE HAVRE	4	70	0	88	2	ANTWERP	70
37	1	37	1	LE HAVRE	5	28	0	38	2	ANTWERP	28
38	1	38	2	ANTWERP	5	28	6	39	3	LISBOA	34
39	1	39	3	LISBOA	5	34	4	40	4	ALGECIRAS	38
40	1	40	4	ALGECIRAS	5	38	11	41	5	POINTE NOIRE	49
41	1	41	5	POINTE NOIRE	5	49	6	42	6	LUANDA	55
42	1	42	6	LUANDA	5	55	3	43	7	LIBREVILLE	58
43	1	43	7	LIBREVILLE	5	58	3	44	8	KRIBI	61
44	1	44	8	KRIBI	5	61	16	45	9	LE HAVRE	77
45	1	45	9	LE HAVRE	5	77	0	96	2	ANTWERP	77
46	1	46	1	LE HAVRE	6	35	0	47	2	ANTWERP	35
47	1	47	2	ANTWERP	6	35	6	48	3	LISBOA	41
48	1	48	3	LISBOA	6	41	4	49	4	ALGECIRAS	45
49	1	49	4	ALGECIRAS	6	45	11	50	5	POINTE NOIRE	56
50	1	50	5	POINTE NOIRE	6	56	6	51	6	LUANDA	62
51	1	51	6	LUANDA	6	62	3	52	7	LIBREVILLE	65
52	1	52	7	LIBREVILLE	6	65	3	53	8	KRIBI	68
53	1	53	8	KRIBI	6	68	16	54	9	LE HAVRE	84
54	1	54	9	LE HAVRE	6	84	0	104	2	ANTWERP	84
55	1	55	1	LE HAVRE	7	42	0	56	2	ANTWERP	42
56	1	56	2	ANTWERP	7	42	6	57	3	LISBOA	48
57	1	57	3	LISBOA	7	48	4	58	4	ALGECIRAS	52
58	1	58	4	ALGECIRAS	7	52	11	59	5	POINTE NOIRE	63
59	1	59	5	POINTE NOIRE	7	63	6	60	6	LUANDA	69
60	1	60	6	LUANDA	7	69	3	61	7	LIBREVILLE	72
61	1	61	7	LIBREVILLE	7	72	3	62	8	KRIBI	75
62	1	62	8	KRIBI	7	75	16	63	9	LE HAVRE	91
63	1	63	9	LE HAVRE	7	91	0	112	2	ANTWERP	91
64	1	64	2	ANTWERP	8	49	6	65	3	LISBOA	55
65	1	65	3	LISBOA	8	55	4	66	4	ALGECIRAS	59
66	1	66	4	ALGECIRAS	8	59	11	67	5	POINTE NOIRE	70
67	1	67	5	POINTE NOIRE	8	70	6	68	6	LUANDA	76
68	1	68	6	LUANDA	8	76	3	69	7	LIBREVILLE	79
69	1	69	7	LIBREVILLE	8	79	3	70	8	KRIBI	82
70	1	70	8	KRIBI	8	82	16	71	9	LE HAVRE	98
71	1	71	9	LE HAVRE	8	98	0	120	2	ANTWERP	98
72	1	72	2	ANTWERP	9	56	6	73	3	LISBOA	62
73	1	73	3	LISBOA	9	62	4	74	4	ALGECIRAS	66
74	1	74	4	ALGECIRAS	9	66	11	75	5	POINTE NOIRE	77
75	1	75	5	POINTE NOIRE	9	77	6	76	6	LUANDA	83
76	1	76	6	LUANDA	9	83	3	77	7	LIBREVILLE	86
77	1	77	7	LIBREVILLE	9	86	3	78	8	KRIBI	89
78	1	78	8	KRIBI	9	89	16	79	9	LE HAVRE	105
79	1	79	9	LE HAVRE	9	105	0	128	2	ANTWERP	105
80	1	80	2	ANTWERP	10	63	6	81	3	LISBOA	69
81	1	81	3	LISBOA	10	69	4	82	4	ALGECIRAS	73
82	1	82	4	ALGECIRAS	10	73	11	83	5	POINTE NOIRE	84
83	1	83	5	POINTE NOIRE	10	84	6	84	6	LUANDA	90
84	1	84	6	LUANDA	10	90	3	85	7	LIBREVILLE	93
85	1	85	7	LIBREVILLE	10	93	3	86	8	KRIBI	96
86	1	86	8	KRIBI	10	96	16	87	9	LE HAVRE	112
87	1	87	9	LE HAVRE	10	112	0	136	2	ANTWERP	112
88	1	88	2	ANTWERP	11	70	6	89	3	LISBOA	76
89	1	89	3	LISBOA	11	76	4	90	4	ALGECIRAS	80
90	1	90	4	ALGECIRAS	11	80	11	91	5	POINTE NOIRE	91
91	1	91	5	POINTE NOIRE	11	91	6	92	6	LUANDA	97
92	1	92	6	LUANDA	11	97	3	93	7	LIBREVILLE	100
93	1	93	7	LIBREVILLE	11	100	3	94	8	KRIBI	103
94	1	94	8	KRIBI	11	103	16	95	9	LE HAVRE	119
95	1	95	9	LE HAVRE	11	119	0	144	2	ANTWERP	119
96	1	96	2	ANTWERP	12	77	6	97	3	LISBOA	83
97	1	97	3	LISBOA	12	83	4	98	4	ALGECIRAS	87
98	1	98	4	ALGECIRAS	12	87	11	99	5	POINTE NOIRE	98
99	1	99	5	POINTE NOIRE	12	98	6	100	6	LUANDA	104
100	1	100	6	LUANDA	12	104	3	101	7	LIBREVILLE	107
101	1	101	7	LIBREVILLE	12	107	3	102	8	KRIBI	110
102	1	102	8	KRIBI	12	110	16	103	9	LE HAVRE	126
103	1	103	9	LE HAVRE	12	126	0	152	2	ANTWERP	126
104	1	104	2	ANTWERP	13	84	6	105	3	LISBOA	90
105	1	105	3	LISBOA	13	90	4	106	4	ALGECIRAS	94
106	1	106	4	ALGECIRAS	13	94	11	107	5	POINTE NOIRE	105
107	1	107	5	POINTE NOIRE	13	105	6	108	6	LUANDA	111
108	1	108	6	LUANDA	13	111	3	109	7	LIBREVILLE	114
109	1	109	7	LIBREVILLE	13	114	3	110	8	KRIBI	117
110	1	110	8	KRIBI	13	117	16	111	9	LE HAVRE	133
111	1	112	2	ANTWERP	14	91	6	113	3	LISBOA	97
112	1	113	3	LISBOA	14	97	4	114	4	ALGECIRAS	101
113	1	114	4	ALGECIRAS	14	101	11	115	5	POINTE NOIRE	112
114	1	115	5	POINTE NOIRE	14	112	6	116	6	LUANDA	118
115	1	116	6	LUANDA	14	118	3	117	7	LIBREVILLE	121
116	1	117	7	LIBREVILLE	14	121	3	118	8	KRIBI	124
117	1	118	8	KRIBI	14	124	16	119	9	LE HAVRE	140
118	1	120	2	ANTWERP	15	98	6	121	3	LISBOA	104
119	1	121	3	LISBOA	15	104	4	122	4	ALGECIRAS	108
120	1	122	4	ALGECIRAS	15	108	11	123	5	POINTE NOIRE	119
121	1	123	5	POINTE NOIRE	15	119	6	124	6	LUANDA	125
122	1	124	6	LUANDA	15	125	3	125	7	LIBREVILLE	128
123	1	125	7	LIBREVILLE	15	128	3	126	8	KRIBI	131
124	1	126	8	KRIBI	15	131	16	127	9	LE HAVRE	147
125	1	128	2	ANTWERP	16	105	6	129	3	LISBOA	111
126	1	129	3	LISBOA	16	111	4	130	4	ALGECIRAS	115
127	1	130	4	ALGECIRAS	16	115	11	131	5	POINTE NOIRE	126
128	1	131	5	POINTE NOIRE	16	126	6	132	6	LUANDA	132
129	1	132	6	LUANDA	16	132	3	133	7	LIBREVILLE	135
130	1	133	7	LIBREVILLE	16	135	3	134	8	KRIBI	138
131	1	134	8	KRIBI	16	138	16	135	9	LE HAVRE	154
132	1	136	2	ANTWERP	17	112	6	137	3	LISBOA	118
133	1	137	3	LISBOA	17	118	4	138	4	ALGECIRAS	122
134	1	138	4	ALGECIRAS	17	122	11	139	5	POINTE NOIRE	133
135	1	139	5	POINTE NOIRE	17	133	6	140	6	LUANDA	139
136	1	140	6	LUANDA	17	139	3	141	7	LIBREVILLE	142
137	1	141	7	LIBREVILLE	17	142	3	142	8	KRIBI	145
138	1	142	8	KRIBI	17	145	16	143	9	LE HAVRE	161
139	1	144	2	ANTWERP	18	119	6	145	3	LISBOA	125
140	1	145	3	LISBOA	18	125	4	146	4	ALGECIRAS	129
141	1	146	4	ALGECIRAS	18	129	11	147	5	POINTE NOIRE	140
142	1	147	5	POINTE NOIRE	18	140	6	148	6	LUANDA	146
143	1	148	6	LUANDA	18	146	3	149	7	LIBREVILLE	149
144	1	149	7	LIBREVILLE	18	149	3	150	8	KRIBI	152
