VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	8	1,2,3,4,5,6,7,8	0	49
2	1	8	10,11,12,13,14,15,16,17	7	56
3	1	8	19,20,21,22,23,24,25,26	14	63
4	1	8	28,29,30,31,32,33,34,35	21	70
5	1	8	37,38,39,40,41,42,43,44	28	77
6	1	8	46,47,48,49,50,51,52,53	35	84
7	1	8	55,56,57,58,59,60,61,62	42	91
8	1	8	9,64,65,66,67,68,69,70	49	98
9	1	8	18,72,73,74,75,76,77,78	56	105
10	1	8	27,80,81,82,83,84,85,86	63	112
11	1	8	36,88,89,90,91,92,93,94	70	119
12	1	8	45,96,97,98,99,100,101,102	77	126
13	1	8	54,104,105,106,107,108,109,110	84	133
14	1	8	63,111,112,113,114,115,116,117	91	140
15	1	8	71,118,119,120,121,122,123,124	98	147
16	1	8	79,125,126,127,128,129,130,131	105	154
17	1	8	87,132,133,134,135,136,137,138	112	161
18	1	8	95,139,140,141,142,143,144,145	119	168
19	1	8	103,146,147,148,149,150,151,152	126	175
20	2	8	153,154,155,156,157,158,159,160	0	14
21	2	8	162,163,164,165,166,167,168,169	7	21
22	2	8	161,171,172,173,174,175,176,177	14	28
23	2	8	170,179,180,181,182,183,184,185	21	35
24	2	8	178,187,188,189,190,191,192,193	28	42
25	2	8	186,195,196,197,198,199,200,201	35	49
26	2	8	194,203,204,205,206,207,208,209	42	56
27	2	8	202,211,212,213,214,215,216,217	49	63
28	2	8	210,219,220,221,222,223,224,225	56	70
29	2	8	218,227,228,229,230,231,232,233	63	77
30	2	8	226,235,236,237,238,239,240,241	70	84
31	2	8	234,243,244,245,246,247,248,249	77	91
32	2	8	242,251,252,253,254,255,256,257	84	98
33	2	8	250,259,260,261,262,263,264,265	91	105
34	2	8	258,267,268,269,270,271,272,273	98	112
35	2	8	266,275,276,277,278,279,280,281	105	119
36	2	8	274,283,284,285,286,287,288,289	112	126
37	2	8	282,291,292,293,294,295,296,297	119	133
38	2	8	290,299,300,301,302,303,304,305	126	140
39	2	8	298,307,308,309,310,311,312,313	133	147
40	2	8	306,315,316,317,318,319,320,321	140	154
41	2	8	314,323,324,325,326,327,328,329	147	161
42	2	8	322,331,332,333,334,335,336,337	154	168
43	2	8	330,338,339,340,341,342,343,344	161	175
