ID	Route	Call	Port	Round_trip	Time
1	1	1	LE HAVRE	1	0
2	1	2	ANTWERP	1	0
3	1	3	LISBOA	1	6
4	1	4	ALGECIRAS	1	10
5	1	5	POINTE NOIRE	1	21
6	1	6	LUANDA	1	27
7	1	7	LIBREVILLE	1	30
8	1	8	KRIBI	1	33
9	1	9	LE HAVRE	1	49
10	1	1	LE HAVRE	2	7
11	1	2	ANTWERP	2	7
12	1	3	LISBOA	2	13
13	1	4	ALGECIRAS	2	17
14	1	5	POINTE NOIRE	2	28
15	1	6	LUANDA	2	34
16	1	7	LIBREVILLE	2	37
17	1	8	KRIBI	2	40
18	1	9	LE HAVRE	2	56
19	1	1	LE HAVRE	3	14
20	1	2	ANTWERP	3	14
21	1	3	LISBOA	3	20
22	1	4	ALGECIRAS	3	24
23	1	5	POINTE NOIRE	3	35
24	1	6	LUANDA	3	41
25	1	7	LIBREVILLE	3	44
26	1	8	KRIBI	3	47
27	1	9	LE HAVRE	3	63
28	1	1	LE HAVRE	4	21
29	1	2	ANTWERP	4	21
30	1	3	LISBOA	4	27
31	1	4	ALGECIRAS	4	31
32	1	5	POINTE NOIRE	4	42
33	1	6	LUANDA	4	48
34	1	7	LIBREVILLE	4	51
35	1	8	KRIBI	4	54
36	1	9	LE HAVRE	4	70
37	1	1	LE HAVRE	5	28
38	1	2	ANTWERP	5	28
39	1	3	LISBOA	5	34
40	1	4	ALGECIRAS	5	38
41	1	5	POINTE NOIRE	5	49
42	1	6	LUANDA	5	55
43	1	7	LIBREVILLE	5	58
44	1	8	KRIBI	5	61
45	1	9	LE HAVRE	5	77
46	1	1	LE HAVRE	6	35
47	1	2	ANTWERP	6	35
48	1	3	LISBOA	6	41
49	1	4	ALGECIRAS	6	45
50	1	5	POINTE NOIRE	6	56
51	1	6	LUANDA	6	62
52	1	7	LIBREVILLE	6	65
53	1	8	KRIBI	6	68
54	1	9	LE HAVRE	6	84
55	1	1	LE HAVRE	7	42
56	1	2	ANTWERP	7	42
57	1	3	LISBOA	7	48
58	1	4	ALGECIRAS	7	52
59	1	5	POINTE NOIRE	7	63
60	1	6	LUANDA	7	69
61	1	7	LIBREVILLE	7	72
62	1	8	KRIBI	7	75
63	1	9	LE HAVRE	7	91
64	1	2	ANTWERP	8	49
65	1	3	LISBOA	8	55
66	1	4	ALGECIRAS	8	59
67	1	5	POINTE NOIRE	8	70
68	1	6	LUANDA	8	76
69	1	7	LIBREVILLE	8	79
70	1	8	KRIBI	8	82
71	1	9	LE HAVRE	8	98
72	1	2	ANTWERP	9	56
73	1	3	LISBOA	9	62
74	1	4	ALGECIRAS	9	66
75	1	5	POINTE NOIRE	9	77
76	1	6	LUANDA	9	83
77	1	7	LIBREVILLE	9	86
78	1	8	KRIBI	9	89
79	1	9	LE HAVRE	9	105
80	1	2	ANTWERP	10	63
81	1	3	LISBOA	10	69
82	1	4	ALGECIRAS	10	73
83	1	5	POINTE NOIRE	10	84
84	1	6	LUANDA	10	90
85	1	7	LIBREVILLE	10	93
86	1	8	KRIBI	10	96
87	1	9	LE HAVRE	10	112
88	1	2	ANTWERP	11	70
89	1	3	LISBOA	11	76
90	1	4	ALGECIRAS	11	80
91	1	5	POINTE NOIRE	11	91
92	1	6	LUANDA	11	97
93	1	7	LIBREVILLE	11	100
94	1	8	KRIBI	11	103
95	1	9	LE HAVRE	11	119
96	1	2	ANTWERP	12	77
97	1	3	LISBOA	12	83
98	1	4	ALGECIRAS	12	87
99	1	5	POINTE NOIRE	12	98
100	1	6	LUANDA	12	104
101	1	7	LIBREVILLE	12	107
102	1	8	KRIBI	12	110
103	1	9	LE HAVRE	12	126
104	1	2	ANTWERP	13	84
105	1	3	LISBOA	13	90
106	1	4	ALGECIRAS	13	94
107	1	5	POINTE NOIRE	13	105
108	1	6	LUANDA	13	111
109	1	7	LIBREVILLE	13	114
110	1	8	KRIBI	13	117
111	1	9	LE HAVRE	13	133
112	1	2	ANTWERP	14	91
113	1	3	LISBOA	14	97
114	1	4	ALGECIRAS	14	101
115	1	5	POINTE NOIRE	14	112
116	1	6	LUANDA	14	118
117	1	7	LIBREVILLE	14	121
118	1	8	KRIBI	14	124
119	1	9	LE HAVRE	14	140
120	1	2	ANTWERP	15	98
121	1	3	LISBOA	15	104
122	1	4	ALGECIRAS	15	108
123	1	5	POINTE NOIRE	15	119
124	1	6	LUANDA	15	125
125	1	7	LIBREVILLE	15	128
126	1	8	KRIBI	15	131
127	1	9	LE HAVRE	15	147
128	1	2	ANTWERP	16	105
129	1	3	LISBOA	16	111
130	1	4	ALGECIRAS	16	115
131	1	5	POINTE NOIRE	16	126
132	1	6	LUANDA	16	132
133	1	7	LIBREVILLE	16	135
134	1	8	KRIBI	16	138
135	1	9	LE HAVRE	16	154
136	1	2	ANTWERP	17	112
137	1	3	LISBOA	17	118
138	1	4	ALGECIRAS	17	122
139	1	5	POINTE NOIRE	17	133
140	1	6	LUANDA	17	139
141	1	7	LIBREVILLE	17	142
142	1	8	KRIBI	17	145
143	1	9	LE HAVRE	17	161
144	1	2	ANTWERP	18	119
145	1	3	LISBOA	18	125
146	1	4	ALGECIRAS	18	129
147	1	5	POINTE NOIRE	18	140
148	1	6	LUANDA	18	146
149	1	7	LIBREVILLE	18	149
150	1	8	KRIBI	18	152
151	1	9	LE HAVRE	18	168
152	1	2	ANTWERP	19	126
153	1	3	LISBOA	19	132
154	1	4	ALGECIRAS	19	136
155	1	5	POINTE NOIRE	19	147
156	1	6	LUANDA	19	153
157	1	7	LIBREVILLE	19	156
158	1	8	KRIBI	19	159
159	1	9	LE HAVRE	19	175
160	2	1	TANGER MED	1	0
161	2	2	ALGECIRAS	1	0
162	2	3	VIGO	1	3
163	2	4	LEIXOES	1	4
164	2	5	SETUBAL	1	5
165	2	6	TANGER MED	1	6
166	2	7	ALGECIRAS	1	7
167	2	8	GHAZAOUET	1	10
168	2	9	TANGER MED	1	14
169	2	1	TANGER MED	2	7
170	2	2	ALGECIRAS	2	7
171	2	3	VIGO	2	10
172	2	4	LEIXOES	2	11
173	2	5	SETUBAL	2	12
174	2	6	TANGER MED	2	13
175	2	7	ALGECIRAS	2	14
176	2	8	GHAZAOUET	2	17
177	2	9	TANGER MED	2	21
178	2	2	ALGECIRAS	3	14
179	2	3	VIGO	3	17
180	2	4	LEIXOES	3	18
181	2	5	SETUBAL	3	19
182	2	6	TANGER MED	3	20
183	2	7	ALGECIRAS	3	21
184	2	8	GHAZAOUET	3	24
185	2	9	TANGER MED	3	28
186	2	2	ALGECIRAS	4	21
187	2	3	VIGO	4	24
188	2	4	LEIXOES	4	25
189	2	5	SETUBAL	4	26
190	2	6	TANGER MED	4	27
191	2	7	ALGECIRAS	4	28
192	2	8	GHAZAOUET	4	31
193	2	9	TANGER MED	4	35
194	2	2	ALGECIRAS	5	28
195	2	3	VIGO	5	31
196	2	4	LEIXOES	5	32
197	2	5	SETUBAL	5	33
198	2	6	TANGER MED	5	34
199	2	7	ALGECIRAS	5	35
200	2	8	GHAZAOUET	5	38
201	2	9	TANGER MED	5	42
202	2	2	ALGECIRAS	6	35
203	2	3	VIGO	6	38
204	2	4	LEIXOES	6	39
205	2	5	SETUBAL	6	40
206	2	6	TANGER MED	6	41
207	2	7	ALGECIRAS	6	42
208	2	8	GHAZAOUET	6	45
209	2	9	TANGER MED	6	49
210	2	2	ALGECIRAS	7	42
211	2	3	VIGO	7	45
212	2	4	LEIXOES	7	46
213	2	5	SETUBAL	7	47
214	2	6	TANGER MED	7	48
215	2	7	ALGECIRAS	7	49
216	2	8	GHAZAOUET	7	52
217	2	9	TANGER MED	7	56
218	2	2	ALGECIRAS	8	49
219	2	3	VIGO	8	52
220	2	4	LEIXOES	8	53
221	2	5	SETUBAL	8	54
222	2	6	TANGER MED	8	55
223	2	7	ALGECIRAS	8	56
224	2	8	GHAZAOUET	8	59
225	2	9	TANGER MED	8	63
226	2	2	ALGECIRAS	9	56
227	2	3	VIGO	9	59
228	2	4	LEIXOES	9	60
229	2	5	SETUBAL	9	61
230	2	6	TANGER MED	9	62
231	2	7	ALGECIRAS	9	63
232	2	8	GHAZAOUET	9	66
233	2	9	TANGER MED	9	70
234	2	2	ALGECIRAS	10	63
235	2	3	VIGO	10	66
236	2	4	LEIXOES	10	67
237	2	5	SETUBAL	10	68
238	2	6	TANGER MED	10	69
239	2	7	ALGECIRAS	10	70
240	2	8	GHAZAOUET	10	73
241	2	9	TANGER MED	10	77
242	2	2	ALGECIRAS	11	70
243	2	3	VIGO	11	73
244	2	4	LEIXOES	11	74
245	2	5	SETUBAL	11	75
246	2	6	TANGER MED	11	76
247	2	7	ALGECIRAS	11	77
248	2	8	GHAZAOUET	11	80
249	2	9	TANGER MED	11	84
250	2	2	ALGECIRAS	12	77
251	2	3	VIGO	12	80
252	2	4	LEIXOES	12	81
253	2	5	SETUBAL	12	82
254	2	6	TANGER MED	12	83
255	2	7	ALGECIRAS	12	84
256	2	8	GHAZAOUET	12	87
257	2	9	TANGER MED	12	91
258	2	2	ALGECIRAS	13	84
259	2	3	VIGO	13	87
260	2	4	LEIXOES	13	88
261	2	5	SETUBAL	13	89
262	2	6	TANGER MED	13	90
263	2	7	ALGECIRAS	13	91
264	2	8	GHAZAOUET	13	94
265	2	9	TANGER MED	13	98
266	2	2	ALGECIRAS	14	91
267	2	3	VIGO	14	94
268	2	4	LEIXOES	14	95
269	2	5	SETUBAL	14	96
270	2	6	TANGER MED	14	97
