PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	ALGECIRAS	ANTWERP	1	180
2	ALGECIRAS	AQABA	1	180
3	ALGECIRAS	BARCELONA	1	180
4	ALGECIRAS	BREMERHAVEN	1	180
5	ALGECIRAS	DAMIETTA	1	180
6	ALGECIRAS	DAMMAM	1	180
7	ALGECIRAS	FOS SUR MER	1	180
8	ALGECIRAS	GENOA	1	180
9	ALGECIRAS	HAMAD	1	180
10	ALGECIRAS	HAMBURG	1	180
11	ALGECIRAS	HAZIRA(GJ)	1	180
12	ALGECIRAS	ISKENDERUN	1	180
13	ALGECIRAS	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
14	ALGECIRAS	IZMIT	1	180
15	ALGECIRAS	JEBEL ALI	1	180
16	ALGECIRAS	JEDDAH	1	180
17	ALGECIRAS	JUBAIL	1	180
18	ALGECIRAS	KARACHI	1	180
19	ALGECIRAS	KHALIFA PORT(ABU) DHABI	1	180
20	ALGECIRAS	LE HAVRE	1	180
21	ALGECIRAS	LONDON GATEWAY PORT(ESS)	1	180
22	ALGECIRAS	MERSIN	1	180
23	ALGECIRAS	MUNDRA	1	180
24	ALGECIRAS	NHAVA SHEVA	1	180
25	ALGECIRAS	PIRAEUS	1	180
26	ALGECIRAS	PORT SAID	1	180
27	ALGECIRAS	ROTTERDAM	1	180
28	ALGECIRAS	SOUTHAMPTON	1	180
29	ALGECIRAS	TANGER MED	1	180
30	ALGECIRAS	TRIPOLI(LB)	1	180
31	ALGECIRAS	VALENCIA	1	180
32	ANTWERP	ALGECIRAS	1	180
33	ANTWERP	AQABA	1	180
34	ANTWERP	BARCELONA	1	180
35	ANTWERP	BREMERHAVEN	1	180
36	ANTWERP	DAMIETTA	1	180
37	ANTWERP	DAMMAM	1	180
38	ANTWERP	FOS SUR MER	1	180
39	ANTWERP	GENOA	1	180
40	ANTWERP	HAMAD	1	180
41	ANTWERP	HAMBURG	1	180
42	ANTWERP	HAZIRA(GJ)	1	180
43	ANTWERP	ISKENDERUN	1	180
44	ANTWERP	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
45	ANTWERP	IZMIT	1	180
46	ANTWERP	JEBEL ALI	1	180
47	ANTWERP	JEDDAH	1	180
48	ANTWERP	JUBAIL	1	180
49	ANTWERP	KARACHI	1	180
50	ANTWERP	KHALIFA PORT(ABU) DHABI	1	180
51	ANTWERP	LE HAVRE	1	180
52	ANTWERP	LONDON GATEWAY PORT(ESS)	1	180
53	ANTWERP	MERSIN	1	180
54	ANTWERP	MUNDRA	1	180
55	ANTWERP	NHAVA SHEVA	1	180
56	ANTWERP	PIRAEUS	1	180
57	ANTWERP	PORT SAID	1	180
58	ANTWERP	ROTTERDAM	1	180
59	ANTWERP	SOUTHAMPTON	1	180
60	ANTWERP	TANGER MED	1	180
61	ANTWERP	TRIPOLI(LB)	1	180
62	ANTWERP	VALENCIA	1	180
63	AQABA	ALGECIRAS	1	180
64	AQABA	ANTWERP	1	180
65	AQABA	BARCELONA	1	180
66	AQABA	BREMERHAVEN	1	180
67	AQABA	DAMIETTA	1	180
68	AQABA	DAMMAM	1	180
69	AQABA	FOS SUR MER	1	180
70	AQABA	GENOA	1	180
71	AQABA	HAMAD	1	180
72	AQABA	HAMBURG	1	180
73	AQABA	HAZIRA(GJ)	1	180
74	AQABA	ISKENDERUN	1	180
75	AQABA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
76	AQABA	IZMIT	1	180
77	AQABA	JEBEL ALI	1	180
78	AQABA	JEDDAH	1	180
79	AQABA	JUBAIL	1	180
80	AQABA	KARACHI	1	180
81	AQABA	KHALIFA PORT(ABU) DHABI	1	180
82	AQABA	LE HAVRE	1	180
83	AQABA	LONDON GATEWAY PORT(ESS)	1	180
84	AQABA	MERSIN	1	180
85	AQABA	MUNDRA	1	180
86	AQABA	NHAVA SHEVA	1	180
87	AQABA	PIRAEUS	1	180
88	AQABA	PORT SAID	1	180
89	AQABA	ROTTERDAM	1	180
90	AQABA	SOUTHAMPTON	1	180
91	AQABA	TANGER MED	1	180
92	AQABA	TRIPOLI(LB)	1	180
93	AQABA	VALENCIA	1	180
94	BARCELONA	ALGECIRAS	1	180
95	BARCELONA	ANTWERP	1	180
96	BARCELONA	AQABA	1	180
97	BARCELONA	BREMERHAVEN	1	180
98	BARCELONA	DAMIETTA	1	180
99	BARCELONA	DAMMAM	1	180
100	BARCELONA	FOS SUR MER	1	180
101	BARCELONA	GENOA	1	180
102	BARCELONA	HAMAD	1	180
103	BARCELONA	HAMBURG	1	180
104	BARCELONA	HAZIRA(GJ)	1	180
105	BARCELONA	ISKENDERUN	1	180
106	BARCELONA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
107	BARCELONA	IZMIT	1	180
108	BARCELONA	JEBEL ALI	1	180
109	BARCELONA	JEDDAH	1	180
110	BARCELONA	JUBAIL	1	180
111	BARCELONA	KARACHI	1	180
112	BARCELONA	KHALIFA PORT(ABU) DHABI	1	180
113	BARCELONA	LE HAVRE	1	180
114	BARCELONA	LONDON GATEWAY PORT(ESS)	1	180
115	BARCELONA	MERSIN	1	180
116	BARCELONA	MUNDRA	1	180
117	BARCELONA	NHAVA SHEVA	1	180
118	BARCELONA	PIRAEUS	1	180
119	BARCELONA	PORT SAID	1	180
120	BARCELONA	ROTTERDAM	1	180
121	BARCELONA	SOUTHAMPTON	1	180
122	BARCELONA	TANGER MED	1	180
123	BARCELONA	TRIPOLI(LB)	1	180
124	BARCELONA	VALENCIA	1	180
125	BREMERHAVEN	ALGECIRAS	1	180
126	BREMERHAVEN	ANTWERP	1	180
127	BREMERHAVEN	AQABA	1	180
128	BREMERHAVEN	BARCELONA	1	180
129	BREMERHAVEN	DAMIETTA	1	180
130	BREMERHAVEN	DAMMAM	1	180
131	BREMERHAVEN	FOS SUR MER	1	180
132	BREMERHAVEN	GENOA	1	180
133	BREMERHAVEN	HAMAD	1	180
134	BREMERHAVEN	HAMBURG	1	180
135	BREMERHAVEN	HAZIRA(GJ)	1	180
136	BREMERHAVEN	ISKENDERUN	1	180
137	BREMERHAVEN	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
138	BREMERHAVEN	IZMIT	1	180
139	BREMERHAVEN	JEBEL ALI	1	180
140	BREMERHAVEN	JEDDAH	1	180
141	BREMERHAVEN	JUBAIL	1	180
142	BREMERHAVEN	KARACHI	1	180
143	BREMERHAVEN	KHALIFA PORT(ABU) DHABI	1	180
144	BREMERHAVEN	LE HAVRE	1	180
145	BREMERHAVEN	LONDON GATEWAY PORT(ESS)	1	180
146	BREMERHAVEN	MERSIN	1	180
147	BREMERHAVEN	MUNDRA	1	180
148	BREMERHAVEN	NHAVA SHEVA	1	180
149	BREMERHAVEN	PIRAEUS	1	180
150	BREMERHAVEN	PORT SAID	1	180
151	BREMERHAVEN	ROTTERDAM	1	180
152	BREMERHAVEN	SOUTHAMPTON	1	180
153	BREMERHAVEN	TANGER MED	1	180
154	BREMERHAVEN	TRIPOLI(LB)	1	180
155	BREMERHAVEN	VALENCIA	1	180
156	DAMIETTA	ALGECIRAS	1	180
157	DAMIETTA	ANTWERP	1	180
158	DAMIETTA	AQABA	1	180
159	DAMIETTA	BARCELONA	1	180
160	DAMIETTA	BREMERHAVEN	1	180
161	DAMIETTA	DAMMAM	1	180
162	DAMIETTA	FOS SUR MER	1	180
163	DAMIETTA	GENOA	1	180
164	DAMIETTA	HAMAD	1	180
165	DAMIETTA	HAMBURG	1	180
166	DAMIETTA	HAZIRA(GJ)	1	180
167	DAMIETTA	ISKENDERUN	1	180
168	DAMIETTA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
169	DAMIETTA	IZMIT	1	180
170	DAMIETTA	JEBEL ALI	1	180
171	DAMIETTA	JEDDAH	1	180
172	DAMIETTA	JUBAIL	1	180
173	DAMIETTA	KARACHI	1	180
174	DAMIETTA	KHALIFA PORT(ABU) DHABI	1	180
175	DAMIETTA	LE HAVRE	1	180
176	DAMIETTA	LONDON GATEWAY PORT(ESS)	1	180
177	DAMIETTA	MERSIN	1	180
178	DAMIETTA	MUNDRA	1	180
179	DAMIETTA	NHAVA SHEVA	1	180
180	DAMIETTA	PIRAEUS	1	180
181	DAMIETTA	PORT SAID	1	180
182	DAMIETTA	ROTTERDAM	1	180
183	DAMIETTA	SOUTHAMPTON	1	180
184	DAMIETTA	TANGER MED	1	180
185	DAMIETTA	TRIPOLI(LB)	1	180
186	DAMIETTA	VALENCIA	1	180
187	DAMMAM	ALGECIRAS	1	180
188	DAMMAM	ANTWERP	1	180
189	DAMMAM	AQABA	1	180
190	DAMMAM	BARCELONA	1	180
191	DAMMAM	BREMERHAVEN	1	180
192	DAMMAM	DAMIETTA	1	180
193	DAMMAM	FOS SUR MER	1	180
194	DAMMAM	GENOA	1	180
195	DAMMAM	HAMAD	1	180
196	DAMMAM	HAMBURG	1	180
197	DAMMAM	HAZIRA(GJ)	1	180
198	DAMMAM	ISKENDERUN	1	180
199	DAMMAM	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
200	DAMMAM	IZMIT	1	180
201	DAMMAM	JEBEL ALI	1	180
202	DAMMAM	JEDDAH	1	180
203	DAMMAM	JUBAIL	1	180
204	DAMMAM	KARACHI	1	180
205	DAMMAM	KHALIFA PORT(ABU) DHABI	1	180
206	DAMMAM	LE HAVRE	1	180
207	DAMMAM	LONDON GATEWAY PORT(ESS)	1	180
208	DAMMAM	MERSIN	1	180
209	DAMMAM	MUNDRA	1	180
210	DAMMAM	NHAVA SHEVA	1	180
211	DAMMAM	PIRAEUS	1	180
212	DAMMAM	PORT SAID	1	180
213	DAMMAM	ROTTERDAM	1	180
214	DAMMAM	SOUTHAMPTON	1	180
215	DAMMAM	TANGER MED	1	180
216	DAMMAM	TRIPOLI(LB)	1	180
217	DAMMAM	VALENCIA	1	180
218	FOS SUR MER	ALGECIRAS	1	180
219	FOS SUR MER	ANTWERP	1	180
220	FOS SUR MER	AQABA	1	180
221	FOS SUR MER	BARCELONA	1	180
222	FOS SUR MER	BREMERHAVEN	1	180
223	FOS SUR MER	DAMIETTA	1	180
224	FOS SUR MER	DAMMAM	1	180
225	FOS SUR MER	GENOA	1	180
226	FOS SUR MER	HAMAD	1	180
227	FOS SUR MER	HAMBURG	1	180
228	FOS SUR MER	HAZIRA(GJ)	1	180
229	FOS SUR MER	ISKENDERUN	1	180
230	FOS SUR MER	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
231	FOS SUR MER	IZMIT	1	180
232	FOS SUR MER	JEBEL ALI	1	180
233	FOS SUR MER	JEDDAH	1	180
234	FOS SUR MER	JUBAIL	1	180
235	FOS SUR MER	KARACHI	1	180
236	FOS SUR MER	KHALIFA PORT(ABU) DHABI	1	180
237	FOS SUR MER	LE HAVRE	1	180
238	FOS SUR MER	LONDON GATEWAY PORT(ESS)	1	180
239	FOS SUR MER	MERSIN	1	180
240	FOS SUR MER	MUNDRA	1	180
241	FOS SUR MER	NHAVA SHEVA	1	180
242	FOS SUR MER	PIRAEUS	1	180
243	FOS SUR MER	PORT SAID	1	180
244	FOS SUR MER	ROTTERDAM	1	180
245	FOS SUR MER	SOUTHAMPTON	1	180
246	FOS SUR MER	TANGER MED	1	180
247	FOS SUR MER	TRIPOLI(LB)	1	180
248	FOS SUR MER	VALENCIA	1	180
249	GENOA	ALGECIRAS	1	180
250	GENOA	ANTWERP	1	180
251	GENOA	AQABA	1	180
252	GENOA	BARCELONA	1	180
253	GENOA	BREMERHAVEN	1	180
254	GENOA	DAMIETTA	1	180
255	GENOA	DAMMAM	1	180
256	GENOA	FOS SUR MER	1	180
257	GENOA	HAMAD	1	180
258	GENOA	HAMBURG	1	180
259	GENOA	HAZIRA(GJ)	1	180
260	GENOA	ISKENDERUN	1	180
261	GENOA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
262	GENOA	IZMIT	1	180
263	GENOA	JEBEL ALI	1	180
264	GENOA	JEDDAH	1	180
265	GENOA	JUBAIL	1	180
266	GENOA	KARACHI	1	180
267	GENOA	KHALIFA PORT(ABU) DHABI	1	180
268	GENOA	LE HAVRE	1	180
269	GENOA	LONDON GATEWAY PORT(ESS)	1	180
270	GENOA	MERSIN	1	180
271	GENOA	MUNDRA	1	180
272	GENOA	NHAVA SHEVA	1	180
273	GENOA	PIRAEUS	1	180
274	GENOA	PORT SAID	1	180
275	GENOA	ROTTERDAM	1	180
276	GENOA	SOUTHAMPTON	1	180
277	GENOA	TANGER MED	1	180
278	GENOA	TRIPOLI(LB)	1	180
279	GENOA	VALENCIA	1	180
280	HAMAD	ALGECIRAS	1	180
281	HAMAD	ANTWERP	1	180
282	HAMAD	AQABA	1	180
283	HAMAD	BARCELONA	1	180
284	HAMAD	BREMERHAVEN	1	180
285	HAMAD	DAMIETTA	1	180
286	HAMAD	DAMMAM	1	180
287	HAMAD	FOS SUR MER	1	180
288	HAMAD	GENOA	1	180
289	HAMAD	HAMBURG	1	180
290	HAMAD	HAZIRA(GJ)	1	180
291	HAMAD	ISKENDERUN	1	180
292	HAMAD	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
293	HAMAD	IZMIT	1	180
294	HAMAD	JEBEL ALI	1	180
295	HAMAD	JEDDAH	1	180
296	HAMAD	JUBAIL	1	180
297	HAMAD	KARACHI	1	180
298	HAMAD	KHALIFA PORT(ABU) DHABI	1	180
299	HAMAD	LE HAVRE	1	180
300	HAMAD	LONDON GATEWAY PORT(ESS)	1	180
301	HAMAD	MERSIN	1	180
302	HAMAD	MUNDRA	1	180
303	HAMAD	NHAVA SHEVA	1	180
304	HAMAD	PIRAEUS	1	180
