VesselID	Capacity	OperationCost	RouteID	MaxNum
1	8102	10.033	1	1
2	8469	10.125	1	1
3	8586	10.154	1	1
4	7506	9.884	1	1
5	7506	9.884	1	1
6	7506	9.884	1	1
7	7506	9.884	1	1
8	5668	9.425	1	1
9	9448	9.37	2	1
10	9971	9.501	2	1
11	9040	9.268	2	1
12	8749	9.195	2	1
13	8770	9.2	2	1
14	9572	9.401	2	1
15	9572	9.401	2	1
16	10642	11.668	3	1
17	10642	11.668	3	1
18	8469	11.125	3	1
19	11388	11.855	3	1
20	11388	11.855	3	1
21	9415	11.362	3	1
22	8501	11.133	3	1
23	5080	10.278	3	1
24	8063	11.024	3	1
25	8749	10.195	4	1
26	8749	10.195	4	1
27	8241	10.068	4	1
28	8749	10.195	4	1
29	8749	10.195	4	1
30	8749	10.195	4	1
31	8749	10.195	4	1
32	9012	10.261	4	1
