TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1046	HAMAD	1	2	2	298	4	1	2
1047	HAMAD	1	2	9	314	11	1	2
1048	JEBEL ALI	2	4	5	301	9	1	2
1049	JEBEL ALI	2	4	5	313	9	1	2
1050	JEBEL ALI	2	4	12	317	16	1	2
1051	JEBEL ALI	2	4	12	329	16	1	2
1052	JEBEL ALI	2	4	5	604	9	1	3
1053	JEBEL ALI	2	4	12	619	16	1	3
1054	JEBEL ALI	2	4	5	850	9	1	4
1055	JEBEL ALI	2	4	12	864	16	1	4
1056	KARACHI	3	7	6	606	13	1	3
1057	KARACHI	3	7	13	621	20	1	3
1058	KARACHI	3	7	5	851	12	1	4
1059	KARACHI	3	7	12	865	19	1	4
1060	NHAVA SHEVA	4	9	0	592	9	1	3
1061	NHAVA SHEVA	4	9	7	607	16	1	3
1062	NHAVA SHEVA	4	9	5	852	14	1	4
1063	NHAVA SHEVA	4	9	12	866	21	1	4
1064	MUNDRA	5	12	6	608	18	1	3
1065	MUNDRA	5	12	13	623	25	1	3
1066	MUNDRA	5	12	5	854	17	1	4
1067	MUNDRA	5	12	12	868	24	1	4
1068	JEDDAH	6	19	5	318	24	1	2
1069	JEDDAH	6	19	12	334	31	1	2
1070	JEDDAH	6	19	0	594	19	1	3
1071	JEDDAH	6	19	7	609	26	1	3
1072	JEDDAH	6	19	5	855	24	1	4
1073	JEDDAH	6	19	12	869	31	1	4
1074	TRIPOLI(LB)	7	22	2	304	24	1	2
1075	TRIPOLI(LB)	7	22	9	320	31	1	2
1076	PIRAEUS	8	24	4	306	28	1	2
1077	PIRAEUS	8	24	11	322	35	1	2
1078	DAMIETTA	14	45	2	326	47	1	2
1079	DAMIETTA	14	45	9	342	54	1	2
1080	JEDDAH	16	52	6	343	58	1	2
1081	JEDDAH	16	52	13	359	65	1	2
1082	JEDDAH	16	52	0	382	52	1	2
1083	JEDDAH	16	52	7	398	59	1	2
1084	JEDDAH	16	52	5	602	57	1	3
1085	JEDDAH	16	52	12	617	64	1	3
1086	JEDDAH	16	52	2	669	54	1	3
1087	JEDDAH	16	52	9	684	61	1	3
1088	JEDDAH	16	52	0	848	52	1	4
1089	JEDDAH	16	52	7	862	59	1	4
1090	JEDDAH	16	52	0	911	52	1	4
1091	JEDDAH	16	52	7	925	59	1	4
1092	HAMAD	17	58	2	424	60	1	2
1093	HAMAD	17	58	9	439	67	1	2
1094	HAMAD	18	9	2	314	11	1	2
1095	HAMAD	18	9	9	330	18	1	2
1096	JEBEL ALI	19	11	5	317	16	1	2
1097	JEBEL ALI	19	11	5	329	16	1	2
1098	JEBEL ALI	19	11	12	333	23	1	2
1099	JEBEL ALI	19	11	12	345	23	1	2
1100	JEBEL ALI	19	11	5	619	16	1	3
1101	JEBEL ALI	19	11	12	634	23	1	3
1102	JEBEL ALI	19	11	5	864	16	1	4
1103	JEBEL ALI	19	11	12	878	23	1	4
1104	KARACHI	20	14	6	621	20	1	3
1105	KARACHI	20	14	13	636	27	1	3
1106	KARACHI	20	14	5	865	19	1	4
1107	KARACHI	20	14	12	879	26	1	4
1108	NHAVA SHEVA	21	16	0	607	16	1	3
1109	NHAVA SHEVA	21	16	7	622	23	1	3
1110	NHAVA SHEVA	21	16	5	866	21	1	4
1111	NHAVA SHEVA	21	16	12	880	28	1	4
1112	MUNDRA	22	19	6	623	25	1	3
1113	MUNDRA	22	19	13	638	32	1	3
1114	MUNDRA	22	19	5	868	24	1	4
1115	MUNDRA	22	19	12	882	31	1	4
1116	JEDDAH	23	26	5	334	31	1	2
1117	JEDDAH	23	26	12	350	38	1	2
1118	JEDDAH	23	26	0	609	26	1	3
1119	JEDDAH	23	26	7	624	33	1	3
1120	JEDDAH	23	26	5	869	31	1	4
1121	JEDDAH	23	26	12	883	38	1	4
1122	TRIPOLI(LB)	24	29	2	320	31	1	2
1123	TRIPOLI(LB)	24	29	9	336	38	1	2
1124	PIRAEUS	25	31	4	322	35	1	2
1125	PIRAEUS	25	31	11	338	42	1	2
1126	DAMIETTA	31	52	2	342	54	1	2
1127	DAMIETTA	31	52	9	358	61	1	2
1128	JEDDAH	33	59	6	359	65	1	2
1129	JEDDAH	33	59	13	375	72	1	2
1130	JEDDAH	33	59	0	398	59	1	2
1131	JEDDAH	33	59	7	413	66	1	2
1132	JEDDAH	33	59	5	617	64	1	3
1133	JEDDAH	33	59	12	632	71	1	3
1134	JEDDAH	33	59	2	684	61	1	3
1135	JEDDAH	33	59	9	699	68	1	3
1136	JEDDAH	33	59	0	862	59	1	4
1137	JEDDAH	33	59	7	876	66	1	4
1138	JEDDAH	33	59	0	925	59	1	4
1139	JEDDAH	33	59	7	939	66	1	4
1140	HAMAD	34	65	2	439	67	1	2
1141	HAMAD	34	65	9	454	74	1	2
1142	HAMAD	35	16	2	330	18	1	2
1143	HAMAD	35	16	9	346	25	1	2
1144	JEBEL ALI	36	18	5	333	23	1	2
1145	JEBEL ALI	36	18	5	345	23	1	2
1146	JEBEL ALI	36	18	12	349	30	1	2
1147	JEBEL ALI	36	18	12	361	30	1	2
1148	JEBEL ALI	36	18	5	634	23	1	3
1149	JEBEL ALI	36	18	12	649	30	1	3
1150	JEBEL ALI	36	18	5	878	23	1	4
1151	JEBEL ALI	36	18	12	892	30	1	4
1152	KARACHI	37	21	6	636	27	1	3
1153	KARACHI	37	21	13	651	34	1	3
1154	KARACHI	37	21	5	879	26	1	4
1155	KARACHI	37	21	12	893	33	1	4
1156	NHAVA SHEVA	38	23	0	622	23	1	3
1157	NHAVA SHEVA	38	23	7	637	30	1	3
1158	NHAVA SHEVA	38	23	5	880	28	1	4
1159	NHAVA SHEVA	38	23	12	894	35	1	4
