TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	HAMAD	1	2	2	2	2	JEBEL ALI	4
2	1	2	2	JEBEL ALI	1	4	3	3	3	KARACHI	7
3	1	3	3	KARACHI	1	7	2	4	4	NHAVA SHEVA	9
4	1	4	4	NHAVA SHEVA	1	9	3	5	5	MUNDRA	12
5	1	5	5	MUNDRA	1	12	7	6	6	JEDDAH	19
6	1	6	6	JEDDAH	1	19	3	7	7	TRIPOLI(LB)	22
7	1	7	7	TRIPOLI(LB)	1	22	2	8	8	PIRAEUS	24
8	1	8	8	PIRAEUS	1	24	6	9	9	GENOA	30
9	1	9	9	GENOA	1	30	3	10	10	VALENCIA	33
10	1	10	10	VALENCIA	1	33	2	11	11	BARCELONA	35
11	1	11	11	BARCELONA	1	35	1	12	12	FOS SUR MER	36
12	1	12	12	FOS SUR MER	1	36	2	13	13	GENOA	38
13	1	13	13	GENOA	1	38	7	14	14	DAMIETTA	45
14	1	14	14	DAMIETTA	1	45	3	15	15	AQABA	48
15	1	15	15	AQABA	1	48	4	16	16	JEDDAH	52
16	1	16	16	JEDDAH	1	52	6	17	17	HAMAD	58
17	1	17	17	HAMAD	1	58	2	137	2	JEBEL ALI	60
18	1	18	1	HAMAD	2	9	2	19	2	JEBEL ALI	11
19	1	19	2	JEBEL ALI	2	11	3	20	3	KARACHI	14
20	1	20	3	KARACHI	2	14	2	21	4	NHAVA SHEVA	16
21	1	21	4	NHAVA SHEVA	2	16	3	22	5	MUNDRA	19
22	1	22	5	MUNDRA	2	19	7	23	6	JEDDAH	26
23	1	23	6	JEDDAH	2	26	3	24	7	TRIPOLI(LB)	29
24	1	24	7	TRIPOLI(LB)	2	29	2	25	8	PIRAEUS	31
25	1	25	8	PIRAEUS	2	31	6	26	9	GENOA	37
26	1	26	9	GENOA	2	37	3	27	10	VALENCIA	40
27	1	27	10	VALENCIA	2	40	2	28	11	BARCELONA	42
28	1	28	11	BARCELONA	2	42	1	29	12	FOS SUR MER	43
29	1	29	12	FOS SUR MER	2	43	2	30	13	GENOA	45
30	1	30	13	GENOA	2	45	7	31	14	DAMIETTA	52
31	1	31	14	DAMIETTA	2	52	3	32	15	AQABA	55
32	1	32	15	AQABA	2	55	4	33	16	JEDDAH	59
33	1	33	16	JEDDAH	2	59	6	34	17	HAMAD	65
34	1	34	17	HAMAD	2	65	2	153	2	JEBEL ALI	67
35	1	35	1	HAMAD	3	16	2	36	2	JEBEL ALI	18
36	1	36	2	JEBEL ALI	3	18	3	37	3	KARACHI	21
37	1	37	3	KARACHI	3	21	2	38	4	NHAVA SHEVA	23
38	1	38	4	NHAVA SHEVA	3	23	3	39	5	MUNDRA	26
39	1	39	5	MUNDRA	3	26	7	40	6	JEDDAH	33
40	1	40	6	JEDDAH	3	33	3	41	7	TRIPOLI(LB)	36
41	1	41	7	TRIPOLI(LB)	3	36	2	42	8	PIRAEUS	38
42	1	42	8	PIRAEUS	3	38	6	43	9	GENOA	44
43	1	43	9	GENOA	3	44	3	44	10	VALENCIA	47
44	1	44	10	VALENCIA	3	47	2	45	11	BARCELONA	49
45	1	45	11	BARCELONA	3	49	1	46	12	FOS SUR MER	50
46	1	46	12	FOS SUR MER	3	50	2	47	13	GENOA	52
47	1	47	13	GENOA	3	52	7	48	14	DAMIETTA	59
48	1	48	14	DAMIETTA	3	59	3	49	15	AQABA	62
49	1	49	15	AQABA	3	62	4	50	16	JEDDAH	66
50	1	50	16	JEDDAH	3	66	6	51	17	HAMAD	72
51	1	51	17	HAMAD	3	72	2	169	2	JEBEL ALI	74
52	1	52	1	HAMAD	4	23	2	53	2	JEBEL ALI	25
53	1	53	2	JEBEL ALI	4	25	3	54	3	KARACHI	28
54	1	54	3	KARACHI	4	28	2	55	4	NHAVA SHEVA	30
55	1	55	4	NHAVA SHEVA	4	30	3	56	5	MUNDRA	33
56	1	56	5	MUNDRA	4	33	7	57	6	JEDDAH	40
57	1	57	6	JEDDAH	4	40	3	58	7	TRIPOLI(LB)	43
58	1	58	7	TRIPOLI(LB)	4	43	2	59	8	PIRAEUS	45
59	1	59	8	PIRAEUS	4	45	6	60	9	GENOA	51
60	1	60	9	GENOA	4	51	3	61	10	VALENCIA	54
61	1	61	10	VALENCIA	4	54	2	62	11	BARCELONA	56
62	1	62	11	BARCELONA	4	56	1	63	12	FOS SUR MER	57
63	1	63	12	FOS SUR MER	4	57	2	64	13	GENOA	59
64	1	64	13	GENOA	4	59	7	65	14	DAMIETTA	66
65	1	65	14	DAMIETTA	4	66	3	66	15	AQABA	69
66	1	66	15	AQABA	4	69	4	67	16	JEDDAH	73
67	1	67	16	JEDDAH	4	73	6	68	17	HAMAD	79
68	1	68	17	HAMAD	4	79	2	185	2	JEBEL ALI	81
69	1	69	1	HAMAD	5	30	2	70	2	JEBEL ALI	32
70	1	70	2	JEBEL ALI	5	32	3	71	3	KARACHI	35
71	1	71	3	KARACHI	5	35	2	72	4	NHAVA SHEVA	37
72	1	72	4	NHAVA SHEVA	5	37	3	73	5	MUNDRA	40
73	1	73	5	MUNDRA	5	40	7	74	6	JEDDAH	47
74	1	74	6	JEDDAH	5	47	3	75	7	TRIPOLI(LB)	50
75	1	75	7	TRIPOLI(LB)	5	50	2	76	8	PIRAEUS	52
