ID	Route	Call	Port	Round_trip	Time
1	1	1	HAMAD	1	2
2	1	2	JEBEL ALI	1	4
3	1	3	KARACHI	1	7
4	1	4	NHAVA SHEVA	1	9
5	1	5	MUNDRA	1	12
6	1	6	JEDDAH	1	19
7	1	7	TRIPOLI(LB)	1	22
8	1	8	PIRAEUS	1	24
9	1	9	GENOA	1	30
10	1	10	VALENCIA	1	33
11	1	11	BARCELONA	1	35
12	1	12	FOS SUR MER	1	36
13	1	13	GENOA	1	38
14	1	14	DAMIETTA	1	45
15	1	15	AQABA	1	48
16	1	16	JEDDAH	1	52
17	1	17	HAMAD	1	58
18	1	1	HAMAD	2	9
19	1	2	JEBEL ALI	2	11
20	1	3	KARACHI	2	14
21	1	4	NHAVA SHEVA	2	16
22	1	5	MUNDRA	2	19
23	1	6	JEDDAH	2	26
24	1	7	TRIPOLI(LB)	2	29
25	1	8	PIRAEUS	2	31
26	1	9	GENOA	2	37
27	1	10	VALENCIA	2	40
28	1	11	BARCELONA	2	42
29	1	12	FOS SUR MER	2	43
30	1	13	GENOA	2	45
31	1	14	DAMIETTA	2	52
32	1	15	AQABA	2	55
33	1	16	JEDDAH	2	59
34	1	17	HAMAD	2	65
35	1	1	HAMAD	3	16
36	1	2	JEBEL ALI	3	18
37	1	3	KARACHI	3	21
38	1	4	NHAVA SHEVA	3	23
39	1	5	MUNDRA	3	26
40	1	6	JEDDAH	3	33
41	1	7	TRIPOLI(LB)	3	36
42	1	8	PIRAEUS	3	38
43	1	9	GENOA	3	44
44	1	10	VALENCIA	3	47
45	1	11	BARCELONA	3	49
46	1	12	FOS SUR MER	3	50
47	1	13	GENOA	3	52
48	1	14	DAMIETTA	3	59
49	1	15	AQABA	3	62
50	1	16	JEDDAH	3	66
51	1	17	HAMAD	3	72
52	1	1	HAMAD	4	23
53	1	2	JEBEL ALI	4	25
54	1	3	KARACHI	4	28
55	1	4	NHAVA SHEVA	4	30
56	1	5	MUNDRA	4	33
57	1	6	JEDDAH	4	40
58	1	7	TRIPOLI(LB)	4	43
59	1	8	PIRAEUS	4	45
60	1	9	GENOA	4	51
61	1	10	VALENCIA	4	54
62	1	11	BARCELONA	4	56
63	1	12	FOS SUR MER	4	57
64	1	13	GENOA	4	59
65	1	14	DAMIETTA	4	66
66	1	15	AQABA	4	69
67	1	16	JEDDAH	4	73
68	1	17	HAMAD	4	79
69	1	1	HAMAD	5	30
70	1	2	JEBEL ALI	5	32
71	1	3	KARACHI	5	35
72	1	4	NHAVA SHEVA	5	37
73	1	5	MUNDRA	5	40
74	1	6	JEDDAH	5	47
75	1	7	TRIPOLI(LB)	5	50
76	1	8	PIRAEUS	5	52
77	1	9	GENOA	5	58
78	1	10	VALENCIA	5	61
79	1	11	BARCELONA	5	63
80	1	12	FOS SUR MER	5	64
81	1	13	GENOA	5	66
82	1	14	DAMIETTA	5	73
83	1	15	AQABA	5	76
84	1	16	JEDDAH	5	80
85	1	17	HAMAD	5	86
86	1	1	HAMAD	6	37
87	1	2	JEBEL ALI	6	39
88	1	3	KARACHI	6	42
89	1	4	NHAVA SHEVA	6	44
90	1	5	MUNDRA	6	47
91	1	6	JEDDAH	6	54
92	1	7	TRIPOLI(LB)	6	57
93	1	8	PIRAEUS	6	59
94	1	9	GENOA	6	65
95	1	10	VALENCIA	6	68
96	1	11	BARCELONA	6	70
97	1	12	FOS SUR MER	6	71
98	1	13	GENOA	6	73
99	1	14	DAMIETTA	6	80
100	1	15	AQABA	6	83
101	1	16	JEDDAH	6	87
102	1	17	HAMAD	6	93
103	1	1	HAMAD	7	44
104	1	2	JEBEL ALI	7	46
105	1	3	KARACHI	7	49
106	1	4	NHAVA SHEVA	7	51
107	1	5	MUNDRA	7	54
108	1	6	JEDDAH	7	61
109	1	7	TRIPOLI(LB)	7	64
110	1	8	PIRAEUS	7	66
111	1	9	GENOA	7	72
112	1	10	VALENCIA	7	75
113	1	11	BARCELONA	7	77
114	1	12	FOS SUR MER	7	78
115	1	13	GENOA	7	80
116	1	14	DAMIETTA	7	87
117	1	15	AQABA	7	90
118	1	16	JEDDAH	7	94
119	1	17	HAMAD	7	100
120	1	1	HAMAD	8	51
121	1	2	JEBEL ALI	8	53
122	1	3	KARACHI	8	56
123	1	4	NHAVA SHEVA	8	58
124	1	5	MUNDRA	8	61
125	1	6	JEDDAH	8	68
126	1	7	TRIPOLI(LB)	8	71
127	1	8	PIRAEUS	8	73
128	1	9	GENOA	8	79
129	1	10	VALENCIA	8	82
130	1	11	BARCELONA	8	84
131	1	12	FOS SUR MER	8	85
132	1	13	GENOA	8	87
133	1	14	DAMIETTA	8	94
134	1	15	AQABA	8	97
135	1	16	JEDDAH	8	101
136	1	17	HAMAD	8	107
137	1	2	JEBEL ALI	9	60
138	1	3	KARACHI	9	63
139	1	4	NHAVA SHEVA	9	65
140	1	5	MUNDRA	9	68
