PortID	Port	WhetherTrans	Region	Group
1	ALGECIRAS	1	EUROPE	4
2	LIVORNO	1	EUROPE	4
3	GENOA	1	EUROPE	4
4	FOS SUR MER	1	EUROPE	4
5	BARCELONA	0	EUROPE	4
6	VALENCIA	1	EUROPE	4
7	NEW YORK(NY)	1	AMERICA North	2
8	NORFOLK(VA)	1	AMERICA North	2
9	SAVANNAH(GA)	1	AMERICA North	2
10	MIAMI(FL)	1	AMERICA North	2
11	TANGER MED	1	AFRICA	5
12	VIGO	0	EUROPE	4
13	MONTREAL(QC)	1	AMERICA North	2
14	SAGUNTO	0	EUROPE	4
15	SALERNO	0	EUROPE	4
16	VERACRUZ	0	AMERICA North	2
17	ALTAMIRA	0	AMERICA North	2
18	HOUSTON(TX)	0	AMERICA North	2
19	ISKENDERUN	0	ASIA	1
20	ISTANBUL(AMBARLI) PORT E. SIDE	0	EUROPE	4
21	PIRAEUS	0	EUROPE	4
22	VADO LIGURE	0	EUROPE	4
23	LA SPEZIA	0	EUROPE	4
24	SOUTHAMPTON	0	EUROPE	4
25	ANTWERP	1	EUROPE	4
26	ROTTERDAM	1	EUROPE	4
27	BREMERHAVEN	1	EUROPE	4
28	LE HAVRE	0	EUROPE	4
29	CHARLESTON(SC)	0	AMERICA North	2
30	HALIFAX(NS)	0	AMERICA North	2
