VesselID	Capacity	OperationCost	RouteID	MaxNum
1	8749	8.196	1	1
2	8749	8.196	1	1
3	8749	8.196	1	1
4	8469	8.126	1	1
5	8488	8.131	1	1
6	8063	8.025	1	1
7	2956	7.748	2	1
8	3832	7.967	2	1
9	3832	7.967	2	1
10	4121	8.039	2	1
11	2400	7.609	2	1
12	3832	7.967	2	1
13	4121	8.039	2	1
14	2478	6.629	3	1
15	2553	6.647	3	1
16	2824	6.715	3	1
17	2564	6.65	3	1
18	3091	6.782	3	1
19	2345	6.595	3	1
20	4600	7.159	4	1
21	4251	7.072	4	1
22	6840	7.719	4	1
23	4250	7.072	4	1
24	4975	7.253	4	1
25	4253	7.072	4	1
26	11388	8.856	5	1
27	11388	8.856	5	1
28	13114	9.288	5	1
29	13114	9.288	5	1
30	13114	9.288	5	1
31	13808	9.461	5	1
32	2487	4.631	6	1
33	3091	4.782	6	1
34	3600	4.909	6	1
35	3600	4.909	6	1
