TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
970	ALGECIRAS	1	7	6	200	13	1	2
971	ALGECIRAS	1	7	13	211	20	1	2
972	ALGECIRAS	1	7	13	528	20	1	4
973	LIVORNO	2	11	3	208	14	1	2
974	LIVORNO	2	11	10	219	21	1	2
975	GENOA	3	12	3	209	15	1	2
976	GENOA	3	12	10	220	22	1	2
977	GENOA	3	12	5	393	17	1	3
978	GENOA	3	12	12	401	24	1	3
979	FOS SUR MER	4	15	2	210	17	1	2
980	FOS SUR MER	4	15	9	221	24	1	2
981	VALENCIA	6	19	2	394	21	1	3
982	VALENCIA	6	19	9	402	28	1	3
983	NEW YORK, NY	7	29	0	529	29	1	4
984	NEW YORK, NY	7	29	7	540	36	1	4
985	NEW YORK, NY	7	29	4	734	33	1	5
986	NEW YORK, NY	7	29	11	744	40	1	5
987	NORFOLK, VA	8	31	0	530	31	1	4
988	NORFOLK, VA	8	31	7	541	38	1	4
989	NORFOLK, VA	8	31	6	735	37	1	5
990	NORFOLK, VA	8	31	13	745	44	1	5
991	SAVANNAH, GA	9	34	6	542	40	1	4
992	SAVANNAH, GA	9	34	13	553	47	1	4
993	SAVANNAH, GA	9	34	0	726	34	1	5
994	SAVANNAH, GA	9	34	7	736	41	1	5
995	MIAMI, FL	10	36	4	403	40	1	3
996	MIAMI, FL	10	36	11	411	47	1	3
997	ALGECIRAS	11	49	6	266	55	1	2
998	ALGECIRAS	11	49	13	276	62	1	2
999	ALGECIRAS	11	49	1	543	50	1	4
1000	ALGECIRAS	11	49	8	554	57	1	4
1001	ALGECIRAS	11	49	6	583	55	1	4
1002	ALGECIRAS	11	49	13	593	62	1	4
1003	ALGECIRAS	12	14	6	211	20	1	2
1004	ALGECIRAS	12	14	13	222	27	1	2
1005	ALGECIRAS	12	14	6	528	20	1	4
1006	ALGECIRAS	12	14	13	539	27	1	4
1007	LIVORNO	13	18	3	219	21	1	2
1008	LIVORNO	13	18	10	230	28	1	2
1009	GENOA	14	19	3	220	22	1	2
1010	GENOA	14	19	10	231	29	1	2
1011	GENOA	14	19	5	401	24	1	3
1012	GENOA	14	19	12	409	31	1	3
1013	FOS SUR MER	15	22	2	221	24	1	2
1014	FOS SUR MER	15	22	9	232	31	1	2
1015	VALENCIA	17	26	2	402	28	1	3
1016	VALENCIA	17	26	9	410	35	1	3
1017	NEW YORK, NY	18	36	0	540	36	1	4
1018	NEW YORK, NY	18	36	7	551	43	1	4
1019	NEW YORK, NY	18	36	4	744	40	1	5
1020	NEW YORK, NY	18	36	11	754	47	1	5
1021	NORFOLK, VA	19	38	0	541	38	1	4
1022	NORFOLK, VA	19	38	7	552	45	1	4
1023	NORFOLK, VA	19	38	6	745	44	1	5
1024	NORFOLK, VA	19	38	13	755	51	1	5
1025	SAVANNAH, GA	20	41	6	553	47	1	4
1026	SAVANNAH, GA	20	41	13	564	54	1	4
1027	SAVANNAH, GA	20	41	0	736	41	1	5
1028	SAVANNAH, GA	20	41	7	746	48	1	5
1029	MIAMI, FL	21	43	4	411	47	1	3
1030	MIAMI, FL	21	43	11	419	54	1	3
1031	ALGECIRAS	22	56	6	276	62	1	2
1032	ALGECIRAS	22	56	13	286	69	1	2
1033	ALGECIRAS	22	56	1	554	57	1	4
1034	ALGECIRAS	22	56	8	565	64	1	4
1035	ALGECIRAS	22	56	6	593	62	1	4
1036	ALGECIRAS	22	56	13	603	69	1	4
1037	ALGECIRAS	23	21	6	222	27	1	2
1038	ALGECIRAS	23	21	13	233	34	1	2
1039	ALGECIRAS	23	21	6	539	27	1	4
1040	ALGECIRAS	23	21	13	550	34	1	4
1041	LIVORNO	24	25	3	230	28	1	2
1042	LIVORNO	24	25	10	241	35	1	2
1043	GENOA	25	26	3	231	29	1	2
1044	GENOA	25	26	10	242	36	1	2
1045	GENOA	25	26	5	409	31	1	3
1046	GENOA	25	26	12	417	38	1	3
1047	FOS SUR MER	26	29	2	232	31	1	2
1048	FOS SUR MER	26	29	9	243	38	1	2
1049	VALENCIA	28	33	2	410	35	1	3
1050	VALENCIA	28	33	9	418	42	1	3
1051	NEW YORK, NY	29	43	0	551	43	1	4
1052	NEW YORK, NY	29	43	7	562	50	1	4
1053	NEW YORK, NY	29	43	4	754	47	1	5
1054	NEW YORK, NY	29	43	11	764	54	1	5
1055	NORFOLK, VA	30	45	0	552	45	1	4
1056	NORFOLK, VA	30	45	7	563	52	1	4
1057	NORFOLK, VA	30	45	6	755	51	1	5
1058	NORFOLK, VA	30	45	13	765	58	1	5
1059	SAVANNAH, GA	31	48	6	564	54	1	4
1060	SAVANNAH, GA	31	48	13	575	61	1	4
1061	SAVANNAH, GA	31	48	0	746	48	1	5
1062	SAVANNAH, GA	31	48	7	756	55	1	5
1063	MIAMI, FL	32	50	4	419	54	1	3
1064	MIAMI, FL	32	50	11	427	61	1	3
1065	ALGECIRAS	33	63	6	286	69	1	2
1066	ALGECIRAS	33	63	13	296	76	1	2
1067	ALGECIRAS	33	63	1	565	64	1	4
1068	ALGECIRAS	33	63	8	576	71	1	4
1069	ALGECIRAS	33	63	6	603	69	1	4
1070	ALGECIRAS	33	63	13	613	76	1	4
1071	ALGECIRAS	34	28	6	233	34	1	2
1072	ALGECIRAS	34	28	13	244	41	1	2
1073	ALGECIRAS	34	28	6	550	34	1	4
1074	ALGECIRAS	34	28	13	561	41	1	4
1075	LIVORNO	35	32	3	241	35	1	2
1076	LIVORNO	35	32	10	252	42	1	2
1077	GENOA	36	33	3	242	36	1	2
1078	GENOA	36	33	10	253	43	1	2
1079	GENOA	36	33	5	417	38	1	3
1080	GENOA	36	33	12	425	45	1	3
1081	FOS SUR MER	37	36	2	243	38	1	2
1082	FOS SUR MER	37	36	9	254	45	1	2
1083	VALENCIA	39	40	2	418	42	1	3
1084	VALENCIA	39	40	9	426	49	1	3
1085	NEW YORK, NY	40	50	0	562	50	1	4
1086	NEW YORK, NY	40	50	7	573	57	1	4
1087	NEW YORK, NY	40	50	4	764	54	1	5
1088	NEW YORK, NY	40	50	11	774	61	1	5
1089	NORFOLK, VA	41	52	0	563	52	1	4
1090	NORFOLK, VA	41	52	7	574	59	1	4
1091	NORFOLK, VA	41	52	6	765	58	1	5
1092	NORFOLK, VA	41	52	13	775	65	1	5
1093	SAVANNAH, GA	42	55	6	575	61	1	4
1094	SAVANNAH, GA	42	55	13	586	68	1	4
1095	SAVANNAH, GA	42	55	0	756	55	1	5
1096	SAVANNAH, GA	42	55	7	766	62	1	5
1097	MIAMI, FL	43	57	4	427	61	1	3
1098	MIAMI, FL	43	57	11	434	68	1	3
1099	ALGECIRAS	44	70	6	296	76	1	2
1100	ALGECIRAS	44	70	13	306	83	1	2
1101	ALGECIRAS	44	70	1	576	71	1	4
1102	ALGECIRAS	44	70	8	587	78	1	4
1103	ALGECIRAS	44	70	6	613	76	1	4
1104	ALGECIRAS	44	70	13	623	83	1	4
1105	ALGECIRAS	45	35	6	244	41	1	2
1106	ALGECIRAS	45	35	13	255	48	1	2
1107	ALGECIRAS	45	35	8	532	43	1	4
1108	ALGECIRAS	45	35	6	561	41	1	4
1109	ALGECIRAS	45	35	13	572	48	1	4
1110	LIVORNO	46	39	3	252	42	1	2
1111	LIVORNO	46	39	10	263	49	1	2
1112	GENOA	47	40	3	253	43	1	2
1113	GENOA	47	40	10	264	50	1	2
1114	GENOA	47	40	5	425	45	1	3
1115	GENOA	47	40	12	432	52	1	3
1116	FOS SUR MER	48	43	2	254	45	1	2
1117	FOS SUR MER	48	43	9	265	52	1	2
1118	VALENCIA	50	47	2	426	49	1	3
1119	VALENCIA	50	47	9	433	56	1	3
1120	NEW YORK, NY	51	57	0	573	57	1	4
1121	NEW YORK, NY	51	57	7	584	64	1	4
1122	NEW YORK, NY	51	57	4	774	61	1	5
1123	NEW YORK, NY	51	57	11	783	68	1	5
1124	NORFOLK, VA	52	59	0	574	59	1	4
1125	NORFOLK, VA	52	59	7	585	66	1	4
1126	NORFOLK, VA	52	59	6	775	65	1	5
1127	NORFOLK, VA	52	59	13	784	72	1	5
1128	SAVANNAH, GA	53	62	6	586	68	1	4
1129	SAVANNAH, GA	53	62	13	596	75	1	4
1130	SAVANNAH, GA	53	62	0	766	62	1	5
1131	SAVANNAH, GA	53	62	7	776	69	1	5
1132	MIAMI, FL	54	64	4	434	68	1	3
1133	MIAMI, FL	54	64	11	441	75	1	3
1134	ALGECIRAS	55	77	6	306	83	1	2
1135	ALGECIRAS	55	77	13	316	90	1	2
1136	ALGECIRAS	55	77	1	587	78	1	4
1137	ALGECIRAS	55	77	8	597	85	1	4
1138	ALGECIRAS	55	77	6	623	83	1	4
1139	ALGECIRAS	55	77	13	633	90	1	4
1140	ALGECIRAS	56	42	6	255	48	1	2
1141	ALGECIRAS	56	42	13	266	55	1	2
1142	ALGECIRAS	56	42	1	532	43	1	4
1143	ALGECIRAS	56	42	8	543	50	1	4
1144	ALGECIRAS	56	42	6	572	48	1	4
1145	ALGECIRAS	56	42	13	583	55	1	4
1146	LIVORNO	57	46	10	207	56	1	2
1147	LIVORNO	57	46	3	263	49	1	2
1148	GENOA	58	47	3	264	50	1	2
1149	GENOA	58	47	10	274	57	1	2
1150	GENOA	58	47	5	432	52	1	3
1151	GENOA	58	47	12	439	59	1	3
1152	FOS SUR MER	59	50	2	265	52	1	2
1153	FOS SUR MER	59	50	9	275	59	1	2
1154	VALENCIA	61	54	2	433	56	1	3
1155	VALENCIA	61	54	9	440	63	1	3
1156	NEW YORK, NY	62	64	0	584	64	1	4
1157	NEW YORK, NY	62	64	7	594	71	1	4
1158	NEW YORK, NY	62	64	4	783	68	1	5
1159	NEW YORK, NY	62	64	11	792	75	1	5
1160	NORFOLK, VA	63	66	0	585	66	1	4
1161	NORFOLK, VA	63	66	7	595	73	1	4
1162	NORFOLK, VA	63	66	6	784	72	1	5
1163	NORFOLK, VA	63	66	13	793	79	1	5
1164	SAVANNAH, GA	64	69	6	596	75	1	4
1165	SAVANNAH, GA	64	69	13	606	82	1	4
1166	SAVANNAH, GA	64	69	0	776	69	1	5
1167	SAVANNAH, GA	64	69	7	785	76	1	5
1168	MIAMI, FL	65	71	4	441	75	1	3
1169	MIAMI, FL	65	71	11	448	82	1	3
1170	ALGECIRAS	66	84	6	316	90	1	2
1171	ALGECIRAS	66	84	13	326	97	1	2
1172	ALGECIRAS	66	84	1	597	85	1	4
1173	ALGECIRAS	66	84	8	607	92	1	4
1174	ALGECIRAS	66	84	6	633	90	1	4
1175	ALGECIRAS	66	84	13	643	97	1	4
1176	LIVORNO	67	53	3	207	56	1	2
1177	LIVORNO	67	53	10	218	63	1	2
1178	GENOA	68	54	3	274	57	1	2
1179	GENOA	68	54	10	284	64	1	2
1180	GENOA	68	54	5	439	59	1	3
1181	GENOA	68	54	12	446	66	1	3
1182	FOS SUR MER	69	57	2	275	59	1	2
1183	FOS SUR MER	69	57	9	285	66	1	2
1184	VALENCIA	71	61	2	440	63	1	3
1185	VALENCIA	71	61	9	447	70	1	3
