TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	ALGECIRAS	1	7	4	2	2	LIVORNO	11
2	1	2	2	LIVORNO	1	11	1	3	3	GENOA	12
3	1	3	3	GENOA	1	12	3	4	4	FOS SUR MER	15
4	1	4	4	FOS SUR MER	1	15	2	5	5	BARCELONA	17
5	1	5	5	BARCELONA	1	17	2	6	6	VALENCIA	19
6	1	6	6	VALENCIA	1	19	10	7	7	NEW YORK, NY	29
7	1	7	7	NEW YORK, NY	1	29	2	8	8	NORFOLK, VA	31
8	1	8	8	NORFOLK, VA	1	31	3	9	9	SAVANNAH, GA	34
9	1	9	9	SAVANNAH, GA	1	34	2	10	10	MIAMI, FL	36
10	1	10	10	MIAMI, FL	1	36	13	11	11	ALGECIRAS	49
11	1	11	11	ALGECIRAS	1	49	4	67	2	LIVORNO	53
12	1	12	1	ALGECIRAS	2	14	4	13	2	LIVORNO	18
13	1	13	2	LIVORNO	2	18	1	14	3	GENOA	19
14	1	14	3	GENOA	2	19	3	15	4	FOS SUR MER	22
15	1	15	4	FOS SUR MER	2	22	2	16	5	BARCELONA	24
16	1	16	5	BARCELONA	2	24	2	17	6	VALENCIA	26
17	1	17	6	VALENCIA	2	26	10	18	7	NEW YORK, NY	36
18	1	18	7	NEW YORK, NY	2	36	2	19	8	NORFOLK, VA	38
19	1	19	8	NORFOLK, VA	2	38	3	20	9	SAVANNAH, GA	41
20	1	20	9	SAVANNAH, GA	2	41	2	21	10	MIAMI, FL	43
21	1	21	10	MIAMI, FL	2	43	13	22	11	ALGECIRAS	56
22	1	22	11	ALGECIRAS	2	56	4	77	2	LIVORNO	60
23	1	23	1	ALGECIRAS	3	21	4	24	2	LIVORNO	25
24	1	24	2	LIVORNO	3	25	1	25	3	GENOA	26
25	1	25	3	GENOA	3	26	3	26	4	FOS SUR MER	29
26	1	26	4	FOS SUR MER	3	29	2	27	5	BARCELONA	31
27	1	27	5	BARCELONA	3	31	2	28	6	VALENCIA	33
28	1	28	6	VALENCIA	3	33	10	29	7	NEW YORK, NY	43
29	1	29	7	NEW YORK, NY	3	43	2	30	8	NORFOLK, VA	45
30	1	30	8	NORFOLK, VA	3	45	3	31	9	SAVANNAH, GA	48
31	1	31	9	SAVANNAH, GA	3	48	2	32	10	MIAMI, FL	50
32	1	32	10	MIAMI, FL	3	50	13	33	11	ALGECIRAS	63
33	1	33	11	ALGECIRAS	3	63	4	87	2	LIVORNO	67
34	1	34	1	ALGECIRAS	4	28	4	35	2	LIVORNO	32
35	1	35	2	LIVORNO	4	32	1	36	3	GENOA	33
36	1	36	3	GENOA	4	33	3	37	4	FOS SUR MER	36
37	1	37	4	FOS SUR MER	4	36	2	38	5	BARCELONA	38
38	1	38	5	BARCELONA	4	38	2	39	6	VALENCIA	40
39	1	39	6	VALENCIA	4	40	10	40	7	NEW YORK, NY	50
40	1	40	7	NEW YORK, NY	4	50	2	41	8	NORFOLK, VA	52
41	1	41	8	NORFOLK, VA	4	52	3	42	9	SAVANNAH, GA	55
42	1	42	9	SAVANNAH, GA	4	55	2	43	10	MIAMI, FL	57
43	1	43	10	MIAMI, FL	4	57	13	44	11	ALGECIRAS	70
44	1	44	11	ALGECIRAS	4	70	4	97	2	LIVORNO	74
45	1	45	1	ALGECIRAS	5	35	4	46	2	LIVORNO	39
46	1	46	2	LIVORNO	5	39	1	47	3	GENOA	40
47	1	47	3	GENOA	5	40	3	48	4	FOS SUR MER	43
48	1	48	4	FOS SUR MER	5	43	2	49	5	BARCELONA	45
49	1	49	5	BARCELONA	5	45	2	50	6	VALENCIA	47
50	1	50	6	VALENCIA	5	47	10	51	7	NEW YORK, NY	57
51	1	51	7	NEW YORK, NY	5	57	2	52	8	NORFOLK, VA	59
52	1	52	8	NORFOLK, VA	5	59	3	53	9	SAVANNAH, GA	62
53	1	53	9	SAVANNAH, GA	5	62	2	54	10	MIAMI, FL	64
54	1	54	10	MIAMI, FL	5	64	13	55	11	ALGECIRAS	77
55	1	55	11	ALGECIRAS	5	77	4	107	2	LIVORNO	81
56	1	56	1	ALGECIRAS	6	42	4	57	2	LIVORNO	46
57	1	57	2	LIVORNO	6	46	1	58	3	GENOA	47
58	1	58	3	GENOA	6	47	3	59	4	FOS SUR MER	50
59	1	59	4	FOS SUR MER	6	50	2	60	5	BARCELONA	52
60	1	60	5	BARCELONA	6	52	2	61	6	VALENCIA	54
