VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	10	1,2,3,4,5,6,7,8,9,10	7	49
2	1	10	12,13,14,15,16,17,18,19,20,21	14	56
3	1	10	23,24,25,26,27,28,29,30,31,32	21	63
4	1	10	34,35,36,37,38,39,40,41,42,43	28	70
5	1	10	45,46,47,48,49,50,51,52,53,54	35	77
6	1	10	56,57,58,59,60,61,62,63,64,65	42	84
7	1	10	11,67,68,69,70,71,72,73,74,75	49	91
8	1	10	22,77,78,79,80,81,82,83,84,85	56	98
9	1	10	33,87,88,89,90,91,92,93,94,95	63	105
10	1	10	44,97,98,99,100,101,102,103,104,105	70	112
11	1	10	55,107,108,109,110,111,112,113,114,115	77	119
12	1	10	66,117,118,119,120,121,122,123,124,125	84	126
13	1	10	76,127,128,129,130,131,132,133,134,135	91	133
14	1	10	86,137,138,139,140,141,142,143,144,145	98	140
15	1	10	96,146,147,148,149,150,151,152,153,154	105	147
16	1	10	106,155,156,157,158,159,160,161,162,163	112	154
17	1	10	116,164,165,166,167,168,169,170,171,172	119	161
18	1	10	126,173,174,175,176,177,178,179,180,181	126	168
19	1	10	136,182,183,184,185,186,187,188,189,190	133	175
20	2	10	191,192,193,194,195,196,197,198,199,200	7	56
21	2	10	202,203,204,205,206,207,208,209,210,211	14	63
22	2	10	213,214,215,216,217,218,219,220,221,222	21	70
23	2	10	224,225,226,227,228,229,230,231,232,233	28	77
24	2	10	235,236,237,238,239,240,241,242,243,244	35	84
25	2	10	246,247,248,249,250,251,252,253,254,255	42	91
26	2	10	257,258,259,260,261,262,263,264,265,266	49	98
27	2	10	201,268,269,270,271,272,273,274,275,276	56	105
28	2	10	212,278,279,280,281,282,283,284,285,286	63	112
29	2	10	223,288,289,290,291,292,293,294,295,296	70	119
30	2	10	234,298,299,300,301,302,303,304,305,306	77	126
31	2	10	245,308,309,310,311,312,313,314,315,316	84	133
32	2	10	256,317,318,319,320,321,322,323,324,325	91	140
33	2	10	267,326,327,328,329,330,331,332,333,334	98	147
34	2	10	277,335,336,337,338,339,340,341,342,343	105	154
35	2	10	287,344,345,346,347,348,349,350,351,352	112	161
36	2	10	297,353,354,355,356,357,358,359,360,361	119	168
37	2	10	307,362,363,364,365,366,367,368,369,370	126	175
38	3	7	371,372,373,374,375,376,377	7	49
39	3	7	379,380,381,382,383,384,385	14	56
40	3	7	387,388,389,390,391,392,393	21	63
41	3	7	395,396,397,398,399,400,401	28	70
42	3	7	403,404,405,406,407,408,409	35	77
43	3	7	411,412,413,414,415,416,417	42	84
44	3	7	378,419,420,421,422,423,424	49	91
45	3	7	386,426,427,428,429,430,431	56	98
46	3	7	394,433,434,435,436,437,438	63	105
47	3	7	402,440,441,442,443,444,445	70	112
48	3	7	410,447,448,449,450,451,452	77	119
49	3	7	418,454,455,456,457,458,459	84	126
50	3	7	425,461,462,463,464,465,466	91	133
51	3	7	432,468,469,470,471,472,473	98	140
52	3	7	439,474,475,476,477,478,479	105	147
53	3	7	446,480,481,482,483,484,485	112	154
54	3	7	453,486,487,488,489,490,491	119	161
55	3	7	460,492,493,494,495,496,497	126	168
56	3	7	467,498,499,500,501,502,503	133	175
57	4	10	504,505,506,507,508,509,510,511,512,513	7	49
58	4	10	515,516,517,518,519,520,521,522,523,524	14	56
59	4	10	526,527,528,529,530,531,532,533,534,535	21	63
60	4	10	537,538,539,540,541,542,543,544,545,546	28	70
61	4	10	548,549,550,551,552,553,554,555,556,557	35	77
62	4	10	559,560,561,562,563,564,565,566,567,568	42	84
63	4	10	514,570,571,572,573,574,575,576,577,578	49	91
64	4	10	525,580,581,582,583,584,585,586,587,588	56	98
65	4	10	536,590,591,592,593,594,595,596,597,598	63	105
66	4	10	547,600,601,602,603,604,605,606,607,608	70	112
67	4	10	558,610,611,612,613,614,615,616,617,618	77	119
68	4	10	569,620,621,622,623,624,625,626,627,628	84	126
69	4	10	579,630,631,632,633,634,635,636,637,638	91	133
70	4	10	589,640,641,642,643,644,645,646,647,648	98	140
71	4	10	599,649,650,651,652,653,654,655,656,657	105	147
72	4	10	609,658,659,660,661,662,663,664,665,666	112	154
73	4	10	619,667,668,669,670,671,672,673,674,675	119	161
74	4	10	629,676,677,678,679,680,681,682,683,684	126	168
75	4	10	639,685,686,687,688,689,690,691,692,693	133	175
76	5	9	694,695,696,697,698,699,700,701,702	7	49
77	5	9	704,705,706,707,708,709,710,711,712	14	56
78	5	9	714,715,716,717,718,719,720,721,722	21	63
