ID	Route	Call	Port	Round_trip	Time
1	1	1	ALGECIRAS	1	7
2	1	2	LIVORNO	1	11
3	1	3	GENOA	1	12
4	1	4	FOS SUR MER	1	15
5	1	5	BARCELONA	1	17
6	1	6	VALENCIA	1	19
7	1	7	NEW YORK, NY	1	29
8	1	8	NORFOLK, VA	1	31
9	1	9	SAVANNAH, GA	1	34
10	1	10	MIAMI, FL	1	36
11	1	11	ALGECIRAS	1	49
12	1	1	ALGECIRAS	2	14
13	1	2	LIVORNO	2	18
14	1	3	GENOA	2	19
15	1	4	FOS SUR MER	2	22
16	1	5	BARCELONA	2	24
17	1	6	VALENCIA	2	26
18	1	7	NEW YORK, NY	2	36
19	1	8	NORFOLK, VA	2	38
20	1	9	SAVANNAH, GA	2	41
21	1	10	MIAMI, FL	2	43
22	1	11	ALGECIRAS	2	56
23	1	1	ALGECIRAS	3	21
24	1	2	LIVORNO	3	25
25	1	3	GENOA	3	26
26	1	4	FOS SUR MER	3	29
27	1	5	BARCELONA	3	31
28	1	6	VALENCIA	3	33
29	1	7	NEW YORK, NY	3	43
30	1	8	NORFOLK, VA	3	45
31	1	9	SAVANNAH, GA	3	48
32	1	10	MIAMI, FL	3	50
33	1	11	ALGECIRAS	3	63
34	1	1	ALGECIRAS	4	28
35	1	2	LIVORNO	4	32
36	1	3	GENOA	4	33
37	1	4	FOS SUR MER	4	36
38	1	5	BARCELONA	4	38
39	1	6	VALENCIA	4	40
40	1	7	NEW YORK, NY	4	50
41	1	8	NORFOLK, VA	4	52
42	1	9	SAVANNAH, GA	4	55
43	1	10	MIAMI, FL	4	57
44	1	11	ALGECIRAS	4	70
45	1	1	ALGECIRAS	5	35
46	1	2	LIVORNO	5	39
47	1	3	GENOA	5	40
48	1	4	FOS SUR MER	5	43
49	1	5	BARCELONA	5	45
50	1	6	VALENCIA	5	47
51	1	7	NEW YORK, NY	5	57
52	1	8	NORFOLK, VA	5	59
53	1	9	SAVANNAH, GA	5	62
54	1	10	MIAMI, FL	5	64
55	1	11	ALGECIRAS	5	77
56	1	1	ALGECIRAS	6	42
57	1	2	LIVORNO	6	46
58	1	3	GENOA	6	47
59	1	4	FOS SUR MER	6	50
60	1	5	BARCELONA	6	52
61	1	6	VALENCIA	6	54
62	1	7	NEW YORK, NY	6	64
63	1	8	NORFOLK, VA	6	66
64	1	9	SAVANNAH, GA	6	69
65	1	10	MIAMI, FL	6	71
66	1	11	ALGECIRAS	6	84
67	1	2	LIVORNO	7	53
68	1	3	GENOA	7	54
69	1	4	FOS SUR MER	7	57
70	1	5	BARCELONA	7	59
71	1	6	VALENCIA	7	61
72	1	7	NEW YORK, NY	7	71
73	1	8	NORFOLK, VA	7	73
74	1	9	SAVANNAH, GA	7	76
75	1	10	MIAMI, FL	7	78
76	1	11	ALGECIRAS	7	91
77	1	2	LIVORNO	8	60
78	1	3	GENOA	8	61
79	1	4	FOS SUR MER	8	64
80	1	5	BARCELONA	8	66
81	1	6	VALENCIA	8	68
82	1	7	NEW YORK, NY	8	78
83	1	8	NORFOLK, VA	8	80
84	1	9	SAVANNAH, GA	8	83
85	1	10	MIAMI, FL	8	85
86	1	11	ALGECIRAS	8	98
87	1	2	LIVORNO	9	67
88	1	3	GENOA	9	68
89	1	4	FOS SUR MER	9	71
90	1	5	BARCELONA	9	73
91	1	6	VALENCIA	9	75
92	1	7	NEW YORK, NY	9	85
93	1	8	NORFOLK, VA	9	87
94	1	9	SAVANNAH, GA	9	90
95	1	10	MIAMI, FL	9	92
96	1	11	ALGECIRAS	9	105
97	1	2	LIVORNO	10	74
98	1	3	GENOA	10	75
99	1	4	FOS SUR MER	10	78
100	1	5	BARCELONA	10	80
101	1	6	VALENCIA	10	82
102	1	7	NEW YORK, NY	10	92
103	1	8	NORFOLK, VA	10	94
104	1	9	SAVANNAH, GA	10	97
105	1	10	MIAMI, FL	10	99
106	1	11	ALGECIRAS	10	112
107	1	2	LIVORNO	11	81
108	1	3	GENOA	11	82
109	1	4	FOS SUR MER	11	85
110	1	5	BARCELONA	11	87
111	1	6	VALENCIA	11	89
112	1	7	NEW YORK, NY	11	99
113	1	8	NORFOLK, VA	11	101
114	1	9	SAVANNAH, GA	11	104
115	1	10	MIAMI, FL	11	106
116	1	11	ALGECIRAS	11	119
117	1	2	LIVORNO	12	88
118	1	3	GENOA	12	89
119	1	4	FOS SUR MER	12	92
120	1	5	BARCELONA	12	94
121	1	6	VALENCIA	12	96
122	1	7	NEW YORK, NY	12	106
123	1	8	NORFOLK, VA	12	108
124	1	9	SAVANNAH, GA	12	111
125	1	10	MIAMI, FL	12	113
126	1	11	ALGECIRAS	12	126
127	1	2	LIVORNO	13	95
128	1	3	GENOA	13	96
129	1	4	FOS SUR MER	13	99
130	1	5	BARCELONA	13	101
131	1	6	VALENCIA	13	103
132	1	7	NEW YORK, NY	13	113
133	1	8	NORFOLK, VA	13	115
134	1	9	SAVANNAH, GA	13	118
135	1	10	MIAMI, FL	13	120
136	1	11	ALGECIRAS	13	133
137	1	2	LIVORNO	14	102
138	1	3	GENOA	14	103
139	1	4	FOS SUR MER	14	106
140	1	5	BARCELONA	14	108
141	1	6	VALENCIA	14	110
142	1	7	NEW YORK, NY	14	120
143	1	8	NORFOLK, VA	14	122
144	1	9	SAVANNAH, GA	14	125
145	1	10	MIAMI, FL	14	127
146	1	11	ALGECIRAS	14	140
147	1	2	LIVORNO	15	109
148	1	3	GENOA	15	110
149	1	4	FOS SUR MER	15	113
150	1	5	BARCELONA	15	115
151	1	6	VALENCIA	15	117
152	1	7	NEW YORK, NY	15	127
153	1	8	NORFOLK, VA	15	129
154	1	9	SAVANNAH, GA	15	132
155	1	10	MIAMI, FL	15	134
156	1	11	ALGECIRAS	15	147
157	1	2	LIVORNO	16	116
158	1	3	GENOA	16	117
159	1	4	FOS SUR MER	16	120
160	1	5	BARCELONA	16	122
161	1	6	VALENCIA	16	124
162	1	7	NEW YORK, NY	16	134
163	1	8	NORFOLK, VA	16	136
164	1	9	SAVANNAH, GA	16	139
165	1	10	MIAMI, FL	16	141
166	1	11	ALGECIRAS	16	154
167	1	2	LIVORNO	17	123
168	1	3	GENOA	17	124
169	1	4	FOS SUR MER	17	127
170	1	5	BARCELONA	17	129
171	1	6	VALENCIA	17	131
172	1	7	NEW YORK, NY	17	141
173	1	8	NORFOLK, VA	17	143
174	1	9	SAVANNAH, GA	17	146
175	1	10	MIAMI, FL	17	148
176	1	11	ALGECIRAS	17	161
177	1	2	LIVORNO	18	130
178	1	3	GENOA	18	131
179	1	4	FOS SUR MER	18	134
180	1	5	BARCELONA	18	136
181	1	6	VALENCIA	18	138
182	1	7	NEW YORK, NY	18	148
183	1	8	NORFOLK, VA	18	150
184	1	9	SAVANNAH, GA	18	153
185	1	10	MIAMI, FL	18	155
186	1	11	ALGECIRAS	18	168
187	1	2	LIVORNO	19	137
188	1	3	GENOA	19	138
189	1	4	FOS SUR MER	19	141
190	1	5	BARCELONA	19	143
191	1	6	VALENCIA	19	145
192	1	7	NEW YORK, NY	19	155
193	1	8	NORFOLK, VA	19	157
194	1	9	SAVANNAH, GA	19	160
195	1	10	MIAMI, FL	19	162
196	1	11	ALGECIRAS	19	175
197	2	1	LIVORNO	1	7
198	2	2	GENOA	1	8
199	2	3	FOS SUR MER	1	10
200	2	4	ALGECIRAS	1	13
201	2	5	TANGER MED	1	15
202	2	6	VIGO	1	17
203	2	7	MONTREAL, QC	1	30
204	2	8	TANGER MED	1	49
205	2	9	SAGUNTO	1	52
206	2	10	SALERNO	1	54
207	2	11	LIVORNO	1	56
208	2	1	LIVORNO	2	14
209	2	2	GENOA	2	15
210	2	3	FOS SUR MER	2	17
211	2	4	ALGECIRAS	2	20
212	2	5	TANGER MED	2	22
213	2	6	VIGO	2	24
214	2	7	MONTREAL, QC	2	37
215	2	8	TANGER MED	2	56
216	2	9	SAGUNTO	2	59
217	2	10	SALERNO	2	61
218	2	11	LIVORNO	2	63
219	2	1	LIVORNO	3	21
220	2	2	GENOA	3	22
221	2	3	FOS SUR MER	3	24
222	2	4	ALGECIRAS	3	27
223	2	5	TANGER MED	3	29
224	2	6	VIGO	3	31
225	2	7	MONTREAL, QC	3	44
226	2	8	TANGER MED	3	63
227	2	9	SAGUNTO	3	66
228	2	10	SALERNO	3	68
229	2	11	LIVORNO	3	70
230	2	1	LIVORNO	4	28
231	2	2	GENOA	4	29
232	2	3	FOS SUR MER	4	31
233	2	4	ALGECIRAS	4	34
234	2	5	TANGER MED	4	36
235	2	6	VIGO	4	38
236	2	7	MONTREAL, QC	4	51
237	2	8	TANGER MED	4	70
238	2	9	SAGUNTO	4	73
239	2	10	SALERNO	4	75
240	2	11	LIVORNO	4	77
241	2	1	LIVORNO	5	35
242	2	2	GENOA	5	36
243	2	3	FOS SUR MER	5	38
244	2	4	ALGECIRAS	5	41
245	2	5	TANGER MED	5	43
246	2	6	VIGO	5	45
247	2	7	MONTREAL, QC	5	58
248	2	8	TANGER MED	5	77
249	2	9	SAGUNTO	5	80
250	2	10	SALERNO	5	82
251	2	11	LIVORNO	5	84
252	2	1	LIVORNO	6	42
253	2	2	GENOA	6	43
254	2	3	FOS SUR MER	6	45
255	2	4	ALGECIRAS	6	48
256	2	5	TANGER MED	6	50
257	2	6	VIGO	6	52
258	2	7	MONTREAL, QC	6	65
259	2	8	TANGER MED	6	84
260	2	9	SAGUNTO	6	87
261	2	10	SALERNO	6	89
262	2	11	LIVORNO	6	91
263	2	1	LIVORNO	7	49
264	2	2	GENOA	7	50
265	2	3	FOS SUR MER	7	52
266	2	4	ALGECIRAS	7	55
267	2	5	TANGER MED	7	57
268	2	6	VIGO	7	59
269	2	7	MONTREAL, QC	7	72
270	2	8	TANGER MED	7	91
271	2	9	SAGUNTO	7	94
272	2	10	SALERNO	7	96
273	2	11	LIVORNO	7	98
274	2	2	GENOA	8	57
275	2	3	FOS SUR MER	8	59
276	2	4	ALGECIRAS	8	62
277	2	5	TANGER MED	8	64
278	2	6	VIGO	8	66
279	2	7	MONTREAL, QC	8	79
280	2	8	TANGER MED	8	98
281	2	9	SAGUNTO	8	101
282	2	10	SALERNO	8	103
283	2	11	LIVORNO	8	105
284	2	2	GENOA	9	64
