PortID	Port	WhetherTrans	Region	Group
1	ZEEBRUGGE	0	EUROPE	4
2	ROTTERDAM	1	EUROPE	4
3	LONDON GATEWAY PORT(ESS)	1	EUROPE	4
4	DUNKERQUE	0	EUROPE	4
5	LE HAVRE	1	EUROPE	4
6	NEW YORK(NY)	0	AMERICA North	2
7	SAVANNAH(GA)	1	AMERICA North	2
8	KINGSTON	0	AMERICA North	2
9	PAPEETE	0	OCEANIA	6
10	NOUMEA	0	OCEANIA	6
11	BRISBANE	0	OCEANIA	6
12	SYDNEY	1	OCEANIA	6
13	MELBOURNE	1	OCEANIA	6
14	TAURANGA	0	OCEANIA	6
15	MANZANILLO(PA)	0	AMERICA South	3
16	PHILADELPHIA(PA)	0	AMERICA North	2
17	HAMBURG	0	EUROPE	4
18	ANTWERP	0	EUROPE	4
19	FOS SUR MER	0	EUROPE	4
20	LA SPEZIA	0	EUROPE	4
21	GIOIA TAURO	0	EUROPE	4
22	POINTE DES GALETS	0	AFRICA	5
23	PORT LOUIS	0	AFRICA	5
24	ADELAIDE	0	OCEANIA	6
25	FREMANTLE	0	OCEANIA	6
26	SINGAPORE	0	ASIA	1
27	COLOMBO	0	ASIA	1
