PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	ADELAIDE	ANTWERP	1	180
2	ADELAIDE	BRISBANE	1	180
3	ADELAIDE	COLOMBO	1	180
4	ADELAIDE	DUNKERQUE	1	180
5	ADELAIDE	FOS SUR MER	1	180
6	ADELAIDE	FREMANTLE	1	180
7	ADELAIDE	GIOIA TAURO	1	180
8	ADELAIDE	HAMBURG	1	180
9	ADELAIDE	KINGSTON	1	180
10	ADELAIDE	LA SPEZIA	1	180
11	ADELAIDE	LE HAVRE	1	180
12	ADELAIDE	LONDON GATEWAY PORT(ESS)	1	180
13	ADELAIDE	MANZANILLO(PA)	1	180
14	ADELAIDE	MELBOURNE	1	180
15	ADELAIDE	NEW YORK(NY)	1	180
16	ADELAIDE	NOUMEA	1	180
17	ADELAIDE	PAPEETE	1	180
18	ADELAIDE	PHILADELPHIA(PA)	1	180
19	ADELAIDE	POINTE DES GALETS	1	180
20	ADELAIDE	PORT LOUIS	1	180
21	ADELAIDE	ROTTERDAM	1	180
22	ADELAIDE	SAVANNAH(GA)	1	180
23	ADELAIDE	SINGAPORE	1	180
24	ADELAIDE	SYDNEY	1	180
25	ADELAIDE	TAURANGA	1	180
26	ADELAIDE	ZEEBRUGGE	1	180
27	ANTWERP	ADELAIDE	1	180
28	ANTWERP	BRISBANE	1	180
29	ANTWERP	COLOMBO	1	180
30	ANTWERP	DUNKERQUE	1	180
31	ANTWERP	FOS SUR MER	1	180
32	ANTWERP	FREMANTLE	1	180
33	ANTWERP	GIOIA TAURO	1	180
34	ANTWERP	HAMBURG	1	180
35	ANTWERP	KINGSTON	1	180
36	ANTWERP	LA SPEZIA	1	180
37	ANTWERP	LE HAVRE	1	180
38	ANTWERP	LONDON GATEWAY PORT(ESS)	1	180
39	ANTWERP	MANZANILLO(PA)	1	180
40	ANTWERP	MELBOURNE	1	180
41	ANTWERP	NEW YORK(NY)	1	180
42	ANTWERP	NOUMEA	1	180
43	ANTWERP	PAPEETE	1	180
44	ANTWERP	PHILADELPHIA(PA)	1	180
45	ANTWERP	POINTE DES GALETS	1	180
46	ANTWERP	PORT LOUIS	1	180
47	ANTWERP	ROTTERDAM	1	180
48	ANTWERP	SAVANNAH(GA)	1	180
49	ANTWERP	SINGAPORE	1	180
50	ANTWERP	SYDNEY	1	180
51	ANTWERP	TAURANGA	1	180
52	ANTWERP	ZEEBRUGGE	1	180
53	BRISBANE	ADELAIDE	1	180
54	BRISBANE	ANTWERP	1	180
55	BRISBANE	COLOMBO	1	180
56	BRISBANE	DUNKERQUE	1	180
57	BRISBANE	FOS SUR MER	1	180
58	BRISBANE	FREMANTLE	1	180
59	BRISBANE	GIOIA TAURO	1	180
60	BRISBANE	HAMBURG	1	180
61	BRISBANE	KINGSTON	1	180
62	BRISBANE	LA SPEZIA	1	180
63	BRISBANE	LE HAVRE	1	180
64	BRISBANE	LONDON GATEWAY PORT(ESS)	1	180
65	BRISBANE	MANZANILLO(PA)	1	180
66	BRISBANE	MELBOURNE	1	180
67	BRISBANE	NEW YORK(NY)	1	180
68	BRISBANE	NOUMEA	1	180
69	BRISBANE	PAPEETE	1	180
70	BRISBANE	PHILADELPHIA(PA)	1	180
71	BRISBANE	POINTE DES GALETS	1	180
72	BRISBANE	PORT LOUIS	1	180
73	BRISBANE	ROTTERDAM	1	180
74	BRISBANE	SAVANNAH(GA)	1	180
75	BRISBANE	SINGAPORE	1	180
76	BRISBANE	SYDNEY	1	180
77	BRISBANE	TAURANGA	1	180
78	BRISBANE	ZEEBRUGGE	1	180
79	COLOMBO	ADELAIDE	1	180
80	COLOMBO	ANTWERP	1	180
81	COLOMBO	BRISBANE	1	180
82	COLOMBO	DUNKERQUE	1	180
83	COLOMBO	FOS SUR MER	1	180
84	COLOMBO	FREMANTLE	1	180
85	COLOMBO	GIOIA TAURO	1	180
86	COLOMBO	HAMBURG	1	180
87	COLOMBO	KINGSTON	1	180
88	COLOMBO	LA SPEZIA	1	180
89	COLOMBO	LE HAVRE	1	180
90	COLOMBO	LONDON GATEWAY PORT(ESS)	1	180
91	COLOMBO	MANZANILLO(PA)	1	180
92	COLOMBO	MELBOURNE	1	180
93	COLOMBO	NEW YORK(NY)	1	180
94	COLOMBO	NOUMEA	1	180
95	COLOMBO	PAPEETE	1	180
96	COLOMBO	PHILADELPHIA(PA)	1	180
97	COLOMBO	POINTE DES GALETS	1	180
98	COLOMBO	PORT LOUIS	1	180
99	COLOMBO	ROTTERDAM	1	180
100	COLOMBO	SAVANNAH(GA)	1	180
101	COLOMBO	SINGAPORE	1	180
102	COLOMBO	SYDNEY	1	180
103	COLOMBO	TAURANGA	1	180
104	COLOMBO	ZEEBRUGGE	1	180
105	DUNKERQUE	ADELAIDE	1	180
106	DUNKERQUE	ANTWERP	1	180
107	DUNKERQUE	BRISBANE	1	180
108	DUNKERQUE	COLOMBO	1	180
109	DUNKERQUE	FOS SUR MER	1	180
110	DUNKERQUE	FREMANTLE	1	180
111	DUNKERQUE	GIOIA TAURO	1	180
112	DUNKERQUE	HAMBURG	1	180
113	DUNKERQUE	KINGSTON	1	180
114	DUNKERQUE	LA SPEZIA	1	180
115	DUNKERQUE	LE HAVRE	1	180
116	DUNKERQUE	LONDON GATEWAY PORT(ESS)	1	180
117	DUNKERQUE	MANZANILLO(PA)	1	180
118	DUNKERQUE	MELBOURNE	1	180
119	DUNKERQUE	NEW YORK(NY)	1	180
120	DUNKERQUE	NOUMEA	1	180
121	DUNKERQUE	PAPEETE	1	180
122	DUNKERQUE	PHILADELPHIA(PA)	1	180
123	DUNKERQUE	POINTE DES GALETS	1	180
124	DUNKERQUE	PORT LOUIS	1	180
125	DUNKERQUE	ROTTERDAM	1	180
126	DUNKERQUE	SAVANNAH(GA)	1	180
127	DUNKERQUE	SINGAPORE	1	180
128	DUNKERQUE	SYDNEY	1	180
129	DUNKERQUE	TAURANGA	1	180
130	DUNKERQUE	ZEEBRUGGE	1	180
131	FOS SUR MER	ADELAIDE	1	180
132	FOS SUR MER	ANTWERP	1	180
133	FOS SUR MER	BRISBANE	1	180
134	FOS SUR MER	COLOMBO	1	180
