VesselID	Capacity	OperationCost	RouteID	MaxNum
1	2506	13.717	1	1
2	2345	13.677	1	1
3	2357	13.68	1	1
4	2350	13.678	1	1
5	2345	13.677	1	1
6	2506	13.717	1	1
7	2506	13.717	1	1
8	2257	13.655	1	1
9	2257	13.655	1	1
10	2257	13.655	1	1
11	2257	13.655	1	1
12	2259	13.655	1	1
13	2506	13.717	1	1
14	9326	17.422	2	1
15	9326	17.422	2	1
16	9326	17.422	2	1
17	9326	17.422	2	1
18	9326	17.422	2	1
19	9326	17.422	2	1
20	8598	17.24	2	1
21	9572	17.483	2	1
22	8100	17.115	2	1
23	8073	17.109	2	1
24	9130	17.373	2	1
25	8400	17.19	2	1
26	8814	17.294	2	1
27	8814	17.294	2	1
28	9572	17.483	2	1
