TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
365	ROTTERDAM	2	8	0	218	8	1	2
366	ROTTERDAM	2	8	7	235	15	1	2
367	LONDON GATEWAY PORT(ESS)	3	10	4	234	14	1	2
368	LONDON GATEWAY PORT(ESS)	3	10	11	251	21	1	2
369	LE HAVRE	5	12	4	221	16	1	2
370	LE HAVRE	5	12	11	238	23	1	2
371	SYDNEY	12	55	3	227	58	1	2
372	SYDNEY	12	55	10	244	65	1	2
373	MELBOURNE	13	57	6	228	63	1	2
374	MELBOURNE	13	57	13	245	70	1	2
375	ROTTERDAM	20	15	0	235	15	1	2
376	ROTTERDAM	20	15	7	252	22	1	2
377	LONDON GATEWAY PORT(ESS)	21	17	4	251	21	1	2
378	LONDON GATEWAY PORT(ESS)	21	17	11	268	28	1	2
379	LE HAVRE	23	19	4	238	23	1	2
380	LE HAVRE	23	19	11	255	30	1	2
381	SYDNEY	30	62	3	244	65	1	2
382	SYDNEY	30	62	10	261	72	1	2
383	MELBOURNE	31	64	6	245	70	1	2
384	MELBOURNE	31	64	13	262	77	1	2
385	ROTTERDAM	38	22	0	252	22	1	2
386	ROTTERDAM	38	22	7	269	29	1	2
387	LONDON GATEWAY PORT(ESS)	39	24	4	268	28	1	2
388	LONDON GATEWAY PORT(ESS)	39	24	11	285	35	1	2
389	LE HAVRE	41	26	4	255	30	1	2
390	LE HAVRE	41	26	11	272	37	1	2
391	SYDNEY	48	69	3	261	72	1	2
392	SYDNEY	48	69	10	278	79	1	2
393	MELBOURNE	49	71	6	262	77	1	2
394	MELBOURNE	49	71	13	279	84	1	2
395	ROTTERDAM	56	29	0	269	29	1	2
396	ROTTERDAM	56	29	7	286	36	1	2
397	LONDON GATEWAY PORT(ESS)	57	31	4	285	35	1	2
398	LONDON GATEWAY PORT(ESS)	57	31	11	302	42	1	2
399	LE HAVRE	59	33	4	272	37	1	2
400	LE HAVRE	59	33	11	289	44	1	2
401	SYDNEY	66	76	3	278	79	1	2
402	SYDNEY	66	76	10	295	86	1	2
403	MELBOURNE	67	78	6	279	84	1	2
404	MELBOURNE	67	78	13	296	91	1	2
405	ROTTERDAM	74	36	0	286	36	1	2
406	ROTTERDAM	74	36	7	303	43	1	2
407	LONDON GATEWAY PORT(ESS)	75	38	4	302	42	1	2
408	LONDON GATEWAY PORT(ESS)	75	38	11	319	49	1	2
409	LE HAVRE	77	40	4	289	44	1	2
410	LE HAVRE	77	40	11	306	51	1	2
411	SYDNEY	84	83	3	295	86	1	2
412	SYDNEY	84	83	10	312	93	1	2
413	MELBOURNE	85	85	6	296	91	1	2
414	MELBOURNE	85	85	13	313	98	1	2
415	ROTTERDAM	92	43	0	303	43	1	2
416	ROTTERDAM	92	43	7	320	50	1	2
417	LONDON GATEWAY PORT(ESS)	93	45	4	319	49	1	2
418	LONDON GATEWAY PORT(ESS)	93	45	11	336	56	1	2
419	LE HAVRE	95	47	4	306	51	1	2
420	LE HAVRE	95	47	11	323	58	1	2
421	SYDNEY	102	90	3	312	93	1	2
422	SYDNEY	102	90	10	329	100	1	2
423	MELBOURNE	103	92	6	313	98	1	2
424	MELBOURNE	103	92	13	330	105	1	2
425	ROTTERDAM	110	50	0	320	50	1	2
426	ROTTERDAM	110	50	7	337	57	1	2
427	LONDON GATEWAY PORT(ESS)	111	52	4	336	56	1	2
428	LONDON GATEWAY PORT(ESS)	111	52	11	353	63	1	2
429	LE HAVRE	113	54	4	323	58	1	2
430	LE HAVRE	113	54	11	340	65	1	2
431	SYDNEY	120	97	3	329	100	1	2
432	SYDNEY	120	97	10	346	107	1	2
433	MELBOURNE	121	99	6	330	105	1	2
434	MELBOURNE	121	99	13	347	112	1	2
435	ROTTERDAM	128	57	0	337	57	1	2
436	ROTTERDAM	128	57	7	354	64	1	2
437	LONDON GATEWAY PORT(ESS)	129	59	4	353	63	1	2
438	LONDON GATEWAY PORT(ESS)	129	59	11	370	70	1	2
439	LE HAVRE	131	61	4	340	65	1	2
440	LE HAVRE	131	61	11	357	72	1	2
441	SYDNEY	138	104	3	346	107	1	2
442	SYDNEY	138	104	10	363	114	1	2
443	MELBOURNE	139	106	6	347	112	1	2
444	MELBOURNE	139	106	13	364	119	1	2
445	ROTTERDAM	146	64	0	354	64	1	2
446	ROTTERDAM	146	64	7	371	71	1	2
447	LONDON GATEWAY PORT(ESS)	147	66	4	370	70	1	2
448	LE HAVRE	149	68	4	357	72	1	2
449	LE HAVRE	149	68	11	374	79	1	2
450	SYDNEY	156	111	3	363	114	1	2
451	SYDNEY	156	111	10	380	121	1	2
452	MELBOURNE	157	113	6	364	119	1	2
453	MELBOURNE	157	113	13	381	126	1	2
454	ROTTERDAM	164	71	0	371	71	1	2
455	LE HAVRE	167	75	4	374	79	1	2
456	SYDNEY	174	118	3	380	121	1	2
457	MELBOURNE	175	120	6	381	126	1	2
458	LONDON GATEWAY PORT(ESS)	217	7	3	3	10	2	1
459	LONDON GATEWAY PORT(ESS)	217	7	10	21	17	2	1
460	ROTTERDAM	218	8	0	2	8	2	1
461	ROTTERDAM	218	8	7	20	15	2	1
462	LE HAVRE	221	16	3	23	19	2	1
463	LE HAVRE	221	16	10	41	26	2	1
464	SYDNEY	227	58	4	30	62	2	1
465	SYDNEY	227	58	11	48	69	2	1
466	MELBOURNE	228	63	1	31	64	2	1
467	MELBOURNE	228	63	8	49	71	2	1
468	LONDON GATEWAY PORT(ESS)	234	14	3	21	17	2	1
469	LONDON GATEWAY PORT(ESS)	234	14	10	39	24	2	1
470	ROTTERDAM	235	15	0	20	15	2	1
471	ROTTERDAM	235	15	7	38	22	2	1
472	LE HAVRE	238	23	3	41	26	2	1
473	LE HAVRE	238	23	10	59	33	2	1
474	SYDNEY	244	65	4	48	69	2	1
475	SYDNEY	244	65	11	66	76	2	1
476	MELBOURNE	245	70	1	49	71	2	1
477	MELBOURNE	245	70	8	67	78	2	1
478	LONDON GATEWAY PORT(ESS)	251	21	3	39	24	2	1
479	LONDON GATEWAY PORT(ESS)	251	21	10	57	31	2	1
480	ROTTERDAM	252	22	0	38	22	2	1
481	ROTTERDAM	252	22	7	56	29	2	1
482	LE HAVRE	255	30	3	59	33	2	1
483	LE HAVRE	255	30	10	77	40	2	1
484	SYDNEY	261	72	4	66	76	2	1
485	SYDNEY	261	72	11	84	83	2	1
486	MELBOURNE	262	77	1	67	78	2	1
487	MELBOURNE	262	77	8	85	85	2	1
488	LONDON GATEWAY PORT(ESS)	268	28	3	57	31	2	1
489	LONDON GATEWAY PORT(ESS)	268	28	10	75	38	2	1
490	ROTTERDAM	269	29	0	56	29	2	1
491	ROTTERDAM	269	29	7	74	36	2	1
492	LE HAVRE	272	37	3	77	40	2	1
493	LE HAVRE	272	37	10	95	47	2	1
494	SYDNEY	278	79	4	84	83	2	1
495	SYDNEY	278	79	11	102	90	2	1
496	MELBOURNE	279	84	1	85	85	2	1
497	MELBOURNE	279	84	8	103	92	2	1
498	LONDON GATEWAY PORT(ESS)	285	35	3	75	38	2	1
499	LONDON GATEWAY PORT(ESS)	285	35	10	93	45	2	1
500	ROTTERDAM	286	36	0	74	36	2	1
501	ROTTERDAM	286	36	7	92	43	2	1
502	LE HAVRE	289	44	3	95	47	2	1
503	LE HAVRE	289	44	10	113	54	2	1
504	SYDNEY	295	86	4	102	90	2	1
505	SYDNEY	295	86	11	120	97	2	1
506	MELBOURNE	296	91	1	103	92	2	1
507	MELBOURNE	296	91	8	121	99	2	1
508	LONDON GATEWAY PORT(ESS)	302	42	3	93	45	2	1
509	LONDON GATEWAY PORT(ESS)	302	42	10	111	52	2	1
510	ROTTERDAM	303	43	0	92	43	2	1
511	ROTTERDAM	303	43	7	110	50	2	1
512	LE HAVRE	306	51	3	113	54	2	1
513	LE HAVRE	306	51	10	131	61	2	1
514	SYDNEY	312	93	4	120	97	2	1
515	SYDNEY	312	93	11	138	104	2	1
516	MELBOURNE	313	98	1	121	99	2	1
517	MELBOURNE	313	98	8	139	106	2	1
518	LONDON GATEWAY PORT(ESS)	319	49	3	111	52	2	1
519	LONDON GATEWAY PORT(ESS)	319	49	10	129	59	2	1
520	ROTTERDAM	320	50	0	110	50	2	1
521	ROTTERDAM	320	50	7	128	57	2	1
522	LE HAVRE	323	58	3	131	61	2	1
523	LE HAVRE	323	58	10	149	68	2	1
524	SYDNEY	329	100	4	138	104	2	1
525	SYDNEY	329	100	11	156	111	2	1
526	MELBOURNE	330	105	1	139	106	2	1
527	MELBOURNE	330	105	8	157	113	2	1
528	LONDON GATEWAY PORT(ESS)	336	56	3	129	59	2	1
529	LONDON GATEWAY PORT(ESS)	336	56	10	147	66	2	1
530	ROTTERDAM	337	57	0	128	57	2	1
531	ROTTERDAM	337	57	7	146	64	2	1
