TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	ZEEBRUGGE	1	7	1	2	2	ROTTERDAM	8
2	1	2	2	ROTTERDAM	1	8	2	3	3	LONDON GATEWAY PORT(ESS)	10
3	1	3	3	LONDON GATEWAY PORT(ESS)	1	10	1	4	4	DUNKERQUE	11
4	1	4	4	DUNKERQUE	1	11	1	5	5	LE HAVRE	12
5	1	5	5	LE HAVRE	1	12	10	6	6	NEW YORK(NY)	22
6	1	6	6	NEW YORK(NY)	1	22	2	7	7	SAVANNAH(GA)	24
7	1	7	7	SAVANNAH(GA)	1	24	4	8	8	KINGSTON	28
8	1	8	8	KINGSTON	1	28	15	9	9	PAPEETE	43
9	1	9	9	PAPEETE	1	43	7	10	10	NOUMEA	50
10	1	10	10	NOUMEA	1	50	2	11	11	BRISBANE	52
11	1	11	11	BRISBANE	1	52	3	12	12	SYDNEY	55
12	1	12	12	SYDNEY	1	55	2	13	13	MELBOURNE	57
13	1	13	13	MELBOURNE	1	57	7	14	14	TAURANGA	64
14	1	14	14	TAURANGA	1	64	18	15	15	MANZANILLO(PA)	82
15	1	15	15	MANZANILLO(PA)	1	82	4	16	16	SAVANNAH(GA)	86
16	1	16	16	SAVANNAH(GA)	1	86	3	17	17	PHILADELPHIA(PA)	89
17	1	17	17	PHILADELPHIA(PA)	1	89	9	18	18	ZEEBRUGGE	98
18	1	19	1	ZEEBRUGGE	2	14	1	20	2	ROTTERDAM	15
19	1	20	2	ROTTERDAM	2	15	2	21	3	LONDON GATEWAY PORT(ESS)	17
20	1	21	3	LONDON GATEWAY PORT(ESS)	2	17	1	22	4	DUNKERQUE	18
21	1	22	4	DUNKERQUE	2	18	1	23	5	LE HAVRE	19
22	1	23	5	LE HAVRE	2	19	10	24	6	NEW YORK(NY)	29
23	1	24	6	NEW YORK(NY)	2	29	2	25	7	SAVANNAH(GA)	31
24	1	25	7	SAVANNAH(GA)	2	31	4	26	8	KINGSTON	35
25	1	26	8	KINGSTON	2	35	15	27	9	PAPEETE	50
26	1	27	9	PAPEETE	2	50	7	28	10	NOUMEA	57
27	1	28	10	NOUMEA	2	57	2	29	11	BRISBANE	59
28	1	29	11	BRISBANE	2	59	3	30	12	SYDNEY	62
29	1	30	12	SYDNEY	2	62	2	31	13	MELBOURNE	64
30	1	31	13	MELBOURNE	2	64	7	32	14	TAURANGA	71
31	1	32	14	TAURANGA	2	71	18	33	15	MANZANILLO(PA)	89
32	1	33	15	MANZANILLO(PA)	2	89	4	34	16	SAVANNAH(GA)	93
33	1	34	16	SAVANNAH(GA)	2	93	3	35	17	PHILADELPHIA(PA)	96
34	1	35	17	PHILADELPHIA(PA)	2	96	9	36	18	ZEEBRUGGE	105
35	1	37	1	ZEEBRUGGE	3	21	1	38	2	ROTTERDAM	22
36	1	38	2	ROTTERDAM	3	22	2	39	3	LONDON GATEWAY PORT(ESS)	24
37	1	39	3	LONDON GATEWAY PORT(ESS)	3	24	1	40	4	DUNKERQUE	25
38	1	40	4	DUNKERQUE	3	25	1	41	5	LE HAVRE	26
39	1	41	5	LE HAVRE	3	26	10	42	6	NEW YORK(NY)	36
40	1	42	6	NEW YORK(NY)	3	36	2	43	7	SAVANNAH(GA)	38
41	1	43	7	SAVANNAH(GA)	3	38	4	44	8	KINGSTON	42
42	1	44	8	KINGSTON	3	42	15	45	9	PAPEETE	57
43	1	45	9	PAPEETE	3	57	7	46	10	NOUMEA	64
44	1	46	10	NOUMEA	3	64	2	47	11	BRISBANE	66
45	1	47	11	BRISBANE	3	66	3	48	12	SYDNEY	69
46	1	48	12	SYDNEY	3	69	2	49	13	MELBOURNE	71
47	1	49	13	MELBOURNE	3	71	7	50	14	TAURANGA	78
48	1	50	14	TAURANGA	3	78	18	51	15	MANZANILLO(PA)	96
49	1	51	15	MANZANILLO(PA)	3	96	4	52	16	SAVANNAH(GA)	100
50	1	52	16	SAVANNAH(GA)	3	100	3	53	17	PHILADELPHIA(PA)	103
51	1	53	17	PHILADELPHIA(PA)	3	103	9	54	18	ZEEBRUGGE	112
52	1	55	1	ZEEBRUGGE	4	28	1	56	2	ROTTERDAM	29
