ID	Route	Call	Port	Round_trip	Time
1	1	1	ZEEBRUGGE	1	7
2	1	2	ROTTERDAM	1	8
3	1	3	LONDON GATEWAY PORT(ESS)	1	10
4	1	4	DUNKERQUE	1	11
5	1	5	LE HAVRE	1	12
6	1	6	NEW YORK(NY)	1	22
7	1	7	SAVANNAH(GA)	1	24
8	1	8	KINGSTON	1	28
9	1	9	PAPEETE	1	43
10	1	10	NOUMEA	1	50
11	1	11	BRISBANE	1	52
12	1	12	SYDNEY	1	55
13	1	13	MELBOURNE	1	57
14	1	14	TAURANGA	1	64
15	1	15	MANZANILLO(PA)	1	82
16	1	16	SAVANNAH(GA)	1	86
17	1	17	PHILADELPHIA(PA)	1	89
18	1	18	ZEEBRUGGE	1	98
19	1	1	ZEEBRUGGE	2	14
20	1	2	ROTTERDAM	2	15
21	1	3	LONDON GATEWAY PORT(ESS)	2	17
22	1	4	DUNKERQUE	2	18
23	1	5	LE HAVRE	2	19
24	1	6	NEW YORK(NY)	2	29
25	1	7	SAVANNAH(GA)	2	31
26	1	8	KINGSTON	2	35
27	1	9	PAPEETE	2	50
28	1	10	NOUMEA	2	57
29	1	11	BRISBANE	2	59
30	1	12	SYDNEY	2	62
31	1	13	MELBOURNE	2	64
32	1	14	TAURANGA	2	71
33	1	15	MANZANILLO(PA)	2	89
34	1	16	SAVANNAH(GA)	2	93
35	1	17	PHILADELPHIA(PA)	2	96
36	1	18	ZEEBRUGGE	2	105
37	1	1	ZEEBRUGGE	3	21
38	1	2	ROTTERDAM	3	22
39	1	3	LONDON GATEWAY PORT(ESS)	3	24
40	1	4	DUNKERQUE	3	25
41	1	5	LE HAVRE	3	26
42	1	6	NEW YORK(NY)	3	36
43	1	7	SAVANNAH(GA)	3	38
44	1	8	KINGSTON	3	42
45	1	9	PAPEETE	3	57
46	1	10	NOUMEA	3	64
47	1	11	BRISBANE	3	66
48	1	12	SYDNEY	3	69
49	1	13	MELBOURNE	3	71
50	1	14	TAURANGA	3	78
51	1	15	MANZANILLO(PA)	3	96
52	1	16	SAVANNAH(GA)	3	100
53	1	17	PHILADELPHIA(PA)	3	103
54	1	18	ZEEBRUGGE	3	112
55	1	1	ZEEBRUGGE	4	28
56	1	2	ROTTERDAM	4	29
57	1	3	LONDON GATEWAY PORT(ESS)	4	31
58	1	4	DUNKERQUE	4	32
59	1	5	LE HAVRE	4	33
60	1	6	NEW YORK(NY)	4	43
61	1	7	SAVANNAH(GA)	4	45
62	1	8	KINGSTON	4	49
63	1	9	PAPEETE	4	64
64	1	10	NOUMEA	4	71
65	1	11	BRISBANE	4	73
66	1	12	SYDNEY	4	76
