Path ID	OriginPort	OriginTime	DestinationPort	DestinationTime	PathTime	TransshipPort	TransshipTime	PortPath_length	PortPath	Arcs_length	ArcsID
-1	ZEEBRUGGE	7	ROTTERDAM	8	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	1
-1	ZEEBRUGGE	14	ROTTERDAM	15	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	18
-1	ZEEBRUGGE	21	ROTTERDAM	22	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	35
-1	ZEEBRUGGE	28	ROTTERDAM	29	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	52
-1	ZEEBRUGGE	35	ROTTERDAM	36	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	69
-1	ZEEBRUGGE	42	ROTTERDAM	43	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	86
-1	ZEEBRUGGE	49	ROTTERDAM	50	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	103
-1	ZEEBRUGGE	56	ROTTERDAM	57	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	120
-1	ZEEBRUGGE	63	ROTTERDAM	64	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	137
-1	ZEEBRUGGE	70	ROTTERDAM	71	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	154
-1	ZEEBRUGGE	77	ROTTERDAM	78	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	171
-1	ZEEBRUGGE	84	ROTTERDAM	85	1	0	0	2	ZEEBRUGGE,ROTTERDAM	1	188
-1	ZEEBRUGGE	7	LONDON GATEWAY PORT(ESS)	10	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	1,2
-1	ZEEBRUGGE	14	LONDON GATEWAY PORT(ESS)	17	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	18,19
-1	ZEEBRUGGE	21	LONDON GATEWAY PORT(ESS)	24	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	35,36
-1	ZEEBRUGGE	28	LONDON GATEWAY PORT(ESS)	31	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	52,53
-1	ZEEBRUGGE	35	LONDON GATEWAY PORT(ESS)	38	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	69,70
-1	ZEEBRUGGE	42	LONDON GATEWAY PORT(ESS)	45	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	86,87
-1	ZEEBRUGGE	49	LONDON GATEWAY PORT(ESS)	52	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	103,104
-1	ZEEBRUGGE	56	LONDON GATEWAY PORT(ESS)	59	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	120,121
-1	ZEEBRUGGE	63	LONDON GATEWAY PORT(ESS)	66	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	137,138
-1	ZEEBRUGGE	70	LONDON GATEWAY PORT(ESS)	73	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	154,155
-1	ZEEBRUGGE	77	LONDON GATEWAY PORT(ESS)	80	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	171,172
-1	ZEEBRUGGE	84	LONDON GATEWAY PORT(ESS)	87	3	0	0	3	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS)	2	188,189
-1	ZEEBRUGGE	7	DUNKERQUE	11	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	1,2,3
-1	ZEEBRUGGE	14	DUNKERQUE	18	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	18,19,20
-1	ZEEBRUGGE	21	DUNKERQUE	25	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	35,36,37
-1	ZEEBRUGGE	28	DUNKERQUE	32	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	52,53,54
-1	ZEEBRUGGE	35	DUNKERQUE	39	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	69,70,71
-1	ZEEBRUGGE	42	DUNKERQUE	46	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	86,87,88
-1	ZEEBRUGGE	49	DUNKERQUE	53	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	103,104,105
-1	ZEEBRUGGE	56	DUNKERQUE	60	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	120,121,122
-1	ZEEBRUGGE	63	DUNKERQUE	67	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	137,138,139
-1	ZEEBRUGGE	70	DUNKERQUE	74	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	154,155,156
-1	ZEEBRUGGE	77	DUNKERQUE	81	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	171,172,173
-1	ZEEBRUGGE	84	DUNKERQUE	88	4	0	0	4	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE	3	188,189,190
-1	ZEEBRUGGE	7	LE HAVRE	12	5	0	0	5	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE,LE HAVRE	4	1,2,3,4
-1	ZEEBRUGGE	14	LE HAVRE	19	5	0	0	5	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE,LE HAVRE	4	18,19,20,21
-1	ZEEBRUGGE	21	LE HAVRE	26	5	0	0	5	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE,LE HAVRE	4	35,36,37,38
-1	ZEEBRUGGE	28	LE HAVRE	33	5	0	0	5	ZEEBRUGGE,ROTTERDAM,LONDON GATEWAY PORT(ESS),DUNKERQUE,LE HAVRE	4	52,53,54,55
